prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,17.3745,8.6199,0.0000,0.0000,58.48,0.00
1,81646,25.1842,15.2192,0.0000,0.0000,51.38,0.00
2,76090,23.5726,13.9080,0.0000,0.0000,52.98,0.00
3,77617,24.1750,14.4128,0.0000,0.0000,52.45,0.00
4,55747,17.4630,8.7504,0.0000,0.0000,58.77,0.00
5,29498,11.1518,3.6148,0.0000,0.0000,67.93,0.00
6,85073,26.8333,16.7457,0.0000,0.0000,50.76,0.00
7,24370,10.0924,2.7965,0.0000,0.0000,70.18,0.00
8,29084,11.0287,3.5283,0.0000,0.0000,68.26,0.00
9,86449,27.3508,17.2493,0.0000,0.0000,50.69,0.00
10,13820,8.2060,1.4147,0.0000,0.0000,75.39,0.00
11,80111,25.0760,15.2618,0.0000,0.0000,52.17,0.00
12,21014,9.4549,2.3386,0.0000,0.0000,71.95,0.00
13,40539,13.5557,5.5406,0.0000,0.0000,63.88,0.00
14,41253,13.7205,5.6908,0.0000,0.0000,63.76,0.00
15,47961,15.3899,7.0421,0.0000,0.0000,61.33,0.00
16,37493,12.8489,4.9667,0.0000,0.0000,64.96,0.00
17,65396,20.2377,11.0925,0.0000,0.0000,55.99,0.00
18,19849,9.2201,2.1647,0.0000,0.0000,72.57,0.00
19,94472,30.3346,19.8605,0.0000,0.0000,48.88,0.00
20,78236,24.4979,14.7172,0.0000,0.0000,52.35,0.00
21,51271,16.3296,7.7999,0.0000,0.0000,60.03,0.00
22,86529,27.4351,17.3047,0.0000,0.0000,50.54,0.00
23,56310,17.6466,8.8937,0.0000,0.0000,58.49,0.00
24,24586,10.1384,2.8407,0.0000,0.0000,70.16,0.00
25,35659,12.4475,4.6498,0.0000,0.0000,65.66,0.00
26,36601,12.6250,4.7861,0.0000,0.0000,65.32,0.00
27,27547,10.7119,3.2866,0.0000,0.0000,68.95,0.00
28,90282,28.7732,18.4821,0.0000,0.0000,49.75,0.00
29,38905,13.2027,5.2612,0.0000,0.0000,64.47,0.00
30,38665,13.1457,5.2094,0.0000,0.0000,64.51,0.00
31,68405,21.2534,11.9781,0.0000,0.0000,55.20,0.00
32,83924,26.4229,16.4163,0.0000,0.0000,51.17,0.00
33,40640,13.5816,5.5469,0.0000,0.0000,63.72,0.00
34,24760,10.1603,2.8618,0.0000,0.0000,70.15,0.00
35,70404,21.9403,12.5624,0.0000,0.0000,54.60,0.00
36,74909,23.3595,13.7637,0.0000,0.0000,53.36,0.00
37,16245,8.6154,1.6943,0.0000,0.0000,73.98,0.00
38,14941,8.3881,1.5407,0.0000,0.0000,74.77,0.00
39,35576,12.4230,4.6269,0.0000,0.0000,65.67,0.00
40,58665,18.3191,9.4680,0.0000,0.0000,57.85,0.00
41,51288,16.3218,7.7954,0.0000,0.0000,60.05,0.00
42,70925,22.0508,12.6440,0.0000,0.0000,54.43,0.00
43,83377,26.3361,16.3531,0.0000,0.0000,51.29,0.00
44,34600,12.2192,4.4705,0.0000,0.0000,66.08,0.00
45,17068,8.7664,1.8244,0.0000,0.0000,73.75,0.00
46,82662,26.0735,16.1352,0.0000,0.0000,51.52,0.00
47,90967,29.0862,18.7784,0.0000,0.0000,49.67,0.00
48,36310,12.5692,4.7505,0.0000,0.0000,65.48,0.00
49,97404,31.4542,20.8317,0.0000,0.0000,48.20,0.00
50,25417,10.3035,2.9777,0.0000,0.0000,69.89,0.00
51,67302,20.9178,11.6555,0.0000,0.0000,55.28,0.00
52,80841,25.3638,15.4822,0.0000,0.0000,51.81,0.00
53,84104,26.5449,16.5319,0.0000,0.0000,51.13,0.00
54,46064,14.9491,6.6652,0.0000,0.0000,61.81,0.00
55,16285,8.6171,1.6990,0.0000,0.0000,74.01,0.00
56,26728,10.5723,3.1750,0.0000,0.0000,69.22,0.00
57,60666,18.8377,9.9061,0.0000,0.0000,57.32,0.00
58,24235,10.0666,2.7780,0.0000,0.0000,70.25,0.00
59,40886,13.6221,5.5817,0.0000,0.0000,63.68,0.00
60,47369,15.2675,6.9389,0.0000,0.0000,61.48,0.00
61,24987,10.2098,2.9009,0.0000,0.0000,70.05,0.00
62,62887,19.6110,10.5639,0.0000,0.0000,56.59,0.00
63,32507,11.7382,4.0737,0.0000,0.0000,66.80,0.00
64,55848,17.5069,8.7904,0.0000,0.0000,58.74,0.00
65,67033,20.8743,11.6326,0.0000,0.0000,55.40,0.00
