prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,41716,13.5005,5.5289,0.0000,0.0000,64.23,0.00
1,27177,10.4958,3.1340,0.0000,0.0000,69.55,0.00
2,35238,12.2085,4.4549,0.0000,0.0000,66.03,0.00
3,26966,10.5402,3.1571,0.0000,0.0000,69.35,0.00
4,22347,9.6718,2.5023,0.0000,0.0000,71.41,0.00
5,20281,9.3171,2.2179,0.0000,0.0000,72.12,0.00
6,22027,9.7020,2.4934,0.0000,0.0000,71.03,0.00
7,23977,10.0586,2.7393,0.0000,0.0000,69.95,0.00
8,23746,9.9986,2.6976,0.0000,0.0000,70.13,0.00
9,20473,9.3819,2.2439,0.0000,0.0000,71.73,0.00
10,23252,9.9158,2.6493,0.0000,0.0000,70.46,0.00
11,30625,11.3962,3.7838,0.0000,0.0000,67.26,0.00
12,20667,9.4314,2.2825,0.0000,0.0000,71.62,0.00
13,27118,10.6735,3.2139,0.0000,0.0000,68.64,0.00
14,28753,11.0099,3.4847,0.0000,0.0000,68.04,0.00
15,25070,10.2711,2.9223,0.0000,0.0000,69.67,0.00
16,37340,12.8954,4.9696,0.0000,0.0000,64.60,0.00
17,22514,9.7892,2.5530,0.0000,0.0000,70.76,0.00
18,28674,10.9758,3.4737,0.0000,0.0000,68.25,0.00
19,40412,13.5863,5.5175,0.0000,0.0000,63.45,0.00
20,43019,14.2688,6.0824,0.0000,0.0000,62.54,0.00
21,37717,12.9972,5.0553,0.0000,0.0000,64.47,0.00
22,40488,13.6166,5.5529,0.0000,0.0000,63.49,0.00
23,31926,11.6477,3.9814,0.0000,0.0000,66.79,0.00
24,34943,12.3491,4.5380,0.0000,0.0000,65.55,0.00
25,27710,10.7757,3.3121,0.0000,0.0000,68.60,0.00
26,22585,9.7928,2.5699,0.0000,0.0000,70.88,0.00
27,21604,9.6123,2.4195,0.0000,0.0000,71.18,0.00
28,21670,9.6139,2.4204,0.0000,0.0000,71.18,0.00
29,39877,13.4366,5.4213,0.0000,0.0000,63.88,0.00
30,25248,10.2824,2.9388,0.0000,0.0000,69.72,0.00
31,20868,9.4603,2.3149,0.0000,0.0000,71.65,0.00
32,23720,9.9780,2.6982,0.0000,0.0000,70.33,0.00
33,25715,10.3820,3.0162,0.0000,0.0000,69.51,0.00
34,22389,9.7418,2.5242,0.0000,0.0000,70.94,0.00
35,54460,17.1752,8.4942,0.0000,0.0000,58.98,0.00
36,38322,13.1182,5.1650,0.0000,0.0000,64.38,0.00
37,24243,10.0980,2.7815,0.0000,0.0000,69.98,0.00
38,25245,10.2825,2.9356,0.0000,0.0000,69.69,0.00
39,21993,9.6772,2.4769,0.0000,0.0000,71.11,0.00
40,21937,9.6734,2.4730,0.0000,0.0000,71.11,0.00
41,22891,9.8328,2.5945,0.0000,0.0000,70.73,0.00
42,35666,12.4802,4.6581,0.0000,0.0000,65.46,0.00
43,42169,13.9870,5.8679,0.0000,0.0000,63.06,0.00
44,63169,19.7018,10.6210,0.0000,0.0000,56.38,0.00
45,22022,9.7028,2.4969,0.0000,0.0000,71.05,0.00
46,24451,10.1298,2.8075,0.0000,0.0000,69.92,0.00
47,20521,9.3930,2.2647,0.0000,0.0000,71.83,0.00
48,28560,10.9313,3.4342,0.0000,0.0000,68.29,0.00
49,39054,13.2649,5.2869,0.0000,0.0000,64.18,0.00
50,27666,10.7727,3.3116,0.0000,0.0000,68.62,0.00
51,40241,13.5582,5.5046,0.0000,0.0000,63.57,0.00
52,20170,9.3176,2.2069,0.0000,0.0000,72.00,0.00
53,27177,10.6802,3.2366,0.0000,0.0000,68.78,0.00
54,22584,9.7897,2.5678,0.0000,0.0000,70.90,0.00
55,25706,10.3814,3.0140,0.0000,0.0000,69.50,0.00
56,30533,11.3675,3.7783,0.0000,0.0000,67.46,0.00
57,25697,10.3820,3.0165,0.0000,0.0000,69.51,0.00
58,29727,11.2192,3.6564,0.0000,0.0000,67.70,0.00
59,24235,10.0971,2.7810,0.0000,0.0000,69.98,0.00
60,33693,12.0635,4.3313,0.0000,0.0000,66.22,0.00
61,37848,13.0038,5.0643,0.0000,0.0000,64.49,0.00
62,27667,10.7706,3.3091,0.0000,0.0000,68.62,0.00
63,21217,9.5456,2.3719,0.0000,0.0000,71.37,0.00
64,23934,10.0377,2.7369,0.0000,0.0000,70.13,0.00
65,22982,9.8411,2.5962,0.0000,0.0000,70.67,0.00
66,25517,10.3573,2.9975,0.0000,0.0000,69.57,0.00
67,21699,9.6197,2.4194,0.0000,0.0000,71.11,0.00
68,36488,12.6542,4.7902,0.0000,0.0000,65.11,0.00
69,22739,9.8049,2.5712,0.0000,0.0000,70.78,0.00
70,29108,11.0680,3.5383,0.0000,0.0000,68.00,0.00
71,25380,10.3338,2.9839,0.0000,0.0000,69.66,0.00
72,34539,12.2343,4.4544,0.0000,0.0000,65.81,0.00
73,32398,11.7657,4.0756,0.0000,0.0000,66.58,0.00
74,26066,10.4657,3.0800,0.0000,0.0000,69.32,0.00
75,28784,10.9972,3.4862,0.0000,0.0000,68.17,0.00
76,25282,10.3233,2.9714,0.0000,0.0000,69.64,0.00
77,22137,9.7128,2.4995,0.0000,0.0000,70.98,0.00
78,35294,12.3901,4.5737,0.0000,0.0000,65.50,0.00
79,22452,9.7510,2.5261,0.0000,0.0000,70.87,0.00
80,33841,12.0895,4.3512,0.0000,0.0000,66.16,0.00
81,36115,12.5631,4.7128,0.0000,0.0000,65.22,0.00
82,20488,9.3909,2.2622,0.0000,0.0000,71.82,0.00
83,27985,10.8332,3.3664,0.0000,0.0000,68.57,0.00
84,24478,10.1320,2.8105,0.0000,0.0000,69.93,0.00
85,22699,9.8023,2.5709,0.0000,0.0000,70.80,0.00
86,22585,9.7947,2.5684,0.0000,0.0000,70.85,0.00
87,27034,10.6513,3.2068,0.0000,0.0000,68.78,0.00
88,38794,13.1946,5.2227,0.0000,0.0000,64.23,0.00
89,26560,10.5527,3.1315,0.0000,0.0000,68.99,0.00
90,22339,9.7443,2.5233,0.0000,0.0000,70.90,0.00
91,20167,9.3240,2.2074,0.0000,0.0000,71.95,0.00
92,23637,9.9720,2.6944,0.0000,0.0000,70.35,0.00
93,26514,10.5473,3.1308,0.0000,0.0000,69.04,0.00
94,26312,10.5082,3.1086,0.0000,0.0000,69.19,0.00
95,20807,9.4506,2.3062,0.0000,0.0000,71.66,0.00
96,27080,10.6549,3.2109,0.0000,0.0000,68.78,0.00
97,26562,10.5497,3.1301,0.0000,0.0000,69.01,0.00
98,20749,9.4422,2.2987,0.0000,0.0000,71.67,0.00
99,32322,11.7602,4.0709,0.0000,0.0000,66.59,0.00
100,30451,11.3556,3.7584,0.0000,0.0000,67.39,0.00
101,27333,10.7174,3.2649,0.0000,0.0000,68.70,0.00
102,21532,9.6154,2.4181,0.0000,0.0000,71.14,0.00
103,22791,9.8316,2.5922,0.0000,0.0000,70.72,0.00
104,50846,16.2338,7.6999,0.0000,0.0000,60.00,0.00
105,21331,9.5732,2.3896,0.0000,0.0000,71.27,0.00
106,26765,10.6134,3.1796,0.0000,0.0000,68.87,0.00
107,36103,12.5581,4.7114,0.0000,0.0000,65.25,0.00
108,21273,9.5644,2.3856,0.0000,0.0000,71.32,0.00
109,61326,19.1027,10.1060,0.0000,0.0000,56.91,0.00
110,29708,11.2343,3.6648,0.0000,0.0000,67.64,0.00
111,23582,9.9698,2.6964,0.0000,0.0000,70.39,0.00
112,20118,9.3154,2.2031,0.0000,0.0000,71.99,0.00
113,31274,11.5211,3.8958,0.0000,0.0000,67.14,0.00
114,20311,9.3481,2.2277,0.0000,0.0000,71.91,0.00
115,20897,9.4624,2.3168,0.0000,0.0000,71.65,0.00
116,42008,13.9868,5.8671,0.0000,0.0000,63.06,0.00
117,23785,9.9897,2.7001,0.0000,0.0000,70.24,0.00
118,23749,9.9859,2.7004,0.0000,0.0000,70.28,0.00
119,26940,10.6466,3.2053,0.0000,0.0000,68.80,0.00
120,26155,10.4973,3.1051,0.0000,0.0000,69.26,0.00
121,24598,10.1732,2.8494,0.0000,0.0000,69.91,0.00
122,37414,12.8920,4.9762,0.0000,0.0000,64.68,0.00
123,24353,10.1263,2.8037,0.0000,0.0000,69.92,0.00
