prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,1,13.8419,6.8254,0.0000,0.0000,72.97,0.00
1,81646,1,19.7794,11.7783,0.0000,0.0000,63.99,0.00
2,76090,1,18.7942,11.0836,0.0000,0.0000,66.40,0.00
3,77617,1,19.3967,11.6338,0.0000,0.0000,65.95,0.00
4,55747,1,14.2341,7.3358,0.0000,0.0000,74.22,0.00
5,29498,1,9.0706,3.2063,0.0000,0.0000,87.31,0.00
6,85073,1,21.6229,13.6177,0.0000,0.0000,63.96,0.00
7,24370,1,8.2369,2.5754,0.0000,0.0000,90.43,0.00
8,29084,1,9.0290,3.1840,0.0000,0.0000,87.60,0.00
9,86449,1,22.1204,14.0591,0.0000,0.0000,63.51,0.00
10,13820,1,6.6354,1.3330,0.0000,0.0000,96.56,0.00
11,80111,1,20.3796,12.6105,0.0000,0.0000,65.90,0.00
12,21014,1,7.7261,2.1691,0.0000,0.0000,92.14,0.00
13,40539,1,11.1812,4.8882,0.0000,0.0000,81.36,0.00
14,41253,1,11.3239,4.9904,0.0000,0.0000,80.84,0.00
15,47961,1,12.6996,6.1148,0.0000,0.0000,77.75,0.00
16,37493,1,10.5818,4.4148,0.0000,0.0000,83.02,0.00
17,65396,1,16.6671,9.4021,0.0000,0.0000,70.47,0.00
18,19849,1,7.5506,2.0369,0.0000,0.0000,92.86,0.00
19,94472,1,24.5750,16.2300,0.0000,0.0000,61.35,0.00
20,78236,1,19.9547,12.2214,0.0000,0.0000,66.21,0.00
21,51271,1,13.4146,6.7047,0.0000,0.0000,76.31,0.00
22,86529,1,22.2509,14.2025,0.0000,0.0000,63.61,0.00
23,56310,1,14.5228,7.6171,0.0000,0.0000,74.14,0.00
24,24586,1,8.3068,2.6162,0.0000,0.0000,89.97,0.00
25,35659,1,10.2647,4.1416,0.0000,0.0000,83.62,0.00
26,36601,1,10.4367,4.2618,0.0000,0.0000,82.92,0.00
27,27547,1,8.8126,3.0043,0.0000,0.0000,88.15,0.00
28,90282,1,23.2797,15.1136,0.0000,0.0000,62.70,0.00
29,38905,1,10.8673,4.6274,0.0000,0.0000,82.05,0.00
30,38665,1,10.8328,4.6112,0.0000,0.0000,82.29,0.00
31,68405,1,17.3976,10.0399,0.0000,0.0000,69.59,0.00
32,83924,1,21.4671,13.5451,0.0000,0.0000,64.63,0.00
33,40640,1,11.2048,4.8997,0.0000,0.0000,81.20,0.00
34,24760,1,8.3263,2.6322,0.0000,0.0000,89.92,0.00
35,70404,1,17.8878,10.4577,0.0000,0.0000,68.91,0.00
36,74909,1,19.0551,11.4641,0.0000,0.0000,67.45,0.00
37,16245,1,6.9915,1.6072,0.0000,0.0000,95.09,0.00
38,14941,1,6.8036,1.4594,0.0000,0.0000,95.80,0.00
39,35576,1,10.2345,4.1201,0.0000,0.0000,83.74,0.00
40,58665,1,15.0729,8.0827,0.0000,0.0000,73.25,0.00
41,51288,1,13.4024,6.6962,0.0000,0.0000,76.35,0.00
42,70925,1,18.0499,10.6200,0.0000,0.0000,68.91,0.00
43,83377,1,21.3507,13.4359,0.0000,0.0000,64.69,0.00
44,34600,1,10.0652,4.0061,0.0000,0.0000,84.50,0.00
45,17068,1,7.1082,1.6956,0.0000,0.0000,94.59,0.00
46,82662,1,21.1355,13.2716,0.0000,0.0000,65.11,0.00
47,90967,1,23.5328,15.2974,0.0000,0.0000,62.17,0.00
48,36310,1,10.3802,4.2470,0.0000,0.0000,83.48,0.00
49,97404,1,25.4312,16.9887,0.0000,0.0000,60.65,0.00
50,25417,1,8.4416,2.7249,0.0000,0.0000,89.56,0.00
51,67302,1,17.1282,9.8121,0.0000,0.0000,69.98,0.00
52,80841,1,20.6425,12.8146,0.0000,0.0000,65.41,0.00
53,84104,1,21.5330,13.5993,0.0000,0.0000,64.54,0.00
54,46064,1,12.3136,5.7940,0.0000,0.0000,78.53,0.00
55,16285,1,6.9849,1.6042,0.0000,0.0000,95.15,0.00
56,26728,1,8.6579,2.8782,0.0000,0.0000,88.59,0.00
57,60666,1,15.5106,8.4367,0.0000,0.0000,72.38,0.00
58,24235,1,8.2483,2.5750,0.0000,0.0000,90.25,0.00
59,40886,1,11.2744,4.9593,0.0000,0.0000,81.08,0.00
60,47369,1,12.6053,6.0477,0.0000,0.0000,78.08,0.00
61,24987,1,8.3711,2.6677,0.0000,0.0000,89.77,0.00
62,62887,1,16.0606,8.9253,0.0000,0.0000,71.76,0.00
63,32507,1,9.6754,3.6700,0.0000,0.0000,85.26,0.00
64,55848,1,14.4340,7.5553,0.0000,0.0000,74.43,0.00
65,67033,1,17.0820,9.7895,0.0000,0.0000,70.21,0.00
