prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,42051,1,10.7021,4.6148,0.0000,0.0000,84.11,0.00
1,28143,1,7.9219,2.4833,0.0000,0.0000,94.14,0.00
2,36539,1,9.5572,3.6897,0.0000,0.0000,87.26,0.00
3,29039,1,8.1530,2.6364,0.0000,0.0000,92.81,0.00
4,22714,1,7.0713,1.8730,0.0000,0.0000,98.49,0.00
5,21812,1,6.9429,1.7602,0.0000,0.0000,98.79,0.00
6,22646,1,7.1035,1.8738,0.0000,0.0000,97.90,0.00
7,25024,1,7.4921,2.1390,0.0000,0.0000,95.65,0.00
8,24150,1,7.3740,2.0353,0.0000,0.0000,95.90,0.00
9,21045,1,6.8420,1.6810,0.0000,0.0000,99.21,0.00
10,23442,1,7.2259,1.9479,0.0000,0.0000,97.01,0.00
11,31600,1,8.7206,3.0136,0.0000,0.0000,89.71,0.00
12,22289,1,7.0377,1.8252,0.0000,0.0000,98.22,0.00
13,27965,1,8.0362,2.5230,0.0000,0.0000,92.87,0.00
14,29778,1,8.3899,2.7769,0.0000,0.0000,91.22,0.00
15,25868,1,7.6438,2.2563,0.0000,0.0000,95.03,0.00
16,38167,1,10.0577,4.0209,0.0000,0.0000,84.81,0.00
17,23130,1,7.1646,1.9139,0.0000,0.0000,97.51,0.00
18,30060,1,8.4429,2.8335,0.0000,0.0000,91.28,0.00
19,43636,1,11.2368,4.9347,0.0000,0.0000,81.24,0.00
20,45405,1,11.6922,5.2875,0.0000,0.0000,79.94,0.00
21,40309,1,10.5232,4.3841,0.0000,0.0000,83.40,0.00
22,44438,1,11.4363,5.1054,0.0000,0.0000,80.87,0.00
23,34797,1,9.3615,3.5112,0.0000,0.0000,87.52,0.00
24,35288,1,9.4146,3.5500,0.0000,0.0000,87.30,0.00
25,28694,1,8.1261,2.6120,0.0000,0.0000,92.85,0.00
26,23357,1,7.1831,1.9429,0.0000,0.0000,97.71,0.00
27,22576,1,7.0746,1.8714,0.0000,0.0000,98.40,0.00
28,22524,1,7.0520,1.8518,0.0000,0.0000,98.46,0.00
29,42018,1,10.8916,4.6907,0.0000,0.0000,82.57,0.00
