prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21420,1,6.9021,1.6885,0.0000,0.0000,98.21,0.00
1,68195,1,17.5415,9.9857,0.0000,0.0000,67.76,0.00
2,51795,1,13.1431,6.4198,0.0000,0.0000,76.15,0.00
3,46064,1,11.8598,5.3992,0.0000,0.0000,79.25,0.00
4,76314,1,20.4875,12.4458,0.0000,0.0000,63.67,0.00
5,14066,1,5.7946,0.9773,0.0000,0.0000,106.28,0.00
6,49083,1,12.5337,5.9306,0.0000,0.0000,77.54,0.00
7,52468,1,13.3897,6.6220,0.0000,0.0000,75.65,0.00
8,46672,1,12.0123,5.5396,0.0000,0.0000,79.10,0.00
9,42512,1,11.0525,4.7875,0.0000,0.0000,81.72,0.00
10,55832,1,14.4476,7.3632,0.0000,0.0000,72.27,0.00
11,39747,1,10.4020,4.2925,0.0000,0.0000,83.80,0.00
12,97342,1,28.1111,19.0504,0.0000,0.0000,56.51,0.00
13,41480,1,10.7798,4.5976,0.0000,0.0000,82.82,0.00
14,85869,1,23.8304,15.2364,0.0000,0.0000,59.58,0.00
15,41217,1,10.7256,4.5468,0.0000,0.0000,82.86,0.00
16,42474,1,11.0258,4.7962,0.0000,0.0000,82.19,0.00
17,27121,1,7.8585,2.4019,0.0000,0.0000,93.83,0.00
18,96700,1,27.8755,18.8217,0.0000,0.0000,56.55,0.00
19,57221,1,14.6278,7.6403,0.0000,0.0000,73.27,0.00
20,40819,1,10.5844,4.4268,0.0000,0.0000,83.15,0.00
21,40733,1,10.5780,4.4206,0.0000,0.0000,83.15,0.00
22,57494,1,14.7529,7.7418,0.0000,0.0000,73.03,0.00
23,54777,1,14.0552,7.1757,0.0000,0.0000,74.42,0.00
24,47477,1,12.1572,5.6655,0.0000,0.0000,78.87,0.00
25,58718,1,15.1630,8.0777,0.0000,0.0000,72.26,0.00
26,29658,1,8.3441,2.7519,0.0000,0.0000,91.56,0.00
27,59720,1,15.3848,8.2482,0.0000,0.0000,71.74,0.00
28,56161,1,14.4150,7.4519,0.0000,0.0000,73.53,0.00
29,55261,1,14.1240,7.2284,0.0000,0.0000,74.25,0.00
30,33299,1,9.0405,3.2740,0.0000,0.0000,88.79,0.00
31,79770,1,21.6513,13.4524,0.0000,0.0000,62.45,0.00
32,77069,1,20.6929,12.6746,0.0000,0.0000,63.85,0.00
33,46672,1,12.0228,5.5643,0.0000,0.0000,79.28,0.00
34,67871,1,17.8161,10.2589,0.0000,0.0000,67.75,0.00
35,80133,1,21.7963,13.6287,0.0000,0.0000,62.69,0.00
36,35185,1,9.4353,3.5554,0.0000,0.0000,87.08,0.00
37,44175,1,11.3565,5.0332,0.0000,0.0000,80.97,0.00
38,41458,1,10.7668,4.5799,0.0000,0.0000,82.76,0.00
39,59889,1,15.4109,8.2833,0.0000,0.0000,71.83,0.00
40,49031,1,12.5110,5.9325,0.0000,0.0000,77.83,0.00
41,50848,1,13.0373,6.3494,0.0000,0.0000,76.56,0.00
42,71120,1,18.8423,11.1342,0.0000,0.0000,66.42,0.00
43,34598,1,9.3113,3.4749,0.0000,0.0000,87.73,0.00
44,80957,1,22.0266,13.8034,0.0000,0.0000,62.26,0.00
45,45562,1,11.7380,5.3253,0.0000,0.0000,79.84,0.00
46,43052,1,11.1718,4.8925,0.0000,0.0000,81.54,0.00
