prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57721,1,14.3477,7.4165,0.0000,0.0000,73.87,0.00
1,81680,1,21.8713,13.4872,0.0000,0.0000,61.07,0.00
2,76786,1,20.4525,12.4157,0.0000,0.0000,63.71,0.00
3,77655,1,20.8682,12.7680,0.0000,0.0000,63.21,0.00
4,55756,1,14.2889,7.3540,0.0000,0.0000,73.83,0.00
5,29695,1,8.3595,2.7529,0.0000,0.0000,91.32,0.00
6,85132,1,23.4554,15.0035,0.0000,0.0000,60.58,0.00
7,24526,1,7.4114,2.0783,0.0000,0.0000,96.00,0.00
8,29086,1,8.2195,2.6612,0.0000,0.0000,92.11,0.00
9,86532,1,24.0236,15.5176,0.0000,0.0000,60.19,0.00
10,13840,1,5.7591,0.9774,0.0000,0.0000,107.07,0.00
11,80176,1,21.7694,13.5800,0.0000,0.0000,62.52,0.00
12,21042,1,6.8336,1.6829,0.0000,0.0000,99.40,0.00
13,41585,1,10.7905,4.5904,0.0000,0.0000,82.58,0.00
14,41450,1,10.7657,4.5776,0.0000,0.0000,82.74,0.00
15,48659,1,12.4691,5.8910,0.0000,0.0000,77.83,0.00
16,37565,1,9.9747,3.9644,0.0000,0.0000,85.19,0.00
17,65466,1,16.9825,9.5465,0.0000,0.0000,68.85,0.00
18,20047,1,6.6727,1.5691,0.0000,0.0000,100.32,0.00
19,94565,1,27.0692,18.1748,0.0000,0.0000,57.56,0.00
20,78893,1,21.3775,13.2574,0.0000,0.0000,63.05,0.00
21,51313,1,13.1696,6.4640,0.0000,0.0000,76.35,0.00
22,86583,1,24.0212,15.5151,0.0000,0.0000,60.19,0.00
23,56364,1,14.4289,7.4760,0.0000,0.0000,73.64,0.00
24,24602,1,7.4114,2.0906,0.0000,0.0000,96.23,0.00
25,35780,1,9.5042,3.6281,0.0000,0.0000,87.13,0.00
26,36620,1,9.6677,3.7441,0.0000,0.0000,86.43,0.00
27,29041,1,8.1915,2.6548,0.0000,0.0000,92.47,0.00
28,91385,1,25.7577,16.9921,0.0000,0.0000,58.41,0.00
29,39117,1,10.2337,4.1832,0.0000,0.0000,84.62,0.00
30,38722,1,10.1351,4.1037,0.0000,0.0000,84.89,0.00
31,69757,1,18.3260,10.6794,0.0000,0.0000,66.96,0.00
32,86011,1,23.8075,15.3189,0.0000,0.0000,60.32,0.00
33,40674,1,10.5621,4.4081,0.0000,0.0000,83.20,0.00
34,24970,1,7.4777,2.1342,0.0000,0.0000,95.82,0.00
35,70548,1,18.6302,10.9452,0.0000,0.0000,66.62,0.00
36,75229,1,20.1381,12.2145,0.0000,0.0000,64.62,0.00
37,16576,1,6.1110,1.2071,0.0000,0.0000,104.41,0.00
38,14963,1,5.8783,1.0578,0.0000,0.0000,106.21,0.00
39,35737,1,9.5080,3.6235,0.0000,0.0000,87.01,0.00
40,58779,1,15.1481,8.0706,0.0000,0.0000,72.34,0.00
41,51297,1,13.1524,6.4566,0.0000,0.0000,76.47,0.00
42,72259,1,19.0950,11.3166,0.0000,0.0000,65.82,0.00
43,85377,1,23.5735,15.1440,0.0000,0.0000,60.74,0.00
44,34663,1,9.3075,3.4639,0.0000,0.0000,87.62,0.00
45,17186,1,6.2188,1.2880,0.0000,0.0000,103.84,0.00
46,85436,1,23.5839,15.1371,0.0000,0.0000,60.61,0.00
47,93044,1,26.4339,17.5937,0.0000,0.0000,57.92,0.00
48,37699,1,9.9843,3.9778,0.0000,0.0000,85.24,0.00
49,97581,1,28.2395,19.1680,0.0000,0.0000,56.44,0.00
50,25415,1,7.5699,2.2128,0.0000,0.0000,95.57,0.00
51,67355,1,17.6113,10.0854,0.0000,0.0000,68.03,0.00
52,81369,1,22.1385,13.9067,0.0000,0.0000,62.20,0.00
53,84358,1,23.1906,14.8138,0.0000,0.0000,61.12,0.00
54,46627,1,11.9827,5.5365,0.0000,0.0000,79.43,0.00
55,16312,1,6.0764,1.1769,0.0000,0.0000,104.50,0.00
56,26750,1,7.8114,2.3768,0.0000,0.0000,94.21,0.00
57,60738,1,15.6604,8.4967,0.0000,0.0000,71.47,0.00
58,24635,1,7.4181,2.0941,0.0000,0.0000,96.17,0.00
59,40965,1,10.6602,4.4947,0.0000,0.0000,83.04,0.00
60,47686,1,12.1938,5.6916,0.0000,0.0000,78.74,0.00
61,25018,1,7.4800,2.1372,0.0000,0.0000,95.83,0.00
62,62954,1,16.3395,9.0475,0.0000,0.0000,70.21,0.00
63,32532,1,8.8641,3.1338,0.0000,0.0000,89.35,0.00
64,56874,1,14.5916,7.5995,0.0000,0.0000,73.23,0.00
65,67044,1,17.5759,10.0574,0.0000,0.0000,68.10,0.00
