prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,41716,11.6570,7.4916,2.1490,1.6714,122.92,5.63
1,27177,7.0598,4.1803,1.4555,1.1274,177.81,7.76
2,35238,9.5655,5.9328,1.8369,1.4278,140.94,6.40
3,26966,7.3425,4.2385,1.5886,1.2478,164.95,7.01
4,22347,6.7467,3.3134,1.7496,1.3442,149.13,6.32
5,20281,6.5096,2.9157,1.8116,1.4270,142.47,5.89
6,22027,7.8970,3.2773,2.3590,1.8103,110.83,4.70
7,23977,7.2380,3.6165,1.8436,1.4245,141.38,6.02
8,23746,6.4602,3.5600,1.4798,1.1366,176.54,7.53
9,20473,5.9920,2.9670,1.5277,1.1984,169.25,7.01
10,23252,6.4781,3.4996,1.5182,1.1663,171.90,7.31
11,30625,8.5015,4.9763,1.7854,1.3938,145.24,6.40
12,20667,6.0759,3.0198,1.5555,1.2000,167.53,7.01
13,27118,7.3110,4.2292,1.5571,1.2161,166.14,7.21
14,28753,7.6083,4.5934,1.5269,1.1855,169.82,7.42
15,25070,7.5458,3.8573,1.8757,1.4522,138.81,5.95
16,37340,9.9157,6.5188,1.7228,1.3357,150.73,6.92
17,22514,7.5727,3.3723,2.1426,1.6456,121.89,5.17
18,28674,7.7323,4.5887,1.6088,1.2520,162.87,7.01
19,40412,11.1345,7.2179,1.9842,1.5431,130.72,6.10
20,43019,11.5956,7.9345,1.8895,1.4142,139.85,6.74
21,37717,9.6579,6.6221,1.5393,1.1952,168.66,7.76
22,40488,11.6685,7.2371,2.2470,1.7454,115.54,5.39
23,31926,8.8614,5.2280,1.8820,1.4017,140.92,6.40
24,34943,9.2552,5.9429,1.6822,1.3015,154.57,7.01
25,27710,7.6415,4.3479,1.6653,1.3002,155.45,6.74
26,22585,6.1431,3.3922,1.4095,1.0806,186.12,7.88
27,21604,8.1782,3.1840,2.5493,1.9561,102.52,4.34
28,21670,7.0875,3.1943,1.9862,1.5253,131.51,5.57
29,39877,11.3994,7.0845,2.1897,1.6972,118.66,5.51
30,25248,7.0940,3.8780,1.6350,1.2655,159.20,6.83
31,20868,6.0623,3.0611,1.5451,1.1647,170.60,7.21
32,23720,6.5798,3.5539,1.5416,1.1864,169.20,7.21
33,25715,7.3103,3.9647,1.6999,1.3164,153.04,6.56
34,22389,6.3326,3.3221,1.5358,1.1792,170.07,7.21
35,54460,14.9550,11.0271,2.0965,1.4517,130.35,6.92
36,38322,9.9859,6.7568,1.6358,1.2678,158.56,7.31
37,24243,6.5177,3.6525,1.4576,1.1280,178.70,7.64
38,25245,7.1344,3.8793,1.6540,1.2828,157.29,6.74
39,21993,6.3254,3.2715,1.5595,1.1949,167.65,7.11
40,21937,6.4900,3.2641,1.6453,1.2611,158.72,6.74
41,22891,7.2740,3.4119,1.9691,1.5130,132.57,5.63
42,35666,10.1395,6.0875,2.0590,1.5901,126.36,5.75
43,42169,12.3368,7.6637,2.3895,1.8237,109.56,5.17
44,63169,18.0981,13.7525,2.3964,1.5492,117.82,6.74
45,22022,6.0762,3.2784,1.4305,1.0949,183.00,7.76
46,24451,6.6937,3.6963,1.5234,1.1792,170.82,7.31
47,20521,7.6772,2.9984,2.3666,1.8521,109.43,4.53
48,28560,7.3842,4.5092,1.4531,1.1322,178.09,7.76
49,39054,10.3325,6.9091,1.7350,1.3437,149.56,6.92
50,27666,7.4227,4.3447,1.5564,1.2147,166.34,7.21
51,40241,10.7294,7.1901,1.7931,1.3933,144.66,6.74
52,20170,6.1326,2.9056,1.6286,1.2774,158.66,6.56
53,27177,7.2193,4.2311,1.5130,1.1791,171.34,7.42
54,22584,7.7506,3.3818,2.2313,1.7103,117.19,4.97
55,25706,7.9537,3.9623,2.0256,1.5716,128.27,5.51
56,30533,8.9100,4.9500,2.0042,1.5634,129.29,5.69
57,25697,6.7981,3.9654,1.4404,1.1144,180.75,7.76
58,29727,7.9557,4.7957,1.5966,1.2481,162.02,7.11
59,24235,6.8605,3.6507,1.6309,1.2627,159.51,6.83
