prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21359,7.1320,2.8695,2.2126,1.7147,120.12,4.83
1,67610,18.1990,14.2825,1.9952,1.4281,130.73,7.42
2,51583,14.0436,9.6010,2.2404,1.7335,115.25,5.69
3,45940,12.5000,8.1975,2.2582,1.6162,119.00,5.95
4,76082,22.0650,17.6473,2.4471,1.6433,115.90,6.74
5,13949,4.3780,1.7131,1.3568,1.0481,192.13,7.64
6,48737,12.2842,8.8745,1.7293,1.3347,150.16,7.31
7,52305,13.7451,9.8418,1.9801,1.5234,131.17,6.48
8,46596,12.0361,8.3729,1.8673,1.4280,139.77,6.74
9,42433,12.9013,7.3259,2.8987,2.1441,91.83,4.38
10,55705,14.9156,10.8133,2.2346,1.4837,124.81,6.74
11,39428,10.1443,6.5233,1.8351,1.4233,141.40,6.48
12,97202,30.3174,25.8948,2.3731,1.6067,115.77,7.53
13,41364,10.3137,7.0301,1.6631,1.2947,155.93,7.21
14,84224,24.6906,20.5421,2.2075,1.5421,123.42,7.42
15,41085,10.3623,6.9490,1.7279,1.3463,150.00,6.92
16,42399,13.0783,7.3062,2.9853,2.2277,88.70,4.20
17,26995,7.2651,3.8944,1.7020,1.3310,151.90,6.48
18,96626,29.8772,25.6145,2.1983,1.6116,120.11,7.53
19,55843,14.6408,10.8272,2.0774,1.3842,134.26,7.21
20,40761,10.5586,6.8219,1.8916,1.4726,137.02,6.32
21,40531,10.0697,6.7918,1.6577,1.2906,156.20,7.21
22,57284,15.4962,11.2922,2.3236,1.5607,121.79,6.48
23,54495,14.3339,10.4651,2.0678,1.4242,132.34,7.01
24,45924,11.7131,8.1928,1.8560,1.3273,145.44,7.21
25,58514,17.3038,11.6642,3.0560,2.0569,90.79,4.92
26,29550,7.8014,4.4296,1.7000,1.3348,151.85,6.56
27,59277,16.0312,11.8717,2.2733,1.4940,123.09,6.83
28,56028,14.7571,10.9394,2.0690,1.3881,134.11,7.21
29,55048,14.4581,10.6367,2.0786,1.3811,133.98,7.21
30,33241,10.3554,5.1859,2.6430,2.0170,99.04,4.41
31,79678,22.8351,18.7861,2.1664,1.4817,126.45,7.53
32,76968,21.9922,17.7283,2.2943,1.5573,120.08,7.11
33,45169,11.6337,7.9620,1.8788,1.4309,139.44,6.65
34,67357,18.7345,14.4567,2.3458,1.5331,119.69,6.92
35,80060,23.1962,18.9576,2.2693,1.5543,120.80,7.21
36,34953,9.1114,5.5564,1.8135,1.3924,144.02,6.48
37,44079,11.2074,7.6562,1.8172,1.3822,144.18,6.83
38,41330,10.2408,7.0116,1.6360,1.2730,158.55,7.31
39,59768,16.1037,12.0038,2.2670,1.4538,124.88,7.01
40,48911,12.5411,8.8730,1.8607,1.4371,139.58,6.74
41,50562,13.2372,9.4246,1.9262,1.4900,134.29,6.56
42,68646,18.6649,14.8401,2.0094,1.4385,133.86,7.42
43,34493,8.9146,5.4333,1.7709,1.3614,147.07,6.56
44,80249,23.0639,18.9493,2.1969,1.5080,124.43,7.42
45,45433,11.6473,8.0249,1.8464,1.4144,141.35,6.74
46,42940,11.1321,7.3722,1.9258,1.4574,136.17,6.48
47,66384,18.4960,14.2033,2.2958,1.5478,119.27,6.83
48,62497,17.1720,12.9505,2.2605,1.5649,121.28,6.65
49,64922,17.6782,13.6695,2.2117,1.4148,127.72,7.42
50,64331,18.0562,13.4981,2.5139,1.6171,112.33,6.48
51,60831,17.8720,12.3770,3.0602,1.9410,93.18,5.28
52,61279,16.6743,12.4336,2.3078,1.5413,120.74,6.65
53,32350,8.4738,4.9566,1.7954,1.3718,145.57,6.48
54,36657,9.3865,5.8737,1.7871,1.3778,145.75,6.56
55,91417,27.7587,23.3940,2.2860,1.6403,117.31,7.21
56,65436,18.2165,13.7385,2.4685,1.5948,114.34,6.56
57,46663,11.7666,8.3593,1.7371,1.3276,150.26,7.21
58,53750,13.8245,10.2854,1.8219,1.3633,144.67,7.31
59,59395,16.2708,11.9857,2.3016,1.5785,119.48,6.48
60,40279,10.2624,6.7543,1.7800,1.3792,145.95,6.74
61,90110,27.0595,22.9203,2.1889,1.5553,123.69,7.53
62,73819,22.6178,16.6695,3.2310,2.1669,86.08,5.02
63,79005,22.8591,18.5340,2.3251,1.5870,118.38,7.01
64,42322,12.7514,7.2962,2.8098,2.1135,93.85,4.41
65,53902,14.7591,10.3039,2.3109,1.7089,114.92,5.82
66,61769,17.0437,12.6678,2.4258,1.5536,117.00,6.65
67,64889,17.8200,13.6269,2.3045,1.4937,122.10,7.01
68,63342,17.4724,13.1339,2.3995,1.5414,118.01,6.74
69,39113,9.9619,6.4823,1.7623,1.3666,147.14,6.74
70,49547,12.8082,9.1172,1.8766,1.4443,138.71,6.74
71,16319,5.2003,2.0403,1.5957,1.2519,162.03,6.48
72,57675,15.6684,11.4310,2.2982,1.5422,120.83,6.56
73,74334,21.0290,16.8580,2.2556,1.5140,122.75,7.21
74,41988,10.7257,7.1961,1.7961,1.3890,145.06,6.74
75,46074,11.7366,8.2146,1.8854,1.3071,145.37,7.31
76,60183,16.0971,12.1820,2.1734,1.3812,130.78,7.42
77,52145,13.5872,9.8049,1.9198,1.4826,135.37,6.65
78,37351,10.1267,6.0961,2.0466,1.5844,127.03,5.75
79,41649,10.5611,7.1399,1.7370,1.3472,149.66,6.92
80,52871,13.4333,9.9742,1.7687,1.3477,148.02,7.31
81,65038,17.6323,13.6676,2.1823,1.4110,129.14,7.42
82,40139,10.3649,6.6784,1.8653,1.4498,138.88,6.40
83,51847,13.1598,9.7650,1.7731,1.3644,150.82,7.21
84,79672,23.1405,18.7897,2.3311,1.5959,117.68,7.01
85,65911,18.4758,13.9899,2.4677,1.5988,114.14,6.56
86,35847,9.1534,5.7221,1.7467,1.3427,149.21,6.74
87,51204,13.7716,9.6009,2.2771,1.5153,122.76,6.48
88,96615,35.4401,25.6183,5.1215,3.7385,52.13,3.24
89,62300,17.8301,12.8797,2.7452,1.7576,103.43,5.89
90,56180,15.0980,10.9611,2.2405,1.5100,123.76,6.65
91,94730,33.7504,24.8698,4.6573,3.3759,57.65,3.56
92,59788,17.1452,12.0282,2.8379,1.8141,100.06,5.63
93,74351,21.1303,16.8477,2.3168,1.5553,119.56,7.01
94,55590,14.9839,10.7897,2.2855,1.5204,122.07,6.56
95,58268,15.5989,11.6306,2.1487,1.4436,129.02,7.01
96,54887,14.8984,10.6121,2.3348,1.5568,119.45,6.40
97,56312,15.6909,10.9769,2.5411,1.7290,108.61,5.82
98,42563,11.1981,7.3288,2.0143,1.4814,132.32,6.32
99,59743,16.8522,12.0166,2.6815,1.7167,105.88,5.95
100,51451,13.4954,9.6175,1.9687,1.5161,132.03,6.48
101,56469,15.2918,11.0061,2.3280,1.5549,119.47,6.48
102,48444,12.5834,8.8065,1.9170,1.4763,135.56,6.56
103,60058,16.6984,12.1646,2.5183,1.5957,112.93,6.40
104,10634,4.4946,1.2406,1.6608,1.2756,157.35,6.10
105,54092,14.2694,10.4073,2.0236,1.4566,132.57,6.83
106,44158,13.1494,7.6564,2.8056,2.1447,93.21,4.41
