prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,15.9184,11.5911,2.3136,1.5690,118.32,6.48
1,81646,24.5802,20.1148,2.2950,1.6465,114.66,6.92
2,76090,22.7944,18.2187,2.4546,1.6657,111.90,6.65
3,77617,23.1519,18.7447,2.3649,1.6128,116.17,6.92
4,55747,19.5873,11.4282,4.4390,2.9722,62.75,3.39
5,29498,8.1031,4.7797,1.6834,1.3142,154.06,6.74
6,85073,26.0873,21.6672,2.2855,1.6890,115.83,6.83
7,24370,6.9719,3.6804,1.6735,1.2946,155.55,6.65
8,29084,7.8476,4.6665,1.6116,1.2536,160.95,7.01
9,86449,26.7189,22.2884,2.3450,1.6570,115.56,7.01
10,13820,4.8295,1.8698,1.5053,1.1670,172.99,6.92
11,80111,24.4173,19.7608,2.4871,1.7179,109.96,6.56
12,21014,6.4267,3.0933,1.7346,1.2803,153.60,6.56
13,40539,10.7875,7.2580,1.7959,1.3922,145.06,6.74
14,41253,11.1485,7.4711,1.8695,1.4492,139.23,6.48
15,47961,12.8449,9.2082,1.8525,1.4223,140.79,6.83
16,37493,10.1136,6.5362,1.8159,1.4038,143.12,6.56
17,65396,19.5677,14.4001,2.8417,1.8527,99.08,5.69
18,19849,5.7883,2.8631,1.4781,1.1591,175.03,7.21
19,94472,30.1261,25.6502,2.3334,1.6919,114.39,7.11
20,78236,23.7620,19.0684,2.5171,1.7292,109.08,6.48
21,51271,13.9163,10.1638,1.9067,1.4694,136.44,6.74
22,86529,28.1028,22.3371,3.0526,2.1566,88.80,5.39
23,56310,15.7795,11.5879,2.2588,1.5442,122.15,6.56
24,24586,6.8422,3.7677,1.5625,1.2104,166.53,7.11
25,35659,9.4624,6.0994,1.7120,1.3182,152.24,6.92
26,36601,9.7004,6.2795,1.7378,1.3408,149.67,6.83
27,27547,7.7498,4.3365,1.7307,1.3473,150.00,6.48
28,90282,28.2766,23.8575,2.3212,1.6555,115.86,7.11
29,38905,10.3602,6.8999,1.7582,1.3579,147.97,6.83
30,38665,10.4631,6.8212,1.8489,1.4284,140.59,6.48
31,68405,19.9330,15.5285,2.4058,1.5870,116.25,6.74
32,83924,25.8721,21.2122,2.4685,1.7273,109.87,6.65
33,40640,10.7556,7.2561,1.7775,1.3722,146.31,6.83
34,24760,6.9058,3.7827,1.5859,1.2286,163.94,7.01
35,70404,20.4919,16.2944,2.2846,1.5219,121.98,7.11
36,74909,23.5451,17.8234,3.0834,2.0918,89.48,5.28
37,16245,5.3852,2.2265,1.5969,1.2495,162.09,6.56
38,14941,5.1051,2.0150,1.5709,1.2189,165.69,6.65
39,35576,9.4041,6.0868,1.6894,1.3006,154.34,7.01
40,58665,16.5324,12.3182,2.2780,1.5361,121.49,6.65
41,51288,14.0786,10.1711,1.9877,1.5280,131.03,6.48
42,70925,20.6601,16.3985,2.3166,1.5421,120.14,7.01
43,83377,25.5359,21.1359,2.3429,1.6358,116.36,7.01
44,34600,9.1662,5.8633,1.6848,1.2931,155.02,7.01
45,17068,5.4595,2.4154,1.5389,1.2047,168.19,6.83
46,82662,25.5006,20.8702,2.4675,1.7127,110.57,6.65
47,90967,29.0375,24.2303,2.5190,1.8059,106.51,6.56
48,36310,9.6461,6.2319,1.7384,1.3379,149.96,6.83
49,97404,31.7449,26.8537,2.5400,1.8517,104.68,6.56
50,25417,7.3621,3.9384,1.7396,1.3475,149.54,6.40
51,67302,19.6195,15.1503,2.4373,1.6045,114.56,6.65
52,80841,25.3250,20.0466,2.8174,1.9522,97.00,5.82
53,84104,25.9792,21.3703,2.4424,1.7084,111.09,6.74
54,46064,13.1369,8.7251,2.3587,1.6384,116.05,5.89
55,16285,5.4075,2.2451,1.5975,1.2517,161.90,6.56
56,26728,7.4672,4.1817,1.6630,1.2937,155.84,6.74
57,60666,17.2697,12.8855,2.4235,1.5508,116.78,6.65
58,24235,6.9024,3.6552,1.6527,1.2764,157.68,6.74
59,40886,10.8959,7.3000,1.8258,1.4105,142.38,6.65
60,47369,12.7340,9.0498,1.8754,1.4362,138.97,6.74
61,24987,7.0483,3.8364,1.6327,1.2627,159.41,6.83
62,62887,18.0899,13.7376,2.4011,1.5485,117.64,6.74
63,32507,8.6814,5.3516,1.7020,1.2997,153.77,6.92
64,55848,15.6497,11.4294,2.2950,1.5340,121.32,6.56
65,67033,19.3972,15.1109,2.3422,1.5414,119.45,6.92
