prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,1,12.0025,8.5981,1.6610,1.3196,150.40,6.56
1,81646,1,18.6895,14.9349,1.8103,1.3549,136.36,6.83
2,76090,1,17.3841,13.7693,1.7791,1.3725,141.64,6.56
3,77617,1,17.7429,14.2686,1.7053,1.3156,147.36,6.92
4,55747,1,14.5197,8.9121,2.8140,2.2068,91.30,3.74
5,29498,1,6.4535,3.8440,1.2942,1.0439,196.21,6.92
6,85073,1,20.3834,16.5664,1.9752,1.3882,134.14,6.74
7,24370,1,5.6827,3.0293,1.3147,1.0685,192.97,6.56
8,29084,1,6.3220,3.7885,1.2598,1.0143,202.09,7.11
9,86449,1,20.6899,17.0347,1.8121,1.3831,140.07,6.83
10,13820,1,3.8740,1.5616,1.1379,0.9453,221.42,7.01
11,80111,1,18.7140,15.2622,1.7569,1.3457,148.33,6.83
12,21014,1,5.1173,2.5545,1.2650,1.0343,199.78,6.65
13,40539,1,8.8484,5.8277,1.5093,1.1983,169.50,6.40
14,41253,1,8.7421,5.9691,1.3858,1.1005,184.64,7.01
15,47961,1,10.2632,7.3030,1.4827,1.1644,172.96,6.83
16,37493,1,8.0716,5.2566,1.4057,1.1194,181.88,6.74
17,65396,1,14.5305,11.2622,1.6351,1.2633,156.65,6.83
18,19849,1,4.7431,2.3706,1.1729,0.9611,215.80,7.11
19,94472,1,23.5325,19.5971,2.0764,1.4228,130.10,6.83
20,78236,1,18.2148,14.7108,1.7683,1.3556,146.12,6.74
21,51271,1,11.0103,8.0000,1.5181,1.1844,170.08,6.83
22,86529,1,22.0460,17.1160,2.4903,1.9013,103.85,4.97
23,56310,1,12.3334,9.1016,1.6172,1.2595,158.43,6.56
24,24586,1,5.6218,3.0964,1.2487,1.0183,202.74,6.92
25,35659,1,7.6786,4.9052,1.3883,1.0955,184.61,6.83
26,36601,1,8.0707,5.0838,1.4901,1.1933,171.41,6.32
27,27547,1,6.2991,3.5443,1.3645,1.1080,185.86,6.48
28,90282,1,21.9394,18.2546,1.8431,1.3865,138.95,6.92
29,38905,1,9.6517,5.5178,2.0683,1.6479,123.86,4.61
30,38665,1,8.2038,5.4617,1.3604,1.0825,186.72,7.01
31,68405,1,15.4683,12.0444,1.7276,1.3348,149.54,6.56
32,83924,1,19.9990,16.3271,1.8386,1.4042,139.44,6.65
33,40640,1,8.7151,5.8324,1.4357,1.1387,177.61,6.74
34,24760,1,5.6327,3.1146,1.2525,1.0159,203.33,6.92
35,70404,1,15.8867,12.5867,1.6571,1.2734,155.15,6.92
36,74909,1,19.0169,13.8119,2.6224,2.0189,98.37,4.45
37,16245,1,4.2863,1.8670,1.1962,0.9788,211.63,6.83
38,14941,1,4.1969,1.7041,1.2260,1.0134,205.39,6.56
39,35576,1,7.6312,4.9087,1.3632,1.0799,188.06,6.92
40,58665,1,12.9016,9.6708,1.6152,1.2575,158.47,6.65
41,51288,1,11.0956,8.0064,1.5565,1.2162,165.73,6.65
42,70925,1,16.0593,12.7431,1.6589,1.2753,154.39,6.92
43,83377,1,19.8561,16.1907,1.8402,1.4046,139.68,6.65
44,34600,1,7.4367,4.7273,1.3506,1.0757,188.98,6.92
45,17068,1,4.4970,1.9938,1.2391,1.0126,204.54,6.65
46,82662,1,19.6346,15.9884,1.8312,1.3994,140.42,6.65
47,90967,1,22.3537,18.4780,1.9559,1.4468,132.11,6.65
48,36310,1,8.1196,5.0484,1.5506,1.2035,166.71,6.24
49,97404,1,24.7561,20.5281,2.2139,1.5370,121.10,6.40
50,25417,1,5.9019,3.2303,1.3268,1.0763,191.65,6.56
51,67302,1,15.1615,11.7627,1.6985,1.3060,150.64,6.65
52,80841,1,20.4039,15.4380,2.5158,1.9239,103.10,4.79
53,84104,1,19.9959,16.3722,1.8226,1.3860,141.29,6.74
54,46064,1,9.9399,6.9226,1.5073,1.1878,169.69,6.65
55,16285,1,4.3553,1.8708,1.2270,1.0048,206.08,6.65
56,26728,1,6.1153,3.4090,1.3417,1.0839,189.19,6.56
57,60666,1,13.3777,10.1159,1.6357,1.2703,156.97,6.65
58,24235,1,5.5612,3.0072,1.2650,1.0288,200.47,6.83
59,40886,1,8.8316,5.8721,1.4752,1.1737,173.00,6.56
60,47369,1,10.2253,7.1958,1.5178,1.1917,169.00,6.65
61,24987,1,5.7153,3.1534,1.2747,1.0319,199.84,6.83
62,62887,1,13.8327,10.6590,1.5913,1.2295,161.32,6.92
63,32507,1,6.9586,4.3557,1.2936,1.0343,196.71,7.11
64,55848,1,12.0828,9.0238,1.5315,1.1943,167.37,6.92
65,67033,1,15.0030,11.7102,1.6475,1.2705,155.49,6.83
