prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,42051,1,7.6114,5.1492,0.4131,1.8251,207.94,3.94
1,28143,1,4.8947,2.8142,0.3674,1.5457,246.10,4.20
2,36539,1,6.4766,4.1182,0.4035,1.7612,217.10,3.94
3,29039,1,5.5408,2.9834,0.4460,1.9074,200.20,3.41
4,22714,1,4.3619,2.1288,0.4000,1.6495,229.28,3.76
5,21812,1,4.6685,2.0059,0.4766,1.9670,192.30,3.14
6,22646,1,5.1634,2.1307,0.5334,2.2386,168.83,2.77
7,25024,1,4.4804,2.4349,0.3611,1.5108,250.30,4.20
8,24150,1,5.1392,2.3114,0.4970,2.1004,181.06,3.01
9,21045,1,4.2611,1.9400,0.4266,1.7137,220.59,3.58
10,23442,1,5.2455,2.2282,0.5342,2.2288,169.69,2.81
11,31600,1,6.1797,3.3990,0.4881,2.0732,184.13,3.22
12,22289,1,4.8199,2.0831,0.4885,2.0344,187.08,3.05
13,27965,1,5.3228,2.8660,0.4259,1.8267,208.40,3.58
14,29778,1,5.4236,3.1429,0.3912,1.6987,224.49,3.91
15,25868,1,5.6792,2.5609,0.5485,2.3272,164.19,2.75
16,38167,1,6.9996,4.5035,0.4190,1.8802,205.12,3.76
17,23130,1,5.0469,2.1774,0.5120,2.1202,178.43,2.94
18,30060,1,5.3248,3.1990,0.3690,1.5809,240.85,4.20
19,43636,1,8.1380,5.4908,0.4433,2.0173,193.41,3.66
20,45405,1,8.3239,5.8793,0.4026,1.8514,209.44,4.03
21,40309,1,8.2732,4.8987,0.5661,2.5529,151.73,2.83
22,44438,1,7.9591,5.6788,0.3811,1.7218,224.53,4.30
23,34797,1,6.5914,3.9541,0.4540,1.9841,194.13,3.48
24,35288,1,6.6921,4.0006,0.4555,2.0322,190.22,3.41
25,28694,1,5.5350,2.9864,0.4495,1.8936,200.89,3.46
26,23357,1,4.6306,2.2287,0.4336,1.7805,213.16,3.51
27,22576,1,4.3874,2.1459,0.4037,1.6640,228.42,3.74
28,22524,1,4.8747,2.1328,0.4867,2.0310,186.73,3.07
29,42018,1,7.9304,5.2341,0.4522,2.0409,189.89,3.56
30,25980,1,4.8370,2.6075,0.3944,1.6577,229.65,3.85
31,22679,1,4.7674,2.1524,0.4704,1.9423,195.79,3.20
32,24753,1,4.8686,2.4133,0.4324,1.8253,208.53,3.48
33,27006,1,5.1725,2.7185,0.4279,1.8357,208.64,3.53
34,23108,1,5.2510,2.1763,0.5474,2.2874,166.52,2.72
