prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21420,1,6.6752,2.0038,0.8328,3.4217,109.60,1.80
1,68195,1,16.1457,10.8727,0.8739,3.9818,97.10,2.17
2,51795,1,10.8383,7.0590,0.6065,2.8563,135.48,2.72
3,46064,1,9.2886,5.9700,0.5698,2.4960,154.28,2.99
4,76314,1,17.2886,13.4182,0.6233,2.9515,132.29,3.08
5,14066,1,5.1122,1.1404,0.7350,2.9168,128.91,1.98
6,49083,1,11.5140,6.5406,0.8109,3.7936,102.95,2.02
7,52468,1,10.7238,7.2994,0.5594,2.6044,149.52,2.99
8,46672,1,11.7396,6.1367,0.9232,4.2766,91.38,1.76
9,42512,1,9.2206,5.3339,0.6643,2.9313,131.73,2.49
10,55832,1,11.6262,8.0955,0.6079,2.6704,145.01,2.99
11,39747,1,9.0116,4.7993,0.7094,3.1881,121.55,2.24
12,97342,1,23.2993,20.4533,0.4480,2.1864,179.90,4.70
13,41480,1,8.6907,5.1345,0.6006,2.7017,143.98,2.68
14,85869,1,20.3271,16.4291,0.5998,3.0023,131.35,3.22
15,41217,1,8.9286,5.0772,0.6458,2.9255,132.94,2.47
16,42474,1,10.5233,5.3275,0.8891,3.9243,98.54,1.86
17,27121,1,6.2408,2.7302,0.6121,2.6188,145.84,2.49
18,96700,1,24.6588,20.2258,0.6634,3.4326,115.50,2.99
19,57221,1,13.6518,8.3741,0.8941,4.0204,97.01,2.02
20,40819,1,9.7610,4.9433,0.8100,3.6515,106.28,1.98
21,40733,1,8.9208,4.9300,0.6692,3.0166,128.30,2.39
22,57494,1,12.1669,8.5115,0.6171,2.7671,140.07,2.93
23,54777,1,13.3430,7.9140,0.9372,4.0413,94.31,1.98
24,47477,1,8.6909,6.2801,0.3996,1.8289,212.37,4.13
25,58718,1,13.8496,8.8556,0.8421,3.7928,102.52,2.15
26,29658,1,6.0874,3.1259,0.5159,2.2135,172.88,2.99
27,59720,1,12.6922,9.0353,0.6339,2.7515,140.01,2.99
28,56161,1,11.7392,8.2013,0.6036,2.6836,144.72,2.99
29,55261,1,11.4721,7.9488,0.5995,2.6631,145.32,2.99
30,33299,1,7.9760,3.6976,0.7385,3.2271,119.67,2.11
31,79770,1,19.6975,14.5495,0.8197,3.9760,99.46,2.34
32,77069,1,17.6069,13.6865,0.6290,3.0008,130.60,3.05
33,46672,1,10.0868,6.1448,0.6516,3.0135,129.88,2.50
34,67871,1,16.0244,11.1411,0.8153,3.7276,104.85,2.33
35,80133,1,17.6541,14.7074,0.4715,2.2765,173.76,4.10
36,35185,1,7.2271,3.9872,0.5515,2.4475,158.03,2.83
37,44175,1,9.0817,5.5977,0.5783,2.6512,146.96,2.78
38,41458,1,8.8149,5.1109,0.6186,2.8126,138.23,2.57
39,59889,1,14.2753,9.0575,0.9057,3.9420,98.13,2.09
40,49031,1,9.9068,6.5552,0.5471,2.5559,152.76,2.99
41,50848,1,10.4252,7.0080,0.5678,2.5918,149.83,2.99
42,71120,1,17.4787,12.0893,0.8867,4.1308,95.00,2.14
43,34598,1,7.6950,3.8942,0.6514,2.8603,134.71,2.40
44,80957,1,20.1115,14.8858,0.8001,4.0527,97.98,2.32
45,45562,1,9.5228,5.9181,0.5945,2.7460,142.04,2.72
46,43052,1,8.4505,5.4349,0.5024,2.2821,169.78,3.22
47,66576,1,15.7114,10.8235,0.7868,3.7502,104.75,2.29
48,62871,1,15.2607,9.8897,0.9223,4.0950,95.33,2.05
49,65226,1,15.3159,10.3771,0.8389,3.7524,103.67,2.28
50,64498,1,14.0083,10.2197,0.6414,2.8772,135.14,2.96
51,62435,1,14.7959,9.7429,0.8686,3.8270,101.33,2.19
52,61378,1,14.2924,9.4404,0.8102,3.7128,105.52,2.24
53,32596,1,8.2645,3.5325,0.8155,3.5579,108.20,1.90
54,36826,1,7.3384,4.2602,0.5264,2.3245,166.33,2.99
55,92944,1,23.1817,18.9001,0.6501,3.3055,119.58,3.03
56,66006,1,15.4846,10.6554,0.8180,3.6927,106.02,2.32
57,46827,1,9.4562,6.1505,0.5457,2.5103,154.89,2.99
58,54445,1,11.5119,7.8012,0.6235,2.8208,137.98,2.81
59,60407,1,20.0255,9.1715,1.8835,8.2369,47.17,1.00
60,40422,1,6.5149,4.9030,0.2690,1.2114,317.63,5.95
61,90187,1,21.7004,17.9713,0.6033,2.8705,137.30,3.44
62,74119,1,17.9707,12.8986,0.8329,3.9110,100.95,2.30
63,79112,1,18.6148,14.3597,0.6807,3.2784,120.33,2.83
64,42379,1,9.9753,5.3185,0.7929,3.5171,109.95,2.06
65,54248,1,13.0168,7.7702,0.8755,4.0022,97.59,1.98
66,62051,1,15.0711,9.6239,0.9355,4.1346,93.99,2.02
67,65021,1,15.4565,10.3546,0.8687,3.8960,100.35,2.19
68,64053,1,13.8024,10.0905,0.6320,2.8194,137.93,2.99
69,39336,1,9.2787,4.7079,0.7728,3.4525,112.02,2.06
70,49711,1,12.1829,6.7644,0.8901,4.1310,94.49,1.86
71,16388,1,5.7809,1.4074,0.8009,3.2309,117.07,1.82
72,58632,1,12.2218,8.7723,0.5827,2.6084,148.43,3.12
73,74986,1,18.2644,13.1460,0.8285,3.9294,100.03,2.31
74,42150,1,8.4840,5.2491,0.5455,2.4509,158.27,2.96
