prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57721,1,12.1264,8.3993,0.5922,2.6816,137.37,3.01
1,81680,1,18.2158,14.8605,0.4964,2.4432,152.60,3.85
2,76786,1,19.1239,13.6077,0.8607,4.2934,92.82,2.14
3,77655,1,17.5642,14.8743,0.5303,2.6620,190.34,3.46
4,55756,1,11.6002,8.0829,0.6016,2.6721,145.57,2.99
5,29695,1,8.0176,3.1303,0.8461,3.6675,104.76,1.81
6,85132,1,19.4990,16.3598,0.4995,2.4723,163.10,3.88
7,24526,1,5.2638,2.3770,0.5092,2.1473,177.35,2.96
8,29086,1,5.5568,3.0308,0.4393,1.8878,202.69,3.48
9,86532,1,19.4520,16.7998,0.4014,1.9871,193.05,4.88
10,13840,1,4.0261,1.1281,0.5334,2.1264,176.67,2.71
11,80176,1,18.8693,14.8899,0.6452,3.1346,128.66,2.99
12,21042,1,4.7456,1.9542,0.4989,2.0092,183.42,3.08
13,41585,1,9.1051,5.1531,0.6634,3.0042,129.55,2.42
14,41450,1,7.2692,5.1239,0.3570,1.6184,238.67,4.49
15,48659,1,9.3423,6.5241,0.4581,2.1396,181.67,3.58
16,37565,1,8.0382,4.4548,0.6021,2.7094,142.88,2.61
17,65466,1,14.4709,10.4291,0.6843,3.0752,126.67,2.78
18,20047,1,5.1254,1.8053,0.5967,2.4634,154.21,2.47
19,94565,1,24.0705,19.5783,0.6725,3.4709,113.97,2.93
20,78893,1,17.5698,14.5019,0.4646,2.3336,166.89,3.97
21,51313,1,9.9763,7.1376,0.4620,2.1625,180.36,3.61
22,86583,1,20.7543,16.8269,0.5898,2.9363,130.37,3.30
23,56364,1,12.2469,8.2200,0.6807,3.0670,127.15,2.64
24,24602,1,4.9497,2.4078,0.4483,1.8924,201.43,3.37
25,35780,1,7.1525,4.0816,0.5241,2.3093,166.72,3.01
26,36620,1,7.4961,4.2053,0.5578,2.4796,155.59,2.81
27,29041,1,6.2585,3.0262,0.5629,2.4130,158.40,2.72
28,91385,1,22.5962,18.5297,0.6116,3.1191,125.91,3.20
29,39117,1,8.7155,4.6974,0.6787,3.0411,127.42,2.34
30,38722,1,7.6779,4.6282,0.5199,2.3085,167.89,3.08
31,69757,1,15.4568,11.6996,0.6007,2.7676,136.27,3.18
32,86011,1,20.2331,16.6334,0.5470,2.7274,142.23,3.56
33,40674,1,7.9880,4.9368,0.5127,2.3128,167.80,3.12
34,24970,1,6.0293,2.4488,0.6303,2.6684,143.00,2.38
35,70548,1,15.7397,11.9723,0.6070,2.8087,135.90,3.14
36,75229,1,18.7822,13.3065,0.8761,4.1692,93.50,2.19
37,16576,1,4.5079,1.4147,0.5623,2.2871,165.53,2.59
38,14963,1,3.6139,1.2213,0.4394,1.7549,214.00,3.30
39,35737,1,7.4715,4.0753,0.5767,2.5527,150.76,2.72
40,58779,1,12.2973,8.8752,0.5743,2.5912,149.62,3.16
41,51297,1,10.8638,7.1411,0.6054,2.8483,137.53,2.74
42,72259,1,16.2627,12.3359,0.6417,2.9961,130.38,2.98
43,85377,1,19.9256,16.5551,0.5157,2.5516,151.91,3.76
44,34663,1,7.6031,3.9070,0.6328,2.7820,138.52,2.47
45,17186,1,5.6895,1.4971,0.7581,3.1000,122.13,1.91
46,85436,1,19.7847,16.4093,0.5168,2.5568,151.68,3.76
47,93044,1,22.0059,19.3937,0.4549,2.3123,196.01,4.34
48,37699,1,8.8004,4.4610,0.7317,3.2836,117.99,2.15
49,97581,1,24.9310,20.6523,0.6163,3.2019,119.66,3.22
50,25415,1,5.3654,2.5324,0.4977,2.1138,180.72,3.01
51,67355,1,14.8848,11.0025,0.6492,2.9475,131.88,2.94
52,81369,1,17.8301,15.2253,0.3920,1.9209,196.56,4.92
53,84358,1,19.6422,16.2022,0.5452,2.6925,148.84,3.56
54,46627,1,9.1904,6.1422,0.5017,2.3232,167.97,3.24
55,16312,1,4.7085,1.3570,0.6078,2.4717,152.77,2.39
56,26750,1,6.1262,2.7014,0.5974,2.5532,149.50,2.55
57,60738,1,12.9533,9.3178,0.6257,2.7332,140.83,3.03
58,24635,1,6.1022,2.4079,0.6499,2.7547,138.59,2.31
59,40965,1,10.2904,5.0411,0.8756,3.9887,97.54,1.82
60,47686,1,10.2534,6.3069,0.6478,3.0014,129.74,2.52
61,25018,1,5.8083,2.4512,0.5920,2.4992,152.52,2.55
62,62954,1,13.2136,9.9072,0.5614,2.4888,154.85,3.41
63,32532,1,7.9346,3.5585,0.7544,3.3024,117.00,2.06
64,56874,1,10.7978,8.3592,0.4113,1.8481,209.96,4.38
65,67044,1,14.5464,10.9984,0.5907,2.6872,144.31,3.22
