prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,41716,1,14.0653,7.4733,4.5794,1.6638,77.67,5.63
1,27177,1,8.9105,4.1727,3.3192,1.1237,108.07,7.76
2,35238,1,11.7452,5.9295,4.0274,1.4191,88.04,6.40
3,26966,1,9.4081,4.2638,3.6638,1.2402,99.53,7.01
4,22347,1,9.0593,3.3149,4.0690,1.3371,89.13,6.32
5,20281,1,9.0564,2.9163,4.3709,1.4172,83.39,5.89
6,22027,1,11.0412,3.2780,5.5126,1.8013,65.95,4.70
7,23977,1,9.6765,3.6174,4.2886,1.4164,84.50,6.02
8,23746,1,8.4197,3.5615,3.4469,1.1297,105.39,7.53
9,20473,1,8.1438,2.9731,3.6854,1.1914,99.02,7.01
10,23252,1,8.4989,3.5051,3.5420,1.1607,102.53,7.31
11,30625,1,10.7434,4.9812,4.0278,1.3856,88.85,6.40
12,20667,1,8.2022,3.0270,3.6861,1.1935,98.93,7.01
13,27118,1,9.3457,4.2375,3.5907,1.2087,100.23,7.21
14,28753,1,9.5477,4.6017,3.4653,1.1784,103.52,7.42
15,25070,1,9.9787,3.8612,4.3109,1.4435,83.69,5.95
16,37340,1,11.9189,6.5291,3.7189,1.3292,94.99,6.92
17,22514,1,10.4345,3.3777,5.0046,1.6390,72.55,5.17
18,28674,1,9.8298,4.5971,3.7045,1.2465,97.85,7.01
19,40412,1,13.3911,7.2383,4.2304,1.5358,83.21,6.10
20,43019,1,13.5847,7.9607,3.8489,1.4092,91.04,6.74
21,37717,1,11.4717,6.6572,3.3207,1.1916,106.35,7.76
22,40488,1,14.2686,7.2796,4.8115,1.7384,73.26,5.39
23,31926,1,11.1092,5.2510,4.0983,1.4033,87.40,6.40
24,34943,1,11.3154,6.0032,3.7231,1.2960,96.38,7.01
25,27710,1,9.8460,4.3652,3.8607,1.2951,93.42,6.74
26,22585,1,8.0569,3.4019,3.3175,1.0749,109.99,7.88
27,21604,1,11.6300,3.1937,6.0050,1.9456,60.69,4.34
28,21670,1,9.7555,3.1977,4.6623,1.5148,78.08,5.57
29,39877,1,13.9331,7.0933,4.7270,1.6854,74.86,5.51
30,25248,1,9.2688,3.8857,3.8106,1.2584,95.11,6.83
31,20868,1,8.1104,3.0657,3.5972,1.1578,101.49,7.21
32,23720,1,8.6312,3.5610,3.5948,1.1794,100.98,7.21
33,25715,1,9.5626,3.9742,3.9536,1.3083,91.62,6.56
34,22389,1,8.3870,3.3283,3.5920,1.1715,101.21,7.21
35,54460,1,16.6358,11.0590,3.7426,1.4456,91.81,6.92
36,38322,1,11.9107,6.7794,3.5404,1.2620,99.78,7.31
37,24243,1,8.4729,3.6649,3.4081,1.1217,106.49,7.64
38,25245,1,9.3407,3.8895,3.8587,1.2744,93.92,6.74
39,21993,1,8.4353,3.2799,3.6719,1.1878,99.31,7.11
40,21937,1,8.7169,3.2689,3.8776,1.2535,93.98,6.74
41,22891,1,9.9263,3.4154,4.6293,1.5034,78.64,5.63
42,35666,1,12.6070,6.0958,4.5275,1.5801,78.63,5.75
43,42169,1,14.9929,7.6724,5.0451,1.8112,69.94,5.17
44,63169,1,19.5949,13.7870,3.8634,1.5427,88.15,6.74
45,22022,1,8.0124,3.2849,3.3640,1.0876,108.30,7.76
46,24451,1,8.7316,3.7022,3.5632,1.1710,101.80,7.31
47,20521,1,11.0499,3.0043,5.7488,1.8411,63.64,4.53
48,28560,1,9.2924,4.5126,3.3689,1.1247,107.12,7.76
49,39054,1,12.3616,6.9170,3.7706,1.3339,94.04,6.92
50,27666,1,9.4779,4.3444,3.6195,1.2067,99.74,7.21
51,40241,1,12.7854,7.1897,3.8650,1.3817,91.50,6.74
52,20170,1,8.4678,2.9092,3.9754,1.2690,92.11,6.56
53,27177,1,9.2093,4.2267,3.5111,1.1728,102.76,7.42
54,22584,1,10.7614,3.3793,5.2557,1.7007,69.36,4.97
55,25706,1,10.6516,3.9614,4.7407,1.5615,76.53,5.51
56,30533,1,11.4726,4.9461,4.5854,1.5523,78.45,5.69
57,25697,1,8.7036,3.9592,3.3589,1.1065,107.92,7.76
58,29727,1,10.0025,4.7901,3.6642,1.2383,98.23,7.11
59,24235,1,9.0132,3.6457,3.8010,1.2535,95.39,6.83
60,33693,1,11.1322,5.6710,3.8114,1.3148,93.75,6.83
61,37848,1,11.9221,6.6228,3.6759,1.2934,96.62,7.11
62,27667,1,9.5327,4.3396,3.6631,1.2226,98.59,7.11
63,21217,1,7.7056,3.1329,3.2567,1.0509,111.97,8.00
64,23934,1,8.4188,3.6028,3.4205,1.1150,106.31,7.64
65,22982,1,8.8470,3.4201,3.8541,1.2569,94.35,6.74
66,25517,1,9.0644,3.9552,3.5863,1.2017,100.21,7.21
67,21699,1,7.9611,3.2022,3.3545,1.1202,107.59,7.53
68,36488,1,11.7060,6.2554,3.7793,1.3346,93.93,6.83
69,22739,1,9.0042,3.3972,3.9539,1.3266,91.31,6.40
70,29108,1,9.9420,4.6680,3.7253,1.2366,97.08,7.11
71,25380,1,9.9266,3.9275,4.2212,1.4228,85.35,6.02
72,34539,1,12.4989,5.8330,4.7602,1.5156,76.81,6.02
73,32398,1,10.8779,5.3302,3.8685,1.3441,92.29,6.65
74,26066,1,8.8389,4.0527,3.3771,1.1257,106.97,7.64
75,28784,1,11.9342,4.5868,5.3196,1.6045,69.68,5.51
76,25282,1,11.4357,3.9093,5.3183,1.7659,68.03,4.88
77,22137,1,8.7222,3.2815,3.8530,1.2691,94.11,6.65
78,35294,1,11.1841,5.9877,3.5967,1.2759,98.53,7.11
79,22452,1,11.1660,3.3323,5.5500,1.8282,65.36,4.61
80,33841,1,11.9454,5.6814,4.3503,1.5258,81.74,5.89
81,36115,1,13.0275,6.1532,4.7618,1.6874,74.48,5.39
82,20488,1,8.0625,3.0091,3.6046,1.1721,101.32,7.11
83,27985,1,10.5623,4.4221,4.3245,1.4628,83.39,5.95
84,24478,1,9.6203,3.6938,4.1913,1.3875,86.39,6.17
85,22699,1,9.7712,3.3954,4.5269,1.4855,80.30,5.69
86,22585,1,9.0440,3.3776,4.0154,1.3193,90.36,6.40
87,27034,1,9.4085,4.2092,3.6445,1.2375,98.47,7.01
88,38794,1,12.0532,6.8185,3.6077,1.2948,97.81,7.11
89,26560,1,9.7445,4.1201,3.9533,1.3334,91.03,6.48
90,22339,1,8.9227,3.3181,3.9745,1.3022,91.35,6.48
91,20167,1,8.3285,2.9012,3.8630,1.2501,94.34,6.65
92,23637,1,8.4924,3.5370,3.5061,1.1587,103.32,7.31
93,26514,1,9.7300,4.1129,3.9512,1.3305,91.15,6.48
94,26312,1,10.7257,4.0878,4.6856,1.5634,77.13,5.51
95,20807,1,8.1806,3.0440,3.6509,1.1891,99.68,7.01
96,27080,1,9.0545,4.2139,3.3969,1.1523,105.77,7.53
97,26562,1,9.6523,4.1181,3.8909,1.3139,92.52,6.56
98,20749,1,8.5191,3.0326,3.8977,1.2692,93.32,6.56
99,32322,1,10.3281,5.3122,3.4827,1.2224,102.07,7.31
100,30451,1,10.6159,4.9339,3.9779,1.3621,90.11,6.48
101,27333,1,9.8161,4.2968,3.8824,1.3077,92.77,6.65
102,21532,1,10.2424,3.1749,5.0112,1.6440,72.44,5.12
103,22791,1,9.6876,3.3966,4.4526,1.4683,81.39,5.75
104,50846,1,17.1663,9.9981,4.8545,1.8378,71.43,5.33
105,21331,1,9.4248,3.1557,4.4450,1.4610,81.67,5.75
106,26765,1,10.4423,4.1797,4.3974,1.4901,81.75,5.82
107,36103,1,11.5603,6.1521,3.7436,1.3316,94.67,6.83
108,21273,1,9.2010,3.1493,4.2884,1.4104,84.60,5.95
109,61326,1,22.7897,13.0678,6.4729,2.5801,52.66,4.00
110,29708,1,9.6694,4.8129,3.4008,1.1707,105.42,7.53
111,23582,1,9.6762,3.5408,4.3350,1.4394,83.45,5.89
112,20118,1,8.3624,2.8910,3.8866,1.2664,93.58,6.56
113,31274,1,11.3801,5.0783,4.3980,1.5199,81.25,5.82
114,20311,1,7.9240,2.9189,3.5605,1.1540,102.30,7.21
115,20897,1,8.7598,3.0606,4.0487,1.3204,89.84,6.32
116,42008,1,13.1008,7.6349,3.7441,1.3703,93.67,6.83
117,23785,1,10.1151,3.5583,4.6316,1.5412,78.09,5.51
118,23749,1,9.6282,3.5535,4.2909,1.4276,84.28,5.95
119,26940,1,8.9821,4.1965,3.3650,1.1362,106.99,7.64
120,26155,1,11.8599,4.0724,5.4894,1.8483,65.75,4.65
121,24598,1,8.8807,3.7675,3.6174,1.2051,100.13,7.11
122,37414,1,11.6632,6.5114,3.5575,1.2717,99.38,7.21
123,24353,1,8.7793,3.6707,3.6063,1.2043,100.22,7.11
124,41539,1,12.3364,7.5166,3.3073,1.2043,106.23,7.76
125,25484,1,10.9788,3.9510,4.9551,1.6595,72.85,5.17
126,38346,1,11.4846,6.7514,3.2576,1.1694,108.17,7.88
127,23321,1,10.3839,3.5065,4.8730,1.6055,74.45,5.28
128,36659,1,13.9918,6.2774,5.3537,1.8839,66.37,4.83
129,22028,1,8.4067,3.2752,3.6464,1.1862,99.78,7.11
130,20235,1,8.5090,2.9106,3.9923,1.2844,91.46,6.48
131,29671,1,10.9770,4.7789,4.3475,1.4792,82.61,5.95
132,20910,1,10.5926,3.0598,5.3728,1.7296,67.97,4.83
133,23088,1,8.8349,3.4269,3.8365,1.2548,94.68,6.74
134,20567,1,8.7996,2.9946,4.1380,1.3339,88.20,6.24
135,20988,1,9.8675,3.0722,4.8358,1.5657,75.35,5.33
136,24936,1,8.7367,3.8097,3.4814,1.1539,103.92,7.42
137,20361,1,7.9477,2.9312,3.5717,1.1543,102.06,7.21
138,25366,1,10.2619,3.9184,4.4798,1.4910,80.71,5.75
139,35933,1,12.7276,6.1093,4.5899,1.6167,77.36,5.63
140,20195,1,10.0513,2.9046,5.1005,1.6402,71.64,5.07
141,35382,1,11.5862,5.9796,3.8935,1.3648,91.32,6.65
142,23837,1,8.6890,3.5645,3.6278,1.1960,99.91,7.11
143,20900,1,8.3741,3.0578,3.7857,1.2229,96.31,6.83
144,26801,1,9.2067,4.1787,3.5395,1.1870,101.83,7.31
145,20544,1,8.0414,2.9973,3.5957,1.1568,101.50,7.21
146,39091,1,11.8260,6.9030,3.3845,1.2249,104.00,7.53
147,22433,1,8.6107,3.3376,3.7316,1.2363,97.10,6.83
148,38075,1,12.0816,6.6503,3.7365,1.3484,94.27,6.83
149,22903,1,9.2928,3.4128,4.1684,1.3703,87.07,6.17
150,21837,1,8.3418,3.2565,3.5999,1.1852,100.68,7.11
151,62358,1,19.3426,13.5213,3.8627,1.5412,87.95,6.74
152,21215,1,8.8555,3.1424,4.0542,1.3293,89.62,6.32
153,50280,1,15.1101,9.8490,3.5979,1.3186,97.32,7.42
154,27501,1,9.5006,4.3267,3.6433,1.2244,98.96,7.11
155,36187,1,11.2229,6.2101,3.4890,1.2103,102.14,7.53
156,25150,1,11.0795,3.8698,5.1312,1.6643,71.02,5.17
157,27769,1,11.7155,4.3500,5.2285,1.7061,69.51,5.12
158,38988,1,12.1746,6.9007,3.6314,1.2981,97.08,7.11
159,22677,1,8.5593,3.4020,3.6658,1.1947,99.28,7.11
160,33647,1,10.4060,5.6754,3.2916,1.1469,108.23,7.88
161,25167,1,9.1691,3.8739,3.7338,1.2457,96.69,6.92
162,38356,1,11.8162,6.7854,3.4730,1.2587,101.77,7.31
163,22554,1,8.3678,3.3824,3.5246,1.1704,102.70,7.21
164,20552,1,11.0292,3.0031,5.6944,1.8702,63.79,4.45
165,24496,1,8.7826,3.6987,3.5780,1.2023,100.71,7.11
166,21462,1,8.1782,3.1707,3.5452,1.1673,102.25,7.21
167,27099,1,8.9345,4.2215,3.3032,1.1193,108.64,7.76
168,24662,1,8.5941,3.7713,3.3995,1.1375,106.16,7.53
169,32126,1,13.6753,5.2923,5.8255,2.0415,61.08,4.38
170,35391,1,11.3512,6.0145,3.6905,1.3123,95.94,6.92
171,20002,1,10.8940,2.8986,5.6791,1.8547,64.04,4.49
172,20782,1,9.4472,3.0577,4.5340,1.4834,80.13,5.63
173,22713,1,8.4115,3.4087,3.5315,1.1730,102.34,7.21
174,23489,1,8.5595,3.5474,3.5353,1.1767,102.15,7.21
175,23164,1,8.3308,3.4615,3.4392,1.1424,105.15,7.42
176,25572,1,9.7250,3.9787,4.0376,1.3600,89.10,6.32
177,29692,1,10.3107,4.8257,3.8193,1.3262,93.34,6.65
178,22075,1,11.0271,3.3053,5.4504,1.8149,66.31,4.65
179,22871,1,14.0247,3.4295,7.5134,2.4649,48.32,3.44
180,20572,1,8.1378,3.0195,3.6300,1.1899,100.03,7.01
181,22066,1,12.4448,3.2989,6.4671,2.1458,55.98,3.94
182,21823,1,9.9904,3.2396,4.7706,1.5831,75.84,5.33
183,20214,1,9.5912,2.9249,4.7313,1.5479,76.80,5.39
184,20180,1,7.8371,2.9248,3.4873,1.1397,104.23,7.31
185,23228,1,13.8185,3.5165,7.2818,2.4182,49.70,3.51
186,26319,1,11.4972,4.1176,5.1867,1.7515,69.38,4.92
187,20060,1,7.8117,2.9060,3.4809,1.1394,104.37,7.31
188,23214,1,9.5221,3.5165,4.2430,1.4082,85.25,6.02
189,20482,1,12.5973,3.0198,6.8385,2.2203,53.46,3.76
190,25043,1,9.2300,3.8829,3.7780,1.2597,95.75,6.83
191,21171,1,11.3248,3.1588,5.8030,1.8899,62.70,4.45
192,28003,1,10.7037,4.4471,4.3942,1.4846,81.83,5.89
193,23019,1,8.4427,3.4605,3.5356,1.1607,102.77,7.31
194,29371,1,10.1253,4.7895,3.7290,1.2765,95.96,6.92
195,24251,1,11.5365,3.6802,5.5472,1.8464,65.17,4.65
196,33700,1,10.8345,5.7414,3.5487,1.2324,100.53,7.31
197,21095,1,8.7636,3.1221,4.0111,1.2992,90.76,6.48
198,24634,1,8.4900,3.8029,3.3046,1.1073,109.24,7.76
199,22922,1,8.4538,3.4446,3.5474,1.1616,102.21,7.31
