prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21359,1,10.5199,3.1142,5.3469,1.7407,69.14,4.83
1,67610,1,20.1792,14.7713,3.5050,1.4291,94.68,7.42
2,51583,1,16.8349,10.0309,4.5856,1.7309,75.25,5.69
3,45940,1,15.1471,8.6331,4.3417,1.6121,78.60,5.95
4,76082,1,24.2708,18.2434,3.8400,1.6443,84.95,6.74
5,13949,1,6.5942,1.8975,3.3766,1.0575,109.01,7.64
6,48737,1,14.7209,9.4548,3.5676,1.3364,97.23,7.31
7,52305,1,16.5415,10.4899,4.0432,1.5360,84.61,6.48
8,46596,1,14.6558,8.9735,3.8397,1.4350,90.11,6.74
9,42433,1,16.4715,7.8683,5.8910,2.1542,59.51,4.38
10,55705,1,17.2112,11.4968,3.7875,1.4945,89.60,6.74
11,39428,1,12.8180,7.0298,3.9889,1.4336,88.46,6.48
12,97202,1,32.4396,27.0081,3.4097,1.6051,94.26,7.53
13,41364,1,12.6781,7.5371,3.5152,1.3004,99.59,7.21
14,84224,1,26.9881,21.4874,3.5444,1.5434,93.08,7.42
15,41085,1,13.0770,7.4509,3.9262,1.3580,91.00,6.92
16,42399,1,16.8305,7.8160,6.2046,2.2424,56.80,4.20
17,26995,1,9.9207,4.2278,4.0122,1.3421,89.94,6.48
18,96626,1,32.1400,26.6144,3.4317,1.6043,92.66,7.53
19,55843,1,16.8047,11.4972,3.5577,1.3933,96.47,7.21
20,40761,1,13.2165,7.3194,4.0438,1.4806,86.82,6.32
21,40531,1,12.4666,7.2748,3.5583,1.2967,98.62,7.21
22,57284,1,17.8427,11.9657,3.9881,1.5669,87.12,6.48
23,54495,1,16.9797,11.1075,4.0398,1.4510,87.19,7.01
24,45924,1,13.9525,8.7367,3.5365,1.3337,98.16,7.21
25,58514,1,20.1682,12.3484,5.2218,2.0679,65.47,4.92
26,29550,1,10.3889,4.8053,3.9017,1.3456,91.70,6.56
27,59277,1,18.6241,12.5674,4.0420,1.5416,84.53,6.83
28,56028,1,17.2144,11.6542,3.7595,1.4134,92.08,7.21
29,55048,1,16.9998,11.3449,3.8574,1.4174,90.54,7.21
30,33241,1,14.2231,5.6305,6.0134,2.0589,59.59,4.41
31,79678,1,25.2342,19.7569,3.5350,1.5044,93.48,7.53
32,76968,1,24.3726,18.7010,3.6650,1.5689,90.27,7.11
33,45169,1,14.5546,8.5902,4.1025,1.4614,85.84,6.65
34,67357,1,21.1967,15.2912,3.9232,1.5572,86.70,6.92
35,80060,1,25.7485,19.9525,3.7758,1.5799,88.34,7.21
36,34953,1,11.7576,6.0205,3.9854,1.4027,89.24,6.48
37,44079,1,13.7439,8.1862,3.8141,1.3929,92.12,6.83
38,41330,1,12.7069,7.5110,3.5821,1.2846,98.54,7.31
39,59768,1,18.2912,12.7098,3.7239,1.4655,91.73,7.01
40,48911,1,15.7774,9.4791,4.3626,1.4862,81.29,6.74
41,50562,1,16.1306,10.1029,4.1291,1.5148,84.94,6.56
42,68646,1,21.2719,15.7142,3.6979,1.4688,92.12,7.42
43,34493,1,12.0167,5.9279,4.3113,1.4119,84.09,6.56
44,80249,1,25.5457,19.9975,3.5956,1.5273,92.28,7.42
45,45433,1,14.4680,8.6476,4.0093,1.4432,87.97,6.74
