prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,1,17.6200,11.5474,4.0508,1.5669,84.31,6.48
1,81646,1,26.2111,20.1056,3.8376,1.6565,83.86,6.83
2,76090,1,24.5453,18.3621,3.9020,1.6673,82.81,6.65
3,77617,1,24.8904,18.9168,3.8408,1.6182,85.71,6.92
4,55747,1,22.9350,11.5435,7.6370,2.9720,44.95,3.39
5,29498,1,10.3243,4.8065,3.8651,1.3157,92.79,6.74
6,85073,1,27.6844,21.8452,3.6750,1.6434,87.68,7.01
7,24370,1,9.2885,3.7171,3.9460,1.2952,91.90,6.65
8,29084,1,10.0298,4.7026,3.7494,1.2541,96.11,7.01
9,86449,1,28.3832,22.4600,3.7314,1.6574,86.44,7.01
10,13820,1,7.1340,1.8886,3.7869,1.1687,97.61,6.92
11,80111,1,26.1911,19.9532,3.9698,1.7162,82.08,6.56
12,21014,1,8.7429,3.1265,4.0105,1.2814,91.16,6.56
13,40539,1,12.9571,7.3211,3.8986,1.3924,90.84,6.74
14,41253,1,13.4306,7.5272,4.0836,1.4538,86.73,6.48
15,47961,1,15.0332,9.2783,3.9194,1.4609,88.97,6.65
16,37493,1,12.3040,6.5852,3.9463,1.4064,89.53,6.56
17,65396,1,21.4150,14.5168,4.5201,1.8544,74.22,5.69
18,19849,1,7.9548,2.8930,3.6132,1.1588,101.15,7.21
19,94472,1,31.7668,25.8640,3.6543,1.6881,86.74,7.11
20,78236,1,25.5571,19.2787,4.0476,1.7385,81.55,6.48
21,51271,1,15.9812,10.2753,3.8383,1.4675,89.73,6.74
22,86529,1,30.2090,22.5642,4.8341,2.1533,66.97,5.39
23,56310,1,17.5802,11.7034,3.9352,1.5279,87.12,6.65
24,24586,1,9.0234,3.8035,3.6967,1.2119,98.09,7.11
25,35659,1,11.5678,6.1537,3.7654,1.3169,94.57,6.92
26,36601,1,11.8352,6.3207,3.8299,1.3392,92.85,6.83
27,27547,1,10.0840,4.3590,4.0362,1.3460,89.43,6.48
28,90282,1,29.8488,24.0165,3.6748,1.6501,87.79,7.11
29,38905,1,12.5106,6.9623,3.8275,1.3572,92.28,6.83
30,38665,1,12.6847,6.8727,4.0104,1.4274,88.09,6.48
31,68405,1,21.5498,15.6333,3.8356,1.5922,86.54,6.74
32,83924,1,27.6710,21.4533,3.9626,1.7492,82.35,6.56
33,40640,1,12.9024,7.3242,3.8452,1.3738,91.79,6.83
34,24760,1,9.0475,3.8120,3.6969,1.2260,97.79,7.01
35,70404,1,22.0460,16.4180,3.6802,1.5209,90.97,7.11
36,74909,1,25.7331,17.9721,5.0888,2.0936,65.97,5.28
37,16245,1,7.8224,2.2465,4.0121,1.2505,91.82,6.56
38,14941,1,7.5050,2.0256,3.9538,1.2186,93.44,6.65
39,35576,1,11.4976,6.1238,3.7414,1.2980,95.28,7.01
40,58665,1,18.2295,12.3949,3.8801,1.5359,87.75,6.65
41,51288,1,16.1899,10.2390,4.0138,1.5263,86.04,6.48
42,70925,1,22.2554,16.5077,3.7380,1.5437,89.08,7.01
43,83377,1,27.1950,21.3427,3.7172,1.6356,87.49,7.01
44,34600,1,11.2130,5.9170,3.6706,1.2932,96.68,7.01
45,17068,1,7.8795,2.4293,3.9360,1.2071,93.94,6.83
46,82662,1,27.1974,21.0054,3.9381,1.7119,82.69,6.65
47,90967,1,30.4195,24.4837,3.7233,1.7099,86.26,6.92
48,36310,1,11.8322,6.2953,3.8462,1.3391,92.47,6.83
49,97404,1,33.5243,27.1074,3.9382,1.8482,79.79,6.56
50,25417,1,9.7045,3.9801,4.0381,1.3469,89.44,6.40
51,67302,1,21.2807,15.2613,3.9409,1.6259,85.06,6.56
52,80841,1,27.5012,20.2236,4.6368,2.0384,70.35,5.57
53,84104,1,27.6238,21.5567,3.8384,1.7065,84.39,6.74
54,46064,1,15.3185,8.8058,4.4416,1.6401,78.62,5.89
55,16285,1,7.8303,2.2622,4.0001,1.2513,91.95,6.56
56,26728,1,9.6567,4.2154,3.8253,1.2903,94.09,6.74
57,60666,1,18.8531,12.9653,3.9136,1.5518,86.96,6.65
58,24235,1,9.1382,3.6840,3.8558,1.2760,93.87,6.74
59,40886,1,13.0298,7.3398,3.9083,1.4085,89.98,6.65
60,47369,1,14.7973,9.1108,3.8691,1.4356,90.04,6.74
61,24987,1,9.2495,3.8674,3.7995,1.2612,95.13,6.83
62,62887,1,19.6650,13.8357,3.8284,1.5505,87.83,6.74
63,32507,1,10.7811,5.3987,3.7396,1.3001,95.13,6.92
64,55848,1,17.4875,11.5256,4.0064,1.5372,85.88,6.56
65,67033,1,21.0962,15.2592,3.8200,1.5451,87.72,6.92
