prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,42051,1,8.3349,5.4908,1.1206,1.8304,180.02,3.94
1,28143,1,5.5632,2.8160,1.0238,1.5540,186.37,4.20
2,36539,1,7.1601,4.1223,1.0858,1.7679,168.54,3.94
3,29039,1,6.3854,2.9853,1.2704,1.9221,150.58,3.41
4,22714,1,5.0906,2.1280,1.1245,1.6535,172.82,3.76
5,21812,1,5.5409,2.0011,1.3490,1.9757,144.64,3.14
6,22646,1,6.1495,2.1248,1.5302,2.2477,127.21,2.77
7,25024,1,5.1197,2.4253,1.0136,1.5131,190.02,4.20
8,24150,1,6.0626,2.3024,1.4189,2.1084,136.16,3.01
9,21045,1,5.0566,1.9286,1.2206,1.7188,163.69,3.58
10,23442,1,6.2233,2.2238,1.5240,2.2292,128.02,2.81
11,31600,1,7.0107,3.3911,1.3163,2.0766,141.45,3.22
12,22289,1,5.7087,2.0809,1.3771,2.0383,141.13,3.05
13,27965,1,6.0680,2.8590,1.1887,1.8200,159.55,3.58
14,29778,1,6.1057,3.1355,1.0868,1.6979,172.38,3.91
15,25868,1,6.6506,2.5569,1.5305,2.3224,125.07,2.75
16,38167,1,7.7365,4.4878,1.1600,1.8857,157.60,3.76
17,23130,1,5.9625,2.1744,1.4330,2.1220,135.16,2.94
18,30060,1,5.9731,3.1968,1.0163,1.5841,184.42,4.20
19,43636,1,8.8662,5.4771,1.1696,2.0203,151.07,3.66
20,45405,1,8.9815,5.8708,1.0624,1.8516,164.59,4.03
21,40309,1,9.2167,4.8885,1.5165,2.5515,118.30,2.83
22,44438,1,8.5605,5.6762,0.9908,1.7186,177.51,4.30
23,34797,1,7.3758,3.9456,1.2407,1.9885,149.26,3.48
24,35288,1,7.4986,3.9899,1.2602,2.0395,145.92,3.41
25,28694,1,6.2997,2.9771,1.2310,1.8961,154.10,3.46
26,23357,1,5.4110,2.2204,1.2160,1.7854,160.47,3.51
27,22576,1,5.1194,2.1378,1.1356,1.6685,171.72,3.74
28,22524,1,5.7769,2.1230,1.3933,2.0350,140.12,3.07
