prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21420,1,8.2407,2.0019,2.3534,3.4494,82.07,1.79
1,68195,1,17.2933,10.8926,1.9757,4.0009,79.99,2.17
2,51795,1,11.7557,7.0786,1.5174,2.8544,109.47,2.72
3,46064,1,10.0923,5.9747,1.3678,2.4986,124.34,2.99
4,76314,1,18.0028,13.4057,1.3365,2.9462,111.37,3.08
5,14066,1,6.4530,1.1381,2.0826,2.9104,96.33,1.98
6,49083,1,12.7509,6.5238,2.0664,3.7900,82.22,2.02
7,52468,1,11.5417,7.2729,1.4046,2.5984,119.94,2.99
8,46672,1,13.1340,6.1261,2.3425,4.2713,73.06,1.76
9,42512,1,10.2023,5.3122,1.6528,2.9391,104.70,2.49
10,55832,1,12.3504,8.0707,1.3727,2.6626,119.63,2.99
11,39747,1,10.1857,4.7910,1.8651,3.2087,94.91,2.24
12,97342,1,23.7244,20.4060,0.8989,2.1841,154.29,4.70
13,41480,1,9.6697,5.1329,1.5646,2.7080,112.86,2.68
14,85869,1,20.8794,16.4032,1.1854,2.9940,114.38,3.22
15,41217,1,9.9495,5.0703,1.6722,2.9262,104.94,2.47
16,42474,1,11.8550,5.3269,2.2340,3.9172,78.43,1.86
17,27121,1,7.2743,2.7286,1.6705,2.6018,112.63,2.49
18,96700,1,25.3219,20.1767,1.3903,3.4251,99.51,2.99
19,57221,1,14.7900,8.3603,2.0624,4.0062,79.63,2.02
20,40819,1,11.0254,4.9296,2.0906,3.6458,83.99,1.98
21,40733,1,9.9325,4.9234,1.7043,3.0066,102.21,2.39
22,57494,1,12.9446,8.4915,1.4269,2.7588,114.98,2.93
23,54777,1,14.3394,7.8917,2.0813,3.9945,79.41,1.98
24,47477,1,9.2947,6.2651,1.0145,1.8248,169.00,4.13
25,58718,1,14.9196,8.8421,1.9335,3.7826,84.25,2.15
26,29658,1,6.9598,3.1247,1.3951,2.2096,133.50,2.99
27,59720,1,13.4252,9.0228,1.3903,2.7414,116.30,2.99
28,56161,1,12.5173,8.1748,1.4040,2.6802,117.90,2.99
29,55261,1,12.2711,7.9410,1.4059,2.6593,118.24,2.99
30,33299,1,9.2035,3.6903,1.9761,3.2196,92.87,2.11
31,79770,1,20.6444,14.5266,1.7808,3.9683,83.69,2.34
32,77069,1,18.3368,13.6745,1.3763,2.9981,109.82,3.05
33,46672,1,11.1108,6.1301,1.6788,3.0134,102.80,2.50
34,67871,1,16.9942,11.1292,1.7912,3.7244,87.30,2.33
35,80133,1,18.1946,14.6997,1.0248,2.2713,146.50,4.10
36,35185,1,8.1167,3.9843,1.4453,2.4467,123.90,2.83
37,44175,1,9.9785,5.5858,1.4817,2.6445,116.56,2.78
38,41458,1,9.7844,5.1072,1.5970,2.8099,109.47,2.57
39,59889,1,15.3064,9.0415,1.9668,3.9321,81.72,2.09
40,49031,1,10.7088,6.5401,1.3669,2.5532,122.82,2.99
41,50848,1,11.2276,6.9946,1.3859,2.5871,120.96,2.99
42,71120,1,18.8638,12.0782,1.9185,4.1217,75.45,2.14
43,34598,1,8.7469,3.8883,1.7125,2.8553,105.38,2.40
44,80957,1,21.0503,14.8673,1.7657,4.0434,82.81,2.32
45,45562,1,10.4186,5.9013,1.5085,2.7392,113.34,2.72
46,43052,1,9.2166,5.4255,1.2748,2.2819,135.05,3.22
47,66576,1,16.7225,10.8122,1.8007,3.7472,86.63,2.29
