prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57721,1,12.6646,9.0214,1.4124,2.6859,140.54,3.01
1,81680,1,18.7112,14.9310,1.1103,2.4412,135.44,3.85
2,76786,1,20.1390,13.5607,1.9786,4.2587,77.83,2.14
3,77655,1,18.7110,14.0462,1.2186,2.6780,109.76,3.46
4,55756,1,12.3892,8.0498,1.3978,2.6833,117.99,2.99
5,29695,1,9.5396,3.1223,2.3313,3.7031,79.78,1.81
6,85132,1,20.1167,16.4541,1.0867,2.4828,139.79,3.88
7,24526,1,6.1888,2.3732,1.4154,2.1675,134.19,2.96
8,29086,1,6.3281,3.0240,1.2086,1.8903,154.96,3.48
9,86532,1,19.8118,16.7401,0.8626,1.9898,166.68,4.88
10,13840,1,5.0822,1.1256,1.5628,2.1435,129.40,2.71
11,80176,1,19.6455,14.6786,1.4239,3.1163,103.08,2.99
12,21042,1,5.5111,1.9377,1.3549,1.9976,143.28,3.08
13,41585,1,10.1724,5.1229,1.7366,3.0032,101.40,2.42
14,41450,1,7.8229,5.1025,0.9238,1.6217,188.21,4.49
15,48659,1,10.0586,6.5100,1.1683,2.1588,144.28,3.58
16,37565,1,9.0618,4.4417,1.6127,2.7283,110.82,2.61
17,65466,1,15.2556,10.3831,1.5048,3.0732,105.08,2.78
18,20047,1,6.5364,1.8015,1.8494,2.5562,108.13,2.47
19,94565,1,24.7266,19.7642,1.4192,3.4750,103.18,2.93
20,78893,1,18.4424,14.4911,1.2436,2.3679,129.58,3.97
21,51313,1,10.6720,7.1181,1.1765,2.1606,144.07,3.61
22,86583,1,21.5662,16.8472,1.2517,2.9414,108.50,3.30
23,56364,1,13.0992,8.1894,1.5885,3.0408,104.28,2.65
24,24602,1,5.7364,2.4018,1.2468,1.8848,153.54,3.37
25,35780,1,7.9973,4.0701,1.3859,2.3003,130.37,3.01
26,36620,1,8.3197,4.1933,1.4015,2.4669,124.08,2.81
27,29041,1,7.2285,3.0218,1.5496,2.4075,121.71,2.72
28,91385,1,23.0557,18.3837,1.3185,3.1203,109.59,3.20
29,39117,1,9.8289,4.6781,1.7829,3.0579,99.40,2.34
30,38722,1,8.5033,4.5826,1.3664,2.3118,130.59,3.08
31,69757,1,15.9681,11.6173,1.3157,2.7618,117.68,3.18
32,86011,1,20.6524,16.5740,1.1728,2.7246,125.54,3.56
33,40674,1,8.7771,4.9109,1.3258,2.3127,132.43,3.12
34,24970,1,7.1396,2.4370,1.7480,2.6690,108.88,2.38
35,70548,1,16.2765,11.8725,1.3270,2.8008,116.26,3.14
36,75229,1,19.8306,13.3026,1.9252,4.1586,78.43,2.19
37,16576,1,5.5759,1.4077,1.6299,2.2881,122.84,2.59
38,14963,1,4.4448,1.2151,1.2700,1.7556,158.53,3.30
39,35737,1,8.3958,4.0524,1.5317,2.5474,117.88,2.72
40,58779,1,12.9798,8.8163,1.3234,2.5767,122.97,3.16
41,51297,1,11.6442,7.0963,1.4150,2.8388,112.58,2.74
42,72259,1,17.3977,12.2656,1.4180,2.9810,99.77,2.98
43,85377,1,20.5239,16.3123,1.1227,2.5491,121.57,3.76
44,34663,1,8.6277,3.8794,1.6857,2.7786,107.83,2.47
45,17186,1,7.0950,1.4891,2.1624,3.1011,91.33,1.91
46,85436,1,20.3487,16.3619,1.1120,2.5447,128.42,3.76
47,93044,1,22.8170,18.9337,0.9641,2.3078,131.85,4.34
48,37699,1,10.0121,4.4531,1.9408,3.2875,92.10,2.15
49,97581,1,25.5083,20.8122,1.3030,3.1981,109.03,3.22
50,25415,1,6.2697,2.5250,1.3952,2.1205,136.73,3.01
51,67355,1,15.6528,10.9853,1.4220,2.9473,109.70,2.94
52,81369,1,18.1749,15.2215,0.8586,1.9275,173.36,4.92
53,84358,1,20.2221,16.1269,1.1733,2.6909,125.02,3.56
54,46627,1,10.0226,6.1360,1.3194,2.3388,131.73,3.22
55,16312,1,5.8681,1.3536,1.7586,2.4788,113.41,2.39
56,26750,1,7.1479,2.6975,1.6356,2.5462,115.05,2.55
57,60738,1,13.6583,9.2801,1.3785,2.7279,116.94,3.03
58,24635,1,7.2781,2.4041,1.8119,2.7649,105.05,2.31
59,40965,1,11.6833,5.0190,2.2939,3.9784,76.83,1.82
60,47686,1,11.2294,6.2774,1.6541,2.9968,103.39,2.52
61,25018,1,6.8643,2.4436,1.6438,2.5052,115.82,2.55
62,62954,1,13.8250,9.8719,1.2321,2.4598,129.52,3.41
63,32532,1,9.2226,3.5306,2.0407,3.3113,89.95,2.06
64,56874,1,11.3330,8.3254,0.9673,1.8474,170.24,4.38
65,67044,1,15.2261,10.9649,1.3101,2.6888,120.16,3.22
