prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21359,1,7.2861,2.8602,2.4413,1.6930,115.68,4.88
1,67610,1,18.2315,14.0136,2.3068,1.4174,121.39,7.42
2,51583,1,13.5118,9.4220,2.1563,1.5087,125.19,6.48
3,45940,1,12.4266,8.0559,2.3360,1.6151,117.14,5.89
4,76082,1,22.1052,17.3787,2.6816,1.6720,108.33,6.56
5,13949,1,4.4911,1.6961,1.4974,1.0386,183.19,7.64
6,48737,1,12.3874,8.7970,1.9222,1.3213,142.60,7.31
7,52305,1,14.0278,9.7811,2.2529,1.5437,120.56,6.40
8,46596,1,12.1504,8.3281,2.0443,1.4196,133.95,6.74
9,42433,1,13.1348,7.3011,3.1565,2.1489,87.77,4.34
10,55705,1,15.0855,10.7906,2.4266,1.4827,119.21,6.74
11,39428,1,10.3671,6.5092,2.0578,1.4368,132.71,6.40
12,97202,1,30.2989,25.8263,2.4310,1.6102,114.47,7.53
13,41364,1,10.4250,7.0094,1.8199,1.2688,149.90,7.31
14,84224,1,24.8465,20.4885,2.4031,1.5445,117.49,7.42
15,41085,1,10.5270,6.9246,1.9214,1.3401,142.13,6.92
16,42399,1,13.7680,7.2887,3.5002,2.3847,79.02,3.91
17,26995,1,7.4062,3.8852,1.8784,1.3095,145.41,6.56
18,96626,1,29.9773,25.5204,2.3928,1.6111,114.88,7.53
19,55843,1,14.7802,10.7844,2.2620,1.3821,128.13,7.21
20,40761,1,10.7831,6.7996,2.1269,1.4845,128.53,6.24
21,40531,1,10.2132,6.7651,1.8407,1.2838,148.49,7.21
22,57284,1,16.1474,11.2479,2.8069,1.7344,104.50,5.82
23,54495,1,14.4660,10.4288,2.2550,1.4181,126.82,7.01
24,45924,1,11.7389,8.1568,1.9210,1.3238,142.93,7.21
25,58514,1,17.1796,11.6307,3.1338,1.9351,92.27,5.22
26,29550,1,7.9808,4.4149,1.8995,1.3301,143.58,6.56
27,59277,1,16.1846,11.8398,2.4627,1.4918,117.84,6.83
28,56028,1,14.9725,10.9030,2.2955,1.4094,125.81,7.11
29,55048,1,14.6051,10.6189,2.2617,1.3774,128.44,7.21
30,33241,1,10.6632,5.1676,2.9564,2.0323,93.17,4.38
31,79678,1,22.9356,18.7281,2.3367,1.4850,121.69,7.53
32,76968,1,22.1234,17.6709,2.4899,1.5538,114.99,7.11
33,45169,1,11.7807,7.9320,2.0643,1.4253,133.03,6.65
34,67357,1,18.8436,14.3997,2.5226,1.5275,115.21,6.92
35,80060,1,23.3638,18.8898,2.4938,1.5738,114.44,7.11
36,34953,1,9.2747,5.5302,2.0037,1.3890,136.73,6.48
37,44079,1,11.3600,7.6256,2.0034,1.3803,137.10,6.83
38,41330,1,10.4026,6.9844,1.8222,1.2708,149.79,7.31
39,59768,1,16.6756,11.9740,2.7026,1.5901,108.90,6.40
40,48911,1,12.7526,8.8513,2.0953,1.4367,131.24,6.74
41,50562,1,13.4615,9.4048,2.1672,1.5041,126.21,6.48
42,68646,1,18.9464,14.7940,2.3447,1.4300,123.30,7.42
43,34493,1,9.1564,5.4228,1.9998,1.3826,137.13,6.48
44,80249,1,23.2102,18.9116,2.3940,1.5102,119.11,7.42
45,45433,1,11.8693,8.0008,2.0688,1.4325,132.35,6.65
46,42940,1,11.3321,7.3494,2.1298,1.4729,128.56,6.40
47,66384,1,18.7461,14.1450,2.6213,1.5760,111.28,6.65
48,62497,1,17.2418,12.8592,2.5089,1.4906,116.82,6.92
49,64922,1,17.7204,13.5932,2.3565,1.4076,124.05,7.42
50,64331,1,18.1300,13.4231,2.6819,1.6086,108.78,6.48
51,60831,1,18.2253,12.3117,3.4108,1.9939,86.58,5.12
52,61279,1,16.8621,12.3818,2.5684,1.5184,114.28,6.74
53,32350,1,8.6497,4.9405,1.9917,1.3712,138.03,6.48
54,36657,1,9.5714,5.8545,1.9892,1.3777,137.75,6.56
55,91417,1,28.0217,23.3343,2.5612,1.6824,109.23,7.01
56,65436,1,18.3466,13.6958,2.6443,1.5957,110.09,6.56
57,46663,1,12.4762,8.3263,2.2247,1.5314,123.38,6.24
58,53750,1,13.9592,10.2451,2.0085,1.3586,137.85,7.31
