prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21359,1,10.4598,3.1490,5.2534,1.7424,70.03,4.83
1,67610,1,20.2644,14.9180,3.4222,1.4326,95.77,7.42
2,51583,1,16.7683,10.1158,4.4533,1.7313,76.96,5.69
3,45940,1,14.9980,8.6812,4.2663,1.6150,81.05,5.95
4,76082,1,24.2625,18.4913,3.7672,1.6441,88.72,6.74
5,13949,1,6.5111,1.8986,3.2951,1.0592,111.00,7.64
6,48737,1,14.5979,9.4487,3.4632,1.3346,99.43,7.31
7,52305,1,16.3213,10.4614,3.9218,1.5308,87.37,6.48
8,46596,1,14.5018,8.9400,3.7496,1.4335,92.06,6.74
9,42433,1,16.3501,7.8744,5.7953,2.1550,60.41,4.38
10,55705,1,17.1572,11.5055,3.7672,1.4975,90.59,6.74
11,39428,1,12.6985,7.0414,3.8731,1.4327,90.50,6.48
12,97202,1,32.4748,27.0445,3.3557,1.6097,94.28,7.53
13,41364,1,12.6932,7.5583,3.4979,1.3043,99.71,7.21
14,84224,1,26.9147,21.5590,3.4006,1.5473,95.60,7.42
15,41085,1,12.7893,7.4749,3.6192,1.3558,96.34,6.92
16,42399,1,16.7458,7.8436,6.0936,2.2497,57.51,4.20
17,26995,1,9.8425,4.2422,3.9144,1.3471,91.42,6.48
18,96626,1,32.1647,26.7088,3.3622,1.6088,93.84,7.53
19,55843,1,16.7761,11.5256,3.4994,1.3964,97.51,7.21
20,40761,1,13.2323,7.3366,4.0393,1.4827,86.84,6.32
21,40531,1,12.5281,7.2934,3.5999,1.3012,97.81,7.21
22,57284,1,17.8646,11.9823,3.9854,1.5693,87.04,6.48
23,54495,1,16.6327,11.1317,3.6910,1.4335,93.07,7.01
24,45924,1,13.9784,8.7630,3.5398,1.3354,98.17,7.21
25,58514,1,20.1061,12.3734,5.1277,2.0718,66.21,4.92
26,29550,1,10.3749,4.8132,3.8789,1.3482,92.06,6.56
27,59277,1,18.1747,12.5859,3.6797,1.5037,91.61,6.83
28,56028,1,16.8868,11.6292,3.4940,1.3994,97.38,7.21
29,55048,1,24.4154,11.4385,3.8279,1.8952,39.45,7.21
30,33241,1,20.5024,5.7236,6.3879,3.7234,34.64,4.41
