prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,41716,13.9056,7.5005,4.6481,1.4638,79.94,6.40
1,27177,9.3741,4.1845,3.7688,1.1258,98.66,7.76
2,35238,12.3171,5.9281,4.5995,1.4208,80.14,6.40
3,26966,9.9777,4.1804,4.2152,1.2591,88.32,6.92
4,22347,9.6585,3.3070,4.6510,1.3578,80.61,6.24
5,20281,9.5332,2.9077,4.8730,1.4031,77.28,5.95
6,22027,9.0693,3.2642,4.2508,1.2397,88.20,6.83
7,23977,10.1313,3.6018,4.7758,1.3998,78.41,6.10
8,23746,8.8238,3.5431,3.8608,1.1309,96.96,7.53
9,20473,8.5789,2.9565,4.1316,1.1911,91.06,7.01
10,23252,8.9062,3.4851,3.9681,1.1597,94.45,7.31
11,30625,11.2120,4.9505,4.5269,1.3848,81.77,6.40
12,20667,8.5867,3.0093,4.0878,1.1920,91.80,7.01
13,27118,9.8831,4.2130,4.1135,1.2406,90.30,7.01
14,28753,9.9543,4.5754,3.8987,1.1772,95.19,7.42
15,25070,10.5638,3.8434,4.8970,1.4583,76.19,5.89
16,37340,12.3786,6.4963,4.2170,1.3270,87.04,6.92
17,22514,11.0381,3.3637,5.6112,1.6520,66.71,5.12
18,28674,10.2226,4.5719,4.1200,1.2460,90.61,7.01
19,40412,13.7563,7.1988,4.6835,1.4961,78.08,6.24
20,43019,14.1276,7.9209,4.4119,1.4246,82.49,6.65
21,37717,11.8654,6.6120,3.7602,1.1889,97.46,7.76
22,40488,14.5985,7.2331,5.2585,1.6796,69.51,5.57
23,31926,11.6585,5.2188,4.6514,1.4287,79.51,6.24
24,34943,11.7062,5.9369,4.1467,1.2946,88.75,7.01
25,27710,9.7864,4.3404,3.9510,1.1917,94.01,7.31
26,22585,8.3739,3.3859,3.6522,1.0739,102.65,7.88
27,21604,12.3011,3.1802,6.6714,1.9625,56.13,4.30
28,21670,10.2451,3.1865,5.1614,1.5166,72.54,5.57
29,39877,15.0499,7.0653,5.7081,1.8113,64.12,5.12
30,25248,9.5881,3.8669,4.1663,1.2405,89.49,6.92
31,20868,8.5633,3.0530,4.0384,1.1747,92.92,7.11
32,23720,9.0157,3.5458,3.9942,1.1792,93.60,7.21
33,25715,10.0661,3.9545,4.4530,1.3251,83.78,6.48
34,22389,8.7598,3.3136,3.9789,1.1717,94.01,7.21
35,54460,17.1888,11.0164,4.3397,1.4450,82.95,6.92
36,38322,13.7503,6.7505,5.0274,1.5697,73.15,5.89
37,24243,9.3428,3.6467,4.1674,1.2227,89.89,7.01
38,25245,9.7819,3.8709,4.3133,1.2754,86.62,6.74
39,21993,8.8717,3.2656,4.0967,1.2039,91.33,7.01
40,21937,9.0024,3.2583,4.1956,1.2363,89.13,6.83
41,22891,10.3965,3.4038,5.1123,1.5044,73.22,5.63
42,35666,13.5072,6.0743,5.3434,1.6683,68.88,5.45
43,42169,14.8624,7.6488,5.1410,1.6482,70.98,5.69
44,63169,21.2314,13.7461,5.1911,1.8073,68.40,5.75
45,22022,8.3470,3.2759,3.7063,1.0892,100.96,7.76
46,24451,9.0990,3.6923,3.9391,1.1728,94.70,7.31
47,20521,11.6203,2.9968,6.3288,1.8415,59.37,4.53
48,28560,9.6281,4.4958,3.7208,1.1254,99.76,7.76
49,39054,12.8736,6.8955,4.2765,1.3526,85.65,6.83
50,27666,9.8628,4.3345,4.0116,1.2083,92.61,7.21
51,40241,13.2594,7.1793,4.3406,1.3843,84.21,6.74
52,20170,8.7781,2.9003,4.3112,1.2526,87.11,6.65
53,27177,9.6521,4.2200,3.9388,1.1884,94.25,7.31
54,22584,11.7984,3.3742,6.1540,1.8164,60.78,4.65
55,25706,11.1332,3.9537,5.2291,1.5623,71.31,5.51
56,30533,11.8960,4.9372,5.0335,1.5374,73.58,5.75
57,25697,9.0661,3.9529,3.7237,1.1087,100.13,7.76
58,29727,10.3220,4.7798,4.0093,1.2235,92.38,7.21
59,24235,9.4339,3.6409,4.2228,1.2554,88.38,6.83
60,33693,11.5834,5.6698,4.2649,1.3160,86.58,6.83
61,37848,12.3486,6.6175,4.1009,1.2958,89.34,7.11
62,27667,9.9327,4.3337,4.0623,1.2243,91.44,7.11
63,21217,8.0409,3.1297,3.5945,1.0503,104.25,8.00
64,23934,8.6921,3.5970,3.7169,1.0998,100.49,7.76
65,22982,9.2514,3.4175,4.2630,1.2569,87.76,6.74
66,25517,9.4235,3.9439,3.9887,1.1906,93.44,7.21
67,21699,8.4833,3.1902,3.8697,1.1376,96.73,7.42
68,36488,12.0201,6.2364,4.1533,1.2987,88.52,7.01
69,22739,9.6073,3.3857,4.5492,1.3380,82.29,6.32
70,29108,10.2701,4.6461,4.0783,1.2316,91.04,7.11
71,25380,10.5013,3.9222,4.7968,1.4261,77.82,6.02
72,34539,12.6222,5.8269,4.8928,1.5179,75.35,5.95
73,32398,11.3798,5.3174,4.3739,1.3469,84.45,6.65
74,26066,9.2380,4.0463,3.7803,1.1256,98.62,7.64
75,28784,10.7479,4.5822,4.4738,1.3488,83.04,6.48
76,25282,11.8812,3.9061,5.8176,1.7274,64.20,4.97
77,22137,9.2683,3.2790,4.3774,1.2870,85.49,6.56
78,35294,11.6650,5.9701,4.0918,1.2775,89.90,7.11
79,22452,11.3959,3.3293,5.9019,1.7339,63.47,4.88
80,33841,12.5337,5.6738,4.9425,1.5267,74.64,5.89
81,36115,13.8194,6.1414,5.5176,1.7248,66.68,5.28
82,20488,9.1860,2.9912,4.5443,1.3206,82.65,6.32
83,27985,11.0967,4.4120,4.8604,1.4634,76.59,5.95
84,24478,10.1777,3.6893,4.7321,1.4057,78.91,6.10
85,22699,10.2190,3.3908,4.9968,1.4709,74.98,5.75
86,22585,9.4526,3.3710,4.4467,1.3048,84.19,6.48
87,27034,9.8762,4.2030,4.1172,1.2396,90.25,7.01
88,38794,12.5572,6.8090,4.1135,1.2967,89.07,7.11
89,26560,10.2447,4.1156,4.4581,1.3351,83.54,6.48
90,22339,9.3838,3.3140,4.4398,1.3035,84.35,6.48
91,20167,8.7133,2.8999,4.2699,1.2363,88.07,6.74
92,23637,8.9336,3.5314,3.9469,1.1607,94.78,7.31
93,26514,10.1652,4.1066,4.4063,1.3172,84.51,6.56
94,26312,11.2938,4.0815,5.2551,1.5652,70.99,5.51
95,20807,8.6350,3.0408,4.1031,1.1917,91.52,7.01
96,27080,9.5908,4.2084,3.9120,1.1724,95.12,7.42
97,26562,10.1704,4.1141,4.4078,1.3182,84.54,6.56
98,20749,8.7006,3.0298,4.1608,1.2072,90.29,6.92
99,32322,10.8341,5.3070,3.9893,1.2238,92.63,7.31
100,30451,10.6618,4.9252,4.1552,1.2599,89.25,7.01
101,27333,10.2881,4.2897,4.3572,1.3095,85.36,6.65
102,21532,10.8589,3.1737,5.6266,1.6469,66.62,5.12
103,22791,10.3296,3.3943,5.0753,1.4874,73.82,5.69
104,50846,17.7895,9.9911,5.4992,1.8216,65.65,5.39
