prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21359,10.8207,2.8681,5.9053,1.7129,64.38,4.83
1,67610,20.0834,14.2798,3.9040,1.4129,88.22,7.42
2,51583,16.7183,9.5910,4.9773,1.6943,71.84,5.75
3,45940,14.9890,8.1833,4.7855,1.5970,75.23,5.95
4,76082,23.9273,17.5855,4.3658,1.6279,80.73,6.74
5,13949,6.6373,1.7077,3.6322,1.0397,103.86,7.64
6,48737,14.4128,8.8414,3.9132,1.3138,91.90,7.31
7,52305,16.1998,9.8061,4.4767,1.5215,80.08,6.40
8,46596,14.3444,8.3403,4.2339,1.4074,85.28,6.74
9,42433,16.4227,7.3014,6.4839,2.1149,56.13,4.38
10,55705,16.8906,10.7745,4.2695,1.4656,83.71,6.74
11,39428,12.6315,6.5069,4.3631,1.4046,83.60,6.48
12,97202,31.8461,25.8124,3.9722,1.5947,84.86,7.53
13,41364,12.5697,7.0183,3.9449,1.2813,92.23,7.21
14,84224,26.4334,20.4953,3.9895,1.5303,86.22,7.42
15,41085,12.7310,6.9421,4.1223,1.3328,88.44,6.92
16,42399,20.5998,7.2904,9.4757,3.0695,38.47,3.01
17,26995,9.8876,3.8808,4.3525,1.3218,85.24,6.48
18,96626,31.5548,25.5154,3.9601,1.5932,84.78,7.53
19,55843,16.5358,10.8123,3.9869,1.3749,89.46,7.21
20,40761,13.1231,6.8121,4.4849,1.4573,81.13,6.32
21,40531,12.3013,6.7715,3.9236,1.2748,92.59,7.21
22,57284,17.5230,11.2689,4.3937,1.5437,81.87,6.48
23,54495,16.2766,10.4456,4.0536,1.4063,87.81,7.01
24,45924,13.7844,8.1762,3.9605,1.3124,91.29,7.21
25,58514,20.0648,11.6395,5.8578,2.0359,60.77,4.92
26,29550,10.3857,4.4249,4.3046,1.3257,85.89,6.56
27,59277,17.9567,11.8449,4.2319,1.4817,83.77,6.83
28,56028,16.6569,10.9240,3.9976,1.3767,89.31,7.21
29,55048,16.3542,10.6307,3.9930,1.3702,89.46,7.21
30,33241,14.1140,5.1798,6.4313,2.0002,57.31,4.41
31,79678,24.5110,18.7337,3.8770,1.4729,88.62,7.53
32,76968,23.7713,17.7125,4.0930,1.5426,84.50,7.11
33,45169,14.0563,7.9525,4.3061,1.4316,83.88,6.56
34,67357,20.5286,14.4305,4.1723,1.5205,83.96,6.92
35,80060,25.0108,18.9392,4.1007,1.5610,84.33,7.11
36,34953,11.6111,5.5446,4.3368,1.3789,84.40,6.48
37,44079,13.4880,7.6356,4.1291,1.3678,87.48,6.83
38,41330,12.4147,6.9922,3.8406,1.2600,94.42,7.31
39,59768,17.9640,11.9896,4.1456,1.4454,85.70,7.01
40,48911,14.9235,8.8675,4.2594,1.4227,84.54,6.74
41,50562,15.7230,9.4190,4.4243,1.4877,81.22,6.48
42,68646,20.5536,14.8265,3.9224,1.4223,89.40,7.42
43,34493,11.4628,5.4385,4.3256,1.3548,84.99,6.56
44,80249,24.8014,18.9478,3.9361,1.4988,87.47,7.42
45,45433,14.0950,8.0206,4.2878,1.4178,84.29,6.65
46,42940,13.4655,7.3707,4.3102,1.4226,84.01,6.56
47,66384,20.2321,14.1645,4.1555,1.5086,84.38,6.92
48,62497,19.1800,12.8850,4.3284,1.5451,81.33,6.65
49,64922,19.2892,13.6345,3.8827,1.4030,90.54,7.42
50,64331,19.9347,13.4553,4.4564,1.6041,79.02,6.48
51,60831,20.2020,12.3364,5.4494,1.9234,65.09,5.28
52,61279,18.6011,12.3978,4.2896,1.5107,82.54,6.74
53,32350,11.0647,4.9474,4.3905,1.3782,83.70,6.40
54,36657,11.7821,5.8596,4.2340,1.3485,86.45,6.65
55,91417,29.6302,23.3528,4.1661,1.6475,81.56,7.11
56,65436,20.1302,13.7319,4.3938,1.5875,80.02,6.56
57,46663,14.7106,8.3532,4.4740,1.4981,80.54,6.32
58,53750,15.8707,10.2741,3.9043,1.3479,91.48,7.31
59,59395,18.2597,11.9534,4.3602,1.5412,81.19,6.56
60,40279,12.6535,6.7405,4.1995,1.3672,86.59,6.74
61,90110,28.7143,22.8502,3.9133,1.5407,87.31,7.53
62,73819,25.5276,16.6409,6.0472,2.2560,57.61,4.79
63,79005,24.6325,18.5110,4.1261,1.5582,83.64,7.11
64,42322,16.2855,7.2888,6.3759,2.0930,56.91,4.41
65,53902,17.3224,10.2791,4.9134,1.6908,72.69,5.82
66,61769,18.9085,12.6408,4.3150,1.5410,81.69,6.65
67,64889,19.5943,13.6105,4.1035,1.4819,85.56,7.01
68,63342,19.3004,13.1177,4.2564,1.5263,82.81,6.74
69,39113,12.4027,6.4718,4.2205,1.3546,86.33,6.74
70,49547,15.3804,9.1070,4.3991,1.4844,81.61,6.48
71,16319,7.9523,2.0344,4.3425,1.2596,86.52,6.40
72,57675,17.6911,11.3924,4.3790,1.5239,81.29,6.56
73,74334,22.7499,16.8115,4.0287,1.5005,86.22,7.21
74,41988,13.0956,7.1786,4.2037,1.3717,86.53,6.74
75,46074,13.7198,8.1863,3.8960,1.2965,92.53,7.31
76,60183,17.7798,12.1597,3.8824,1.3704,91.10,7.42
77,52145,15.9149,9.7865,4.2702,1.4691,83.55,6.65
78,37351,12.9875,6.0798,4.9359,1.5709,74.12,5.75
79,41649,12.8718,7.1136,4.0784,1.3323,88.92,6.92
80,52871,15.5411,9.9486,3.9121,1.3337,91.55,7.31
81,65038,19.3075,13.6518,3.8757,1.4041,90.53,7.42
82,40139,12.6330,6.6728,4.2301,1.3817,85.90,6.65
83,51847,15.3049,9.7481,3.9544,1.3491,92.14,7.21
84,79672,24.9281,18.7571,4.1638,1.5828,82.97,7.01
85,65911,20.3672,13.9674,4.3931,1.5874,80.00,6.56
86,35847,11.5733,5.7132,4.1951,1.3297,87.37,6.74
87,51204,15.8443,9.5711,4.3936,1.4986,81.62,6.48
88,96615,35.8765,25.5590,6.8340,2.7406,49.62,4.38
89,62300,19.9894,12.8645,4.9353,1.7468,71.86,5.89
90,56180,17.1711,10.9436,4.3475,1.4977,82.22,6.65
91,94730,36.8177,24.8204,7.9641,3.1756,42.68,3.74
92,59788,19.6378,12.0147,5.2795,1.8602,67.16,5.45
93,74351,22.9370,16.8221,4.1565,1.5416,83.73,7.01
94,55590,17.0333,10.7762,4.3621,1.5051,81.83,6.56
95,58268,17.5121,11.6165,4.0929,1.4287,86.84,7.01
96,54887,17.0148,10.5949,4.4742,1.5415,79.75,6.40
97,56312,18.2930,10.9636,5.1006,1.7709,69.86,5.63
