prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,18.0712,11.6073,4.5055,1.5233,79.21,6.65
1,81646,26.7964,20.1470,4.4806,1.6557,77.00,6.83
2,76090,25.0118,18.2194,4.6362,1.6817,75.38,6.56
3,77617,25.2735,18.7418,4.4632,1.6304,78.39,6.83
4,55747,23.9561,11.4480,8.8001,2.9658,40.93,3.39
5,29498,10.6582,4.7764,4.2650,1.2937,87.05,6.83
6,85073,28.2912,21.6692,4.4866,1.6777,77.32,6.83
7,24370,9.5767,3.6824,4.3053,1.2748,86.86,6.74
8,29084,10.4622,4.6642,4.2143,1.2678,88.31,6.92
9,86449,29.0843,22.2340,4.6152,1.7375,74.74,6.65
10,13820,7.4721,1.8681,4.1524,1.1652,91.36,6.92
11,80111,26.6524,19.7376,4.7111,1.7302,74.04,6.48
12,21014,9.0238,3.0903,4.3587,1.2608,86.29,6.65
13,40539,13.7520,7.2404,4.6700,1.4779,78.63,6.32
14,41253,13.3990,7.4541,4.2582,1.3512,86.12,6.92
15,47961,15.3054,9.1832,4.3326,1.4175,83.63,6.83
16,37493,12.6982,6.5217,4.4188,1.3992,82.89,6.56
17,65396,21.7926,14.3754,5.1254,1.8092,69.03,5.82
18,19849,8.4123,2.8593,4.0702,1.1877,92.20,7.01
19,94472,32.0564,25.6156,4.2907,1.6771,79.49,7.11
20,78236,25.7986,19.0716,4.5756,1.7002,76.11,6.56
21,51271,16.3635,10.1608,4.3559,1.4632,82.54,6.74
22,86529,30.6478,22.3085,5.6183,2.1424,61.40,5.39
23,56310,18.0125,11.5781,4.4965,1.5398,79.57,6.56
24,24586,9.3758,3.7580,4.0867,1.2215,91.14,7.01
25,35659,11.8272,6.0770,4.1212,1.2942,89.04,7.01
26,36601,12.0959,6.2572,4.1878,1.3159,87.69,6.92
27,27547,10.4308,4.3170,4.4293,1.3421,83.75,6.48
28,90282,30.1084,23.7817,4.2289,1.6215,80.93,7.21
29,38905,12.7610,6.8936,4.1930,1.3347,87.26,6.92
30,38665,13.0685,6.8049,4.4738,1.4224,81.74,6.48
31,68405,22.1757,15.4935,4.5935,1.6427,76.62,6.48
32,83924,28.0972,21.1884,4.6619,1.7616,74.11,6.48
33,40640,13.2174,7.2460,4.2562,1.3687,85.74,6.83
34,24760,9.3790,3.7745,4.0744,1.2227,91.36,7.01
35,70404,22.7092,16.2533,4.4344,1.6001,79.31,6.74
36,74909,25.5921,17.7882,5.3201,1.9544,65.61,5.63
37,16245,8.0324,2.2244,4.2724,1.2295,88.15,6.65
38,14941,7.8432,2.0084,4.3166,1.2158,87.75,6.65
39,35576,11.8614,6.0606,4.1714,1.2966,88.26,7.01
40,58665,18.6515,12.2737,4.4336,1.5297,80.28,6.65
41,51288,16.3401,10.1407,4.3558,1.4609,82.59,6.74
42,70925,22.7152,16.3578,4.3764,1.5598,80.54,6.92
43,83377,27.6314,21.0996,4.4282,1.6505,78.39,6.92
44,34600,11.7254,5.8556,4.2303,1.3079,87.23,6.92
45,17068,8.0363,2.4096,4.1433,1.1853,90.99,6.92
46,82662,27.5674,20.8097,4.5788,1.7043,75.76,6.65
47,90967,31.2455,24.1942,4.7336,1.8149,72.61,6.48
48,36310,12.5701,6.2246,4.5615,1.4231,80.69,6.40
49,97404,33.8726,26.8028,4.7130,1.8380,72.42,6.56
50,25417,10.1242,3.9343,4.5136,1.3426,82.72,6.40
51,67302,21.5827,15.1136,4.4605,1.5785,79.14,6.74
52,80841,28.0405,19.9943,5.4705,2.0290,63.63,5.57
53,84104,28.1934,21.3367,4.6502,1.7407,74.67,6.56
54,46064,15.7676,8.7123,5.0162,1.6308,72.57,5.89
55,16285,8.3875,2.2391,4.5301,1.2949,83.27,6.32
56,26728,10.1614,4.1670,4.3556,1.3050,85.41,6.65
57,60666,19.1222,12.8374,4.3786,1.5032,81.47,6.83
58,24235,9.4520,3.6428,4.2409,1.2546,88.14,6.83
59,40886,13.2968,7.2730,4.3061,1.3681,85.00,6.83
60,47369,15.3690,9.0143,4.5032,1.4673,80.57,6.56
61,24987,9.6410,3.8278,4.2436,1.2574,88.07,6.83
62,62887,19.7676,13.6917,4.2151,1.4640,84.27,7.11
63,32507,11.0928,5.3414,4.1528,1.2766,89.02,7.01
64,55848,17.7000,11.3988,4.4237,1.4894,81.25,6.74
65,67033,21.3739,15.0781,4.3453,1.5370,81.32,6.92
