prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,1,14.7313,8.7052,4.3760,1.2359,84.96,6.83
1,81646,1,21.3926,15.0310,4.4283,1.3806,80.48,6.74
2,76090,1,20.1206,13.7634,4.5068,1.3765,80.54,6.56
3,77617,1,20.3772,14.2254,4.3554,1.3359,83.23,6.83
4,55747,1,18.2615,8.8681,6.9054,1.9740,54.51,4.20
5,29498,1,9.3542,3.7981,4.2056,1.0807,92.15,6.74
6,85073,1,22.5807,16.3401,4.3584,1.3706,82.04,6.83
7,24370,1,8.5307,2.9879,4.2075,1.0625,92.37,6.65
8,29084,1,9.0113,3.7187,3.9844,1.0305,96.74,7.01
9,86449,1,23.1548,16.8097,4.4659,1.3977,80.69,6.74
10,13820,1,6.9900,1.5426,4.2046,0.9991,93.99,6.65
11,80111,1,21.3732,14.9550,4.5745,1.3994,79.77,6.56
12,21014,1,8.0988,2.5094,4.2659,1.0506,91.60,6.56
13,40539,1,11.5160,5.7169,4.3161,1.1714,88.29,6.56
14,41253,1,11.4678,5.8545,4.1700,1.1350,91.21,6.83
15,47961,1,12.9792,7.1616,4.2899,1.1974,88.01,6.65
16,37493,1,10.8468,5.1558,4.2569,1.1318,89.97,6.65
17,65396,1,22.1042,11.0474,8.0086,2.3787,46.31,3.63
18,19849,1,7.5838,2.3224,4.0201,0.9884,97.31,6.92
19,94472,1,25.6080,19.2167,4.4041,1.4236,80.11,6.83
20,78236,1,21.2217,14.5369,4.7593,1.4640,76.59,6.24
21,51271,1,13.6515,7.8872,4.2401,1.1874,88.82,6.83
22,86529,1,22.9600,16.8922,4.2558,1.3444,84.38,7.01
23,56310,1,14.8833,9.0028,4.2970,1.2324,87.07,6.74
24,24586,1,8.5485,3.0581,4.1720,1.0530,93.25,6.74
25,35659,1,10.1923,4.8322,4.0106,1.0695,95.52,7.01
26,36601,1,10.5543,4.9848,4.1624,1.1109,91.93,6.83
27,27547,1,9.2247,3.4737,4.3452,1.1172,89.03,6.48
28,90282,1,23.8796,17.8951,4.1359,1.3222,85.55,7.21
29,38905,1,11.6443,5.4242,4.6402,1.2472,82.31,6.10
30,38665,1,13.6948,5.3654,6.2148,1.6698,61.47,4.57
31,68405,1,17.8108,11.7984,4.3191,1.2789,85.16,6.83
32,83924,1,22.5058,16.1139,4.5003,1.3985,80.10,6.65
33,40640,1,11.3631,5.7545,4.1975,1.1266,91.29,6.83
34,24760,1,8.4885,3.0599,4.1279,1.0386,94.32,6.83
35,70404,1,18.3034,12.3515,4.2499,1.2767,86.02,6.92
36,74909,1,21.7450,13.5970,5.8314,1.7785,62.84,5.07
37,16245,1,7.3286,1.8364,4.2092,1.0294,93.22,6.56
38,14941,1,7.2760,1.6753,4.3071,1.0371,91.42,6.48
39,35576,1,10.3885,4.7807,4.1791,1.1139,91.30,6.74
40,58665,1,15.5235,9.4521,4.3847,1.2763,84.33,6.56
41,51288,1,13.7851,7.8433,4.3492,1.2357,86.17,6.56
42,70925,1,18.6993,12.5247,4.4185,1.3329,82.92,6.65
43,83377,1,22.3697,15.9743,4.4938,1.4207,80.06,6.56
44,34600,1,10.2435,4.6806,4.1693,1.1065,92.04,6.74
45,17068,1,7.3091,1.9583,4.0964,1.0010,95.69,6.74
46,82662,1,21.8566,15.6998,4.3197,1.3481,83.16,6.92
47,90967,1,25.1141,18.2557,4.7646,1.5415,74.65,6.24
48,36310,1,10.9164,4.9917,4.4300,1.1818,86.42,6.40
49,97404,1,27.3747,20.2549,4.9261,1.5836,71.91,6.24
50,25417,1,8.9430,3.1871,4.3671,1.1059,88.95,6.40
51,67302,1,17.7213,11.5938,4.3867,1.3068,83.56,6.65
52,80841,1,21.4804,15.2134,4.4350,1.3705,81.70,6.74
53,84104,1,22.4150,16.2076,4.3797,1.3703,82.48,6.83
54,46064,1,12.7109,6.8416,4.3324,1.2086,87.23,6.56
55,16285,1,7.2549,1.8407,4.1494,1.0127,94.57,6.65
56,26728,1,8.8341,3.3304,4.1596,1.0590,93.03,6.74
57,60666,1,15.9588,9.9085,4.3950,1.2630,84.62,6.65
58,24235,1,8.2855,2.9481,4.0668,1.0122,95.93,6.92
59,40886,1,11.5017,5.7469,4.2600,1.1636,88.97,6.65
60,47369,1,12.8598,7.0492,4.2686,1.1903,88.11,6.65
61,24987,1,8.5379,3.0809,4.1352,1.0479,93.82,6.74
62,62887,1,16.2919,10.4539,4.2007,1.2339,87.70,6.92
63,32507,1,9.9996,4.2822,4.2879,1.1259,89.55,6.56
64,55848,1,14.8153,8.8614,4.3462,1.2428,85.99,6.65
65,67033,1,17.4573,11.5162,4.2748,1.2618,86.18,6.92
