prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,42051,1,8.5039,5.1317,1.3605,1.7975,151.83,3.94
1,28143,1,5.4459,2.6004,1.1574,1.5244,179.93,4.20
2,36539,1,7.6789,3.8431,1.9031,1.7384,133.48,3.94
3,29039,1,6.2612,2.7698,1.4233,1.8716,146.65,3.44
4,22714,1,4.9643,1.9550,1.2324,1.5979,170.14,3.82
5,21812,1,5.5040,1.8367,1.5078,1.9495,139.61,3.12
6,22646,1,6.1495,1.9556,1.7235,2.2197,122.08,2.75
7,25024,1,5.0395,2.2506,1.1375,1.4848,183.58,4.20
8,24150,1,6.0064,2.1270,1.5779,2.0709,131.98,3.01
9,21045,1,4.9608,1.7743,1.3163,1.6876,160.68,3.58
10,23442,1,6.1431,2.0514,1.6814,2.1698,125.13,2.84
11,31600,1,7.0149,3.1800,1.5572,2.0498,133.51,3.22
12,22289,1,5.7195,1.9207,1.5651,2.0162,134.78,3.05
13,27965,1,6.0900,2.6680,1.4055,1.8141,149.62,3.56
14,29778,1,6.0758,2.9367,1.2690,1.6825,163.10,3.91
15,25868,1,6.4243,2.3836,1.6537,2.1606,126.71,2.93
16,38167,1,7.7032,4.2498,1.3900,1.8627,148.26,3.76
17,23130,1,6.0176,2.0154,1.6617,2.1053,127.93,2.94
18,30060,1,5.9546,3.0024,1.2039,1.5704,173.43,4.20
19,43636,1,8.9080,5.2140,1.4728,2.0272,138.60,3.61
20,45405,1,8.9353,5.6003,1.3199,1.8202,153.52,4.06
21,40309,1,9.3319,4.6406,1.8806,2.5426,109.14,2.81
22,44438,1,8.5293,5.4007,1.2421,1.7009,163.65,4.30
23,34797,1,7.4680,3.7238,1.5648,1.9729,136.74,3.48
24,35288,1,7.4355,3.7631,1.4743,1.9948,139.42,3.44
25,28694,1,6.2563,2.7862,1.4101,1.8707,147.55,3.46
26,23357,1,5.3767,2.0573,1.3675,1.7612,154.24,3.51
27,22576,1,5.0766,1.9783,1.2744,1.6439,165.25,3.74
28,22524,1,5.7496,1.9640,1.5575,2.0029,135.25,3.07
29,42018,1,8.6944,4.9566,1.5024,2.0288,136.98,3.53
30,25980,1,5.5647,2.4179,1.3135,1.6458,162.70,3.85
31,22679,1,5.6906,1.9869,1.5288,1.9672,138.24,3.12
32,24753,1,5.6098,2.2345,1.3771,1.8017,151.69,3.48
33,27006,1,5.9069,2.5224,1.3788,1.8156,151.28,3.53
34,23108,1,6.2566,2.0064,1.7517,2.2561,120.46,2.72
35,56607,1,11.6282,7.8980,1.4668,2.0458,137.26,3.91
36,40046,1,9.3203,4.5512,1.9512,2.5467,107.36,2.80
37,26106,1,5.6770,2.4316,1.3378,1.7296,157.76,3.66
38,26253,1,6.1610,2.4425,1.5208,1.9771,137.69,3.20
39,23403,1,5.6015,2.0620,1.4551,1.8875,144.65,3.26
40,23376,1,5.8474,2.0548,1.5589,2.0107,135.00,3.07
41,24529,1,6.1583,2.1957,1.6255,2.1169,129.21,2.96
42,37441,1,7.2078,4.1314,1.2377,1.6677,166.43,4.16
43,45206,1,10.5397,5.5472,2.0480,2.6837,102.55,2.75
44,65305,1,14.0359,10.0412,1.5567,2.2186,128.17,3.82
45,22570,1,5.5003,1.9813,1.4425,1.8758,145.50,3.28
46,25200,1,6.0475,2.2983,1.5339,2.0051,136.56,3.14
47,20851,1,5.4187,1.7562,1.5166,1.9279,139.80,3.12
48,29200,1,6.4975,2.8516,1.4868,1.9539,140.43,3.32
49,42131,1,9.3331,4.9664,1.7492,2.3692,117.25,3.03
50,28230,1,6.6258,2.6948,1.6029,2.1005,130.25,3.07
51,41379,1,8.2955,4.8240,1.3844,1.8853,147.49,3.79
52,20878,1,4.7958,1.7595,1.3118,1.5464,168.63,3.94
53,29470,1,6.6635,2.9086,1.5252,2.0167,136.36,3.24
54,23393,1,5.8572,2.0592,1.5634,2.0201,134.81,3.05
55,26477,1,6.5812,2.4523,1.6808,2.2172,124.00,2.86
56,31496,1,6.5073,3.1824,1.3495,1.7877,153.99,3.68
57,27562,1,7.0523,2.6005,1.8126,2.3829,115.01,2.69
58,31997,1,6.5750,3.2243,1.3543,1.8050,152.80,3.68
59,24533,1,5.9127,2.1952,1.5649,1.9370,137.73,3.26
60,36212,1,8.5576,3.9217,1.8936,2.4712,110.44,2.78
61,40316,1,8.1283,4.6332,1.3970,1.8921,146.49,3.76
62,28536,1,5.6952,2.7124,1.2633,1.5487,171.65,4.20
63,21657,1,4.8084,1.8556,1.2063,1.5761,173.39,3.88
64,25699,1,6.4078,2.3697,1.6448,2.1612,126.79,2.91
65,23642,1,6.4686,2.0725,1.7963,2.3496,116.47,2.63
66,25908,1,6.5196,2.3780,1.7356,2.1636,123.62,2.93
67,22674,1,5.1292,1.9849,1.2881,1.6666,162.83,3.68
68,39651,1,8.3843,4.5213,1.5499,2.0913,132.54,3.37
69,23038,1,5.5270,2.0068,1.4432,1.8749,145.45,3.28
70,30252,1,6.8965,3.0061,1.5790,2.0785,131.60,3.16
71,26530,1,6.1371,2.4664,1.4959,1.9733,139.48,3.22
72,36123,1,7.2029,3.8762,1.3361,1.7953,153.91,3.82
73,34679,1,8.3312,3.6661,1.7071,2.2968,109.75,2.96
74,27973,1,5.6735,2.6737,1.2143,1.6074,170.67,4.00
75,29627,1,6.3751,2.9192,1.3968,1.8557,148.15,3.53
76,25712,1,5.6765,2.3695,1.3477,1.7682,154.82,3.56
77,22819,1,6.0796,1.9968,1.6734,2.1703,125.41,2.83
