prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21420,1,8.6010,2.0259,2.9506,3.3914,77.87,1.80
1,68195,1,17.6585,10.3308,2.8171,3.9329,69.87,2.17
2,51795,1,11.8094,6.6733,2.0551,2.7793,99.69,2.75
3,46064,1,10.1819,5.6160,1.8353,2.4669,112.14,2.99
4,76314,1,18.3757,12.9015,2.0746,2.9482,93.53,3.07
5,14066,1,6.5828,1.0280,2.3430,2.8847,92.17,1.98
6,49083,1,13.0955,6.1926,2.7790,3.7486,74.17,2.02
7,52468,1,11.6998,6.9261,1.9116,2.5896,107.25,2.99
8,46672,1,13.0431,5.8024,2.9248,3.9304,70.71,1.90
9,42512,1,10.4172,5.0168,2.1982,2.9009,94.81,2.49
10,55832,1,12.5500,7.6886,1.9528,2.6506,105.32,2.99
11,39747,1,10.2753,4.5014,2.3517,3.1025,88.67,2.28
12,97342,1,23.7818,20.0212,1.4754,2.1790,136.15,4.70
13,41480,1,9.7495,4.8285,1.9834,2.6739,104.04,2.68
14,85869,1,21.1756,16.1089,2.0549,2.9831,101.05,3.22
15,41217,1,10.1438,4.7718,2.1732,2.9125,95.31,2.46
16,42474,1,12.2132,5.0144,2.9137,3.8948,71.12,1.85
17,27121,1,7.3656,2.5183,1.9900,2.5794,105.63,2.49
18,96700,1,25.7156,19.6394,2.3101,3.4089,84.26,2.99
19,57221,1,15.2122,7.9711,2.8892,3.9800,70.71,2.02
20,40819,1,11.2774,4.6355,2.6732,3.6062,77.09,1.98
21,40733,1,10.0923,4.6230,2.1973,2.9658,93.61,2.40
22,57494,1,13.1023,8.0967,1.9741,2.7553,102.29,2.91
23,54777,1,14.7349,7.5105,2.8631,3.9724,70.87,1.98
24,47477,1,9.2737,5.9252,1.3439,1.8077,152.91,4.13
25,58718,1,15.2574,8.4435,2.6971,3.7503,75.14,2.15
26,29658,1,6.9960,2.8960,1.6775,2.1849,124.88,2.99
27,59720,1,13.5943,8.6119,1.9814,2.7217,102.76,2.99
28,56161,1,12.6743,7.7976,1.9422,2.6622,104.99,2.99
29,55261,1,12.4263,7.5613,1.9443,2.6388,105.24,2.99
30,33299,1,9.4261,3.4473,2.4674,3.1861,85.64,2.11
31,79770,1,21.1499,14.1020,2.7618,3.9374,72.65,2.34
32,77069,1,18.6136,13.2554,2.0834,2.9750,95.55,3.05
33,46672,1,11.2483,5.7950,2.1918,2.9744,93.89,2.50
34,67871,1,17.3361,10.6659,2.6236,3.6902,76.76,2.33
35,80133,1,18.4585,14.2956,1.5771,2.2596,122.99,4.10
36,35185,1,8.3527,3.7315,1.8864,2.4731,110.79,2.77
37,44175,1,10.2045,5.2853,2.0033,2.6411,104.08,2.77
38,41458,1,10.1374,4.8151,2.2063,2.8088,96.20,2.57
39,59889,1,15.7064,8.6441,2.7811,3.9065,72.50,2.09
40,49031,1,10.8614,6.2024,1.8546,2.5406,109.89,2.99
41,50848,1,11.3422,6.6428,1.8559,2.5750,108.95,2.99
42,71120,1,19.3051,11.6168,3.1296,4.1317,66.59,2.14
43,34598,1,8.9104,4.0022,2.1478,2.8349,104.32,2.39
44,80957,1,21.6024,14.3696,2.8147,4.0218,70.79,2.32
45,45562,1,10.5674,5.5763,1.9995,2.7143,102.58,2.72
46,43052,1,9.2819,5.1188,1.6595,2.2625,122.99,3.22
47,66576,1,17.0778,10.3599,2.6410,3.7153,76.21,2.29
48,62871,1,16.7615,9.4483,2.8794,4.0571,70.01,2.05
49,65226,1,16.6911,10.3021,2.6614,3.7451,80.14,2.26
50,64498,1,14.9597,9.7684,2.0317,2.8681,98.63,2.96
51,62435,1,16.2243,9.3100,2.7198,3.8213,74.05,2.19
52,61378,1,15.6982,9.0160,2.6529,3.6830,76.62,2.24
53,32596,1,9.8466,3.2867,2.6671,3.5312,78.05,1.90
54,36826,1,8.2585,3.9814,1.7404,2.3030,119.71,2.99
55,92944,1,24.1917,18.4959,2.2603,3.3038,89.89,3.01
56,66006,1,16.8822,10.2109,2.6395,3.6804,76.75,2.32
57,46827,1,10.4801,5.8214,1.8772,2.4926,109.90,2.99
58,54445,1,12.5232,7.4256,2.0289,2.7961,100.44,2.81
59,60407,1,23.5186,8.7576,5.8717,8.1421,34.69,1.00
60,40422,1,6.8162,4.5928,0.8931,1.1970,230.28,5.95
61,90187,1,22.4871,17.4141,1.9810,2.8677,100.93,3.41
62,74119,1,19.4956,12.5273,2.7125,3.8776,73.48,2.30
63,79112,1,19.6776,13.9497,2.2720,3.2490,89.39,2.83
64,42379,1,11.4629,5.0056,2.6205,3.4811,79.29,2.06
65,54248,1,14.5872,7.3736,2.8822,3.9605,70.98,1.98
66,62051,1,16.5146,9.1759,2.8882,4.0617,69.77,2.04
67,65021,1,16.8645,9.8955,2.7422,3.8618,73.47,2.19
68,64053,1,14.7120,9.6411,1.9948,2.7965,100.97,2.99
69,39336,1,10.7746,4.4205,2.5957,3.4145,80.58,2.06
70,49711,1,13.9183,6.3991,3.0314,4.0854,68.09,1.86
71,16388,1,7.3124,1.2732,2.5087,3.1809,84.78,1.82
72,58632,1,13.0204,8.3278,1.8598,2.5631,109.11,3.14
73,74986,1,19.6064,12.6546,2.7330,3.8980,73.65,2.31
74,42150,1,9.4277,4.9239,1.8274,2.4228,113.68,2.96
75,47019,1,10.4150,5.8254,1.8433,2.4855,111.56,2.99
76,60640,1,15.4123,8.7770,2.6378,3.6415,77.16,2.25
77,52844,1,12.4344,7.0248,2.1734,2.9370,94.65,2.64
78,37467,1,6.3030,4.1058,0.8958,1.1697,233.03,5.95
79,41797,1,12.0531,4.8970,2.9057,3.8583,71.55,1.86
80,53168,1,11.8772,7.0529,1.9323,2.6265,106.13,2.96
81,65368,1,16.8510,9.9310,2.7361,3.8013,73.99,2.23
