prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57721,1,12.7769,9.0144,1.8687,2.6840,136.08,2.96
1,81680,1,19.0484,14.4937,1.6053,2.4053,112.41,3.85
2,76786,1,20.7706,13.3005,2.8007,4.1831,68.54,2.16
3,77655,1,18.3150,13.7783,1.7622,2.6500,112.86,3.46
4,55756,1,12.1379,7.7665,1.6931,2.4443,117.13,3.24
5,29695,1,9.5442,2.9263,2.6216,3.6295,77.37,1.81
6,85132,1,20.2235,15.9712,1.6449,2.4624,120.41,3.88
7,24526,1,6.1221,2.2029,1.5665,2.1255,130.64,2.96
8,29086,1,6.2607,2.8298,1.3661,1.8655,149.23,3.48
9,86532,1,19.8839,16.4778,1.3085,1.9707,150.32,4.88
10,13840,1,4.9400,1.0205,1.5869,2.0927,130.63,2.72
11,80176,1,19.7439,14.3417,2.0433,3.0732,94.78,3.01
12,21042,1,5.4260,1.7851,1.4564,1.9662,140.63,3.08
13,41585,1,10.2091,4.8624,2.0946,2.9584,95.76,2.42
14,41450,1,7.7163,4.8472,1.1213,1.5822,178.45,4.53
15,48659,1,10.0151,6.2217,1.4724,2.1051,134.97,3.58
16,37565,1,9.0325,4.1985,1.9013,2.6607,105.92,2.61
17,65466,1,15.4210,10.0502,2.0606,3.0307,95.33,2.78
18,20047,1,6.1393,1.6530,1.8104,2.4190,114.13,2.47
19,94565,1,25.1985,19.1796,2.2511,3.4312,85.07,2.93
20,78893,1,18.1816,13.9924,1.5426,2.3087,122.22,3.97
21,51313,1,10.6883,6.8260,1.4937,2.1470,132.56,3.58
22,86583,1,21.6010,16.4667,1.9128,2.9017,99.72,3.30
23,56364,1,13.2543,7.8888,2.0776,3.0125,95.42,2.64
24,24602,1,5.6623,2.2278,1.3798,1.8536,149.08,3.37
25,35780,1,8.6319,3.8373,1.8980,2.6260,106.79,2.60
26,36620,1,8.4074,3.9565,1.7651,2.4338,115.03,2.81
27,29041,1,7.1729,2.8182,1.7366,2.3687,117.57,2.72
28,91385,1,23.4204,18.0494,2.0290,3.0807,95.33,3.20
29,39117,1,9.8654,4.4367,2.1415,2.9898,94.31,2.34
30,38722,1,8.4543,4.3444,1.6252,2.2531,124.58,3.10
31,69757,1,16.1509,11.2962,1.8458,2.7346,105.47,3.18
32,86011,1,20.9675,16.1680,1.7761,2.6974,106.68,3.56
33,40674,1,9.2098,4.6657,1.7860,2.5059,112.67,2.84
34,24970,1,7.1401,2.2701,1.9528,2.6377,105.13,2.37
35,70548,1,16.7228,11.5583,1.9092,2.7711,99.14,3.14
36,75229,1,20.2324,12.8989,2.7711,4.1359,69.82,2.18
37,16576,1,5.5353,1.7785,1.7197,2.2705,136.28,2.57
38,14963,1,4.3422,1.1088,1.3106,1.7273,158.35,3.30
39,35737,1,8.4496,3.8300,1.8270,2.5295,110.83,2.71
40,58779,1,13.1088,8.5356,1.7722,2.5559,111.96,3.16
41,51297,1,11.9020,6.8214,1.9727,2.8208,100.78,2.74
42,72259,1,17.2402,12.1099,2.0170,2.9723,99.80,2.96
43,85377,1,20.5485,16.5118,1.6787,2.5242,126.84,3.76
44,34663,1,8.6599,3.6661,1.9737,2.7441,102.53,2.47
45,17186,1,7.0498,1.3661,2.3057,3.0471,90.08,1.91
46,85436,1,20.7174,16.0696,1.6944,2.5256,110.16,3.76
47,93044,1,22.6660,18.5797,1.5151,2.3088,125.30,4.30
48,37699,1,10.1033,4.2193,2.3240,3.2380,87.02,2.15
49,97581,1,25.8516,20.7019,2.0775,3.1744,99.42,3.22
50,25415,1,6.1989,2.3498,1.5318,2.0921,133.02,3.01
51,67355,1,15.8459,10.6427,1.9763,2.9237,98.40,2.94
52,81369,1,18.2364,14.7505,1.2687,1.9032,146.88,4.92
53,84358,1,20.3516,15.6617,1.7793,2.6729,109.17,3.56
54,46627,1,10.0909,5.8576,1.6847,2.3140,120.95,3.22
55,16312,1,6.1131,1.2549,1.9768,2.4657,105.39,2.37
56,26750,1,7.2626,2.5259,1.9488,2.5150,108.09,2.55
57,60738,1,13.9894,9.0047,1.9327,2.6941,102.71,3.03
58,24635,1,7.2796,2.2432,2.0563,2.6904,101.66,2.33
59,40965,1,12.0149,4.7801,2.9207,3.9241,70.77,1.82
60,47686,1,11.4552,6.0037,2.1654,2.9533,93.92,2.52
61,25018,1,6.8619,2.2807,1.8568,2.4554,111.76,2.55
62,62954,1,13.9807,9.5618,1.6876,2.3930,115.87,3.46
63,32532,1,9.3909,3.3534,2.4805,3.2523,84.80,2.06
64,56874,1,11.4106,8.0525,1.3207,1.8431,152.47,4.34
65,67044,1,15.4592,10.6531,1.8582,2.6633,106.53,3.22
