prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,41716,12.4649,7.3814,3.3207,1.4878,100.72,6.32
1,27177,7.6751,4.1120,2.1484,1.1250,143.69,7.76
2,35238,10.6539,5.8414,3.0142,1.4276,106.39,6.40
3,26966,8.1034,4.1402,2.3962,1.2474,129.19,7.01
4,22347,7.4165,3.2905,2.4451,1.3424,124.09,6.32
5,20281,6.7585,2.8963,2.2666,1.2776,132.57,6.56
6,22027,8.8524,3.2564,3.3126,1.8259,91.49,4.65
7,23977,8.0814,3.5969,2.6848,1.4386,114.17,5.95
8,23746,7.1007,3.5465,2.1268,1.1386,144.06,7.53
9,20473,6.6147,2.9639,2.1469,1.2005,140.25,7.01
10,23252,7.1347,3.4983,2.1725,1.1705,140.80,7.31
11,30625,9.9589,4.9722,3.0841,1.5192,102.67,5.89
12,20667,6.6810,3.0227,2.1600,1.2007,139.96,7.01
13,27118,8.1250,4.2320,2.3641,1.2171,131.52,7.21
14,28753,8.4542,4.5977,2.3674,1.1882,132.76,7.42
15,25070,8.4469,3.8620,2.7650,1.4580,111.67,5.95
16,37340,11.1438,6.5254,2.9328,1.3426,110.86,6.92
17,22514,8.4976,3.3809,3.0458,1.6557,100.06,5.17
18,28674,8.7381,4.6261,2.5259,1.2993,124.51,7.01
19,40412,12.4636,7.2517,3.3552,1.4941,98.24,6.32
20,43019,13.0193,7.9532,3.2822,1.4225,101.06,6.74
21,37717,10.7760,6.6357,2.6311,1.2013,123.66,7.76
22,40488,13.2113,7.2601,3.8239,1.6981,86.03,5.57
23,31926,10.0183,5.2411,2.9701,1.4413,107.18,6.24
24,34943,10.3807,5.9599,2.7828,1.3082,115.82,7.01
25,27710,8.2316,4.3598,2.3640,1.2044,132.24,7.31
26,22585,6.7448,3.4007,1.9965,1.0835,153.10,7.88
27,21604,9.9060,3.1947,3.9684,2.1966,76.29,3.88
28,21670,7.7399,3.2057,2.6837,1.4800,112.92,5.75
29,39877,13.4465,7.1073,4.0667,1.8167,80.77,5.17
30,25248,7.7849,3.8877,2.3495,1.2369,131.38,7.01
31,20868,6.6373,3.0726,2.1054,1.1688,143.63,7.21
32,23720,7.2747,3.5669,2.2182,1.1904,138.09,7.21
