prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21359,8.0357,2.8738,3.0984,1.7245,99.19,4.83
1,67610,20.4320,14.3033,4.1832,1.4384,83.54,7.42
2,51583,16.4031,9.6246,4.5146,1.7555,75.53,5.69
3,45940,14.3957,8.5106,4.0583,1.6530,87.00,5.89
4,76082,24.8647,17.6243,5.0865,1.6603,70.71,6.74
5,13949,4.8007,1.7208,1.7607,1.0542,166.24,7.64
6,48737,13.9994,8.9041,3.3794,1.3483,100.49,7.31
7,52305,15.8463,9.9005,3.9962,1.5411,86.11,6.48
8,46596,13.8107,8.4194,3.5648,1.4426,94.97,6.74
9,42433,15.2353,7.3785,5.1381,2.1660,65.17,4.38
10,55705,16.8235,10.8872,4.0065,1.5048,86.25,6.74
11,39428,11.6926,6.5679,3.3085,1.4393,99.91,6.48
12,97202,33.5123,26.0177,5.4495,1.6239,68.32,7.53
13,41364,11.7280,7.0459,3.0385,1.3077,109.35,7.21
14,84224,27.4845,20.5984,4.9028,1.5611,74.35,7.42
15,41085,11.8268,6.9676,3.1463,1.3610,105.37,6.92
16,42399,16.4336,7.3308,5.9350,2.5274,56.25,3.74
17,26995,8.2516,3.9064,2.6575,1.3452,117.83,6.48
18,96626,33.2804,25.7105,5.4271,1.6265,67.64,7.53
19,55843,16.3677,10.8720,3.7247,1.4037,93.16,7.21
20,40761,12.1555,6.8430,3.4336,1.4896,96.38,6.32
21,40531,11.4469,6.8026,2.9949,1.3031,110.24,7.21
22,57284,17.9690,11.3245,4.5625,1.7175,77.06,5.95
23,54495,16.0270,10.4823,3.7296,1.4351,92.34,7.01
24,45924,13.1257,8.2059,3.2306,1.3400,104.07,7.21
25,58514,19.8880,11.6879,5.5780,2.0761,62.44,4.92
26,29550,8.8682,4.4444,2.7372,1.3469,115.74,6.56
27,59277,17.8943,11.8979,4.0730,1.5101,85.38,6.83
28,56028,16.4601,10.9793,3.7015,1.4062,93.42,7.21
29,55048,16.1136,10.6804,3.6637,1.3962,94.24,7.21
30,33241,12.1166,5.2045,4.3510,2.0394,74.07,4.41
31,79678,25.3875,18.8700,4.6031,1.4998,78.56,7.53
32,76968,24.4995,17.7915,4.7252,1.5714,76.33,7.11
33,45169,13.2704,7.9898,3.4669,1.4435,96.96,6.65
34,67357,20.8421,14.4953,4.3969,1.5483,80.67,6.92
35,80060,25.9038,19.0040,4.8763,1.5914,74.20,7.11
36,34953,10.3902,5.5715,3.0438,1.4092,106.25,6.48
37,44079,12.7628,7.6745,3.3189,1.3991,100.62,6.83
38,41330,11.6503,7.0370,2.9756,1.2920,110.98,7.31
39,59768,17.9367,12.0542,3.9803,1.4836,87.04,7.01
40,48911,14.3672,8.9153,3.6012,1.4605,93.91,6.74
41,50562,15.2266,9.4754,3.8273,1.5273,89.02,6.48
42,68646,20.8839,14.8925,4.1472,1.4519,85.46,7.42
43,34493,10.1809,5.4600,2.9782,1.3860,108.45,6.56
44,80249,25.6783,19.0261,4.6831,1.5302,76.97,7.42
45,45433,13.4357,8.0635,3.5245,1.4701,95.31,6.56
46,42940,12.7036,7.4055,3.4366,1.4744,96.64,6.48
47,66384,20.6223,14.2459,4.4005,1.5620,80.30,6.83
48,62497,19.2761,12.9514,4.3261,1.5790,80.95,6.65
49,64922,19.4768,13.6806,3.9752,1.4294,88.34,7.42
50,64331,20.0992,13.5104,4.5218,1.6361,77.71,6.48
51,60831,20.1129,12.3798,5.2728,1.9478,66.21,5.33
52,61279,18.6747,12.4478,4.2472,1.5622,82.22,6.65
53,32350,9.6316,4.9742,2.9137,1.3876,109.93,6.48
54,36657,10.7237,5.8900,3.0788,1.3953,105.92,6.56
55,91417,31.0739,23.4667,5.4365,1.6790,67.30,7.11
56,65436,20.4415,13.7805,4.5824,1.6395,76.86,6.48
57,46663,14.0338,8.3912,3.7094,1.5320,90.74,6.32
58,53750,15.5856,10.3127,3.5314,1.3773,97.10,7.31
59,59395,18.2809,12.0046,4.2558,1.5946,81.58,6.48
60,40279,11.6800,6.7641,3.1660,1.3938,104.15,6.74
61,90110,30.0022,22.9469,5.0588,1.5730,72.57,7.53
62,73819,25.8518,16.7233,6.3879,2.1761,56.09,5.07
63,79005,25.5109,18.5847,4.8666,1.6069,73.92,7.01
64,42322,14.9906,7.3203,4.9816,2.1388,66.75,4.41
65,53902,16.9240,10.3320,4.4148,1.7297,77.67,5.82
66,61769,18.9652,12.7047,4.2713,1.5743,81.78,6.65
67,64889,19.7904,13.6667,4.1943,1.5125,83.61,7.01
68,63342,19.4570,13.1800,4.2896,1.5603,81.57,6.74
69,39113,11.3673,6.5033,3.1201,1.3812,105.26,6.74
70,49547,14.6043,9.1496,3.6162,1.4573,93.87,6.74
71,16319,5.7921,2.0448,2.1631,1.2628,136.63,6.48
72,57675,17.5371,11.4507,4.1152,1.5589,84.12,6.56
73,74334,23.3585,16.9004,4.5132,1.5288,79.28,7.21
74,41988,12.2176,7.2108,3.2580,1.3994,102.26,6.74
75,46074,13.0720,8.2269,3.1750,1.3243,105.68,7.31
76,60183,17.7353,12.2094,3.7544,1.3983,92.65,7.42
77,52145,15.5776,9.8330,3.8363,1.5208,89.13,6.56
78,37351,11.6630,6.1073,3.5449,1.6026,92.16,5.75
79,41649,12.0197,7.1564,3.1467,1.3625,105.28,6.92
80,52871,15.2146,9.9941,3.4883,1.3653,98.07,7.31
81,65038,19.5491,13.7276,3.9846,1.4323,87.95,7.42
82,40139,11.7017,6.6996,3.2171,1.4108,102.36,6.65
83,51847,14.9385,9.8064,3.4950,1.3799,99.76,7.21
84,79672,25.8031,18.8572,4.9026,1.6166,73.71,7.01
85,65911,20.6020,14.0302,4.5204,1.6232,77.91,6.56
86,35847,10.4071,5.7385,2.9633,1.3578,109.67,6.74
87,51204,15.3860,9.6218,3.8383,1.5314,88.82,6.48
88,96615,38.6617,25.6609,9.3903,2.8586,39.38,4.27
89,62300,19.8928,12.9052,4.7724,1.7579,73.27,5.95
90,56180,16.9223,10.9861,4.0010,1.5273,86.25,6.65
91,94730,38.5995,24.9786,9.8234,2.9984,37.59,4.03
92,59788,19.3865,12.0604,4.9774,1.8583,69.89,5.57
93,74351,23.5235,16.8884,4.6369,1.5742,77.17,7.01
94,55590,16.6896,10.8167,3.9547,1.5176,87.18,6.65
95,58268,17.3870,11.6623,3.8747,1.4608,89.44,7.01
96,54887,16.6920,10.6333,4.0673,1.5754,84.51,6.40
97,56312,17.8338,11.0064,4.6120,1.7675,74.99,5.75
98,42563,12.7718,7.3422,3.5290,1.5141,94.30,6.24
99,59743,18.9686,12.0376,4.7039,1.7582,73.87,5.89
100,51451,15.4360,9.6458,3.8520,1.5338,88.43,6.48
101,56469,17.1321,11.0289,4.1103,1.5729,83.89,6.48
102,48444,14.4429,8.8349,3.6960,1.5121,91.30,6.48
103,60058,19.5196,12.2016,4.9779,1.8588,69.96,5.57
104,10634,4.8880,1.2458,2.0319,1.2877,140.57,6.10
105,54092,16.0640,10.4345,3.7675,1.4748,90.95,6.83
106,44158,15.5047,7.6773,5.1034,2.1661,65.41,4.41
107,48261,13.7638,8.7495,3.3118,1.3560,102.11,7.21
108,64982,19.7982,13.6943,4.1868,1.5127,83.88,7.01
109,51385,16.2723,9.6374,4.4158,1.7639,77.17,5.63
110,56240,16.4452,11.0013,3.6712,1.4056,94.05,7.21
111,38287,13.6595,6.3490,4.6792,2.1001,70.04,4.41
112,41060,11.9230,6.9624,3.2046,1.3978,103.21,6.74
113,45042,14.1537,7.9286,4.0697,1.7025,82.25,5.63
114,89836,32.7018,22.7594,7.1050,2.2245,51.50,5.33
115,51716,18.1902,9.6847,5.6737,2.2558,60.20,4.41
116,62277,18.6219,12.9135,3.8929,1.4320,89.69,7.31
117,80709,26.1469,19.2469,4.8592,1.6024,74.20,7.11
118,60401,18.2368,12.2385,4.0815,1.5198,85.36,6.83
119,59059,18.2606,11.8714,4.3309,1.6339,80.13,6.32
120,54036,16.2756,10.4355,3.9089,1.5314,87.67,6.56
121,52948,15.8818,10.0168,3.9225,1.5407,87.30,6.48
122,76647,24.4601,17.7489,4.6952,1.5742,76.29,7.11
123,85185,27.9840,20.9087,5.0358,1.6075,72.36,7.21
124,65634,20.3371,13.9439,4.3909,1.5821,80.08,6.74
125,38101,10.9845,6.2568,3.0195,1.3582,108.30,6.83
126,46758,13.9645,8.3987,3.6553,1.5149,91.99,6.40
127,50318,14.9520,9.3386,3.7276,1.4963,91.21,6.56
128,48414,13.9212,8.7552,3.4025,1.3936,99.11,7.01
129,50414,15.7598,9.3401,4.2723,1.7064,79.76,5.75
130,41436,11.7089,7.0653,3.0024,1.3048,110.26,7.21
131,57507,17.2121,11.3972,3.9302,1.4950,88.05,6.83
132,54517,19.2266,10.4927,5.8591,2.2846,58.62,4.41
133,42523,14.9962,7.3416,4.9780,2.1374,66.89,4.41
134,37852,10.9328,6.2270,2.9992,1.3588,108.80,6.83
135,50824,15.0771,9.4967,3.7022,1.4882,91.75,6.65
136,50145,14.9889,9.3115,3.7645,1.5177,90.18,6.48
137,37155,10.5893,6.0590,2.8894,1.3098,113.02,7.01
138,52689,15.7857,9.9623,3.8853,1.5405,87.92,6.48
139,72055,23.9297,16.0473,5.4739,1.9057,64.95,5.75
140,67150,21.0378,14.4268,4.5521,1.6351,77.45,6.56
141,59707,18.0976,12.0232,4.1211,1.5516,84.29,6.65
142,67491,21.9663,14.4890,5.1546,1.8421,68.47,5.82
143,26701,8.1681,3.8820,2.6181,1.3361,119.46,6.48
144,49208,13.9962,9.0341,3.2753,1.3387,103.18,7.31
145,54068,16.2567,10.4281,3.8974,1.5310,87.84,6.56
146,35154,10.2503,5.5822,2.9473,1.3709,109.68,6.65
147,62229,19.2904,12.8938,4.3608,1.6129,80.04,6.48
148,29037,8.4206,4.3260,2.5275,1.2514,125.04,7.01
149,89113,30.3446,22.4734,5.6174,1.7714,65.05,6.65
150,36653,10.6950,5.8896,3.0526,1.3987,106.54,6.56
151,53035,15.1149,10.0197,3.4059,1.3433,100.49,7.42
152,80372,25.8924,19.0196,4.8395,1.5984,74.50,7.11
153,44302,13.0819,7.6984,3.5117,1.4921,95.11,6.40
154,39868,11.1332,6.6566,2.8775,1.2729,114.37,7.31
155,39764,11.1771,6.6401,2.9139,1.2896,112.85,7.21
156,90961,31.5287,23.3488,5.8590,1.8291,62.59,6.48
157,91256,30.8682,23.4076,5.3554,1.6800,68.63,7.11
158,51147,15.1181,9.5305,3.7121,1.4924,91.63,6.65
159,50635,14.9346,9.4544,3.6332,1.4635,93.43,6.74
160,60356,19.3564,12.2194,4.8505,1.8183,71.74,5.69
161,79138,25.4853,18.6129,4.8469,1.6079,74.50,7.01
162,52504,15.7525,9.8734,3.9263,1.5560,87.09,6.40
163,58683,17.1169,11.7119,3.6568,1.3837,94.73,7.42
164,63507,19.5001,13.2736,4.2657,1.5587,82.23,6.74
165,58138,17.7645,11.6323,4.1486,1.5780,83.49,6.48
166,64303,20.7430,13.4889,4.9698,1.8149,70.58,5.82
167,78586,26.5528,18.4968,5.6681,1.8950,63.56,5.95
168,33869,12.2643,5.3175,4.3686,2.0575,73.70,4.38
169,48506,14.4604,8.8263,3.7088,1.5288,90.88,6.40
170,58838,17.9972,11.8226,4.1807,1.5863,82.92,6.48
171,45839,12.9824,8.2035,3.1304,1.3212,107.14,7.31
172,49642,14.0806,9.1591,3.2539,1.3260,104.03,7.42
173,54351,17.2007,10.4610,4.5081,1.7706,75.97,5.69
174,25260,7.8387,3.6231,2.5542,1.3279,121.46,6.48
175,91880,30.7658,23.6545,5.0856,1.5882,72.00,7.53
176,12567,4.8619,1.5213,1.8897,1.1580,153.27,6.83
177,89057,29.9125,22.4547,5.3138,1.6864,68.65,7.01
178,48738,14.3908,8.8691,3.6389,1.4917,92.73,6.56
179,82058,26.8843,19.7427,5.0481,1.6514,71.69,6.92
180,59677,17.4774,12.0291,3.6945,1.3915,93.98,7.42
181,42255,12.3701,7.2442,3.3200,1.4370,99.88,6.56
182,53448,16.0903,10.2155,3.9238,1.5526,87.15,6.48
183,50159,15.6159,9.3230,4.1802,1.6885,81.36,5.82
184,14487,5.9652,1.7940,2.3869,1.4284,122.75,5.63
185,44715,12.8779,7.8093,3.3017,1.4002,101.01,6.83
186,41743,11.7462,7.1683,2.9555,1.2863,111.84,7.31
187,58717,17.5923,11.8120,3.9126,1.4842,88.58,6.92
188,81381,27.0160,19.4325,5.3568,1.7634,67.52,6.48
189,39230,11.4053,6.5073,3.1391,1.3957,104.53,6.65
190,41626,11.7939,7.0848,3.0436,1.3224,108.73,7.11
191,49340,15.9443,9.0590,4.5495,1.8596,74.36,5.28
192,57946,17.6171,11.5036,4.1310,1.5772,83.75,6.48
193,75112,23.4065,17.2276,4.3126,1.4775,82.86,7.53
194,82967,27.0738,20.0866,4.9446,1.6145,73.28,7.11
195,73163,23.9200,16.4119,5.2274,1.8075,68.19,6.10
196,50003,14.4952,9.2795,3.4526,1.4009,98.16,7.01
197,49205,14.5653,9.0343,3.6499,1.4990,92.57,6.56
198,23628,9.3690,3.2679,3.6727,1.9395,83.92,4.38
199,27565,8.4696,4.0159,2.7263,1.3781,114.96,6.32
