prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,17.4293,11.4150,4.0122,1.5776,85.13,6.48
1,81646,27.0146,19.8220,4.9410,1.6296,71.18,7.01
2,76090,25.2322,18.1041,4.9494,1.6776,71.83,6.65
3,77617,25.7248,18.6963,4.9164,1.6483,72.85,6.83
4,55747,22.4037,11.4265,7.3969,2.8626,46.64,3.56
5,29498,8.9699,4.7794,2.5787,1.2893,122.18,6.92
6,85073,29.0169,21.6798,5.2095,1.6755,69.78,6.92
7,24370,7.6974,3.6816,2.4119,1.2840,127.50,6.74
8,29084,8.8239,4.6662,2.5565,1.2786,123.15,6.92
9,86449,29.8948,22.3261,5.4044,1.7401,67.65,6.74
10,13820,5.2054,1.8711,1.8943,1.1562,153.56,7.01
11,80111,27.2718,19.7797,5.2748,1.7536,68.34,6.48
12,21014,6.9715,3.0955,2.2915,1.2691,132.09,6.65
13,40539,12.2084,7.2598,3.1836,1.4212,103.46,6.65
14,41253,12.3356,7.4793,3.1333,1.3876,105.43,6.83
15,47961,14.7378,9.2089,3.6325,1.5110,92.61,6.48
16,37493,11.0761,6.5373,2.8796,1.3251,112.81,7.01
17,65396,21.8116,14.4060,5.0699,1.8541,69.14,5.75
18,19849,6.3828,2.8638,2.0667,1.1639,145.50,7.21
19,94472,33.3939,25.6619,5.5505,1.7241,66.22,7.01
20,78236,26.3298,19.0704,5.0982,1.7233,70.53,6.56
21,51271,15.5280,10.1715,3.5435,1.4438,95.58,6.92
22,86529,31.7757,22.3434,6.7109,2.1733,54.28,5.39
23,56310,17.5318,11.5855,3.9900,1.5605,86.10,6.56
24,24586,7.5648,3.7666,2.2775,1.2167,134.80,7.11
25,35659,10.5343,6.1001,2.7951,1.3099,115.47,7.01
26,36601,11.0640,6.2804,3.0276,1.4032,107.03,6.56
27,27547,8.6147,4.3343,2.6084,1.3376,119.61,6.56
28,90282,31.3196,23.8479,5.3325,1.6877,68.53,7.01
29,38905,11.6345,6.8999,3.0190,1.3684,108.14,6.83
30,38665,11.5981,6.8243,3.0429,1.3865,107.25,6.74
31,68405,22.0873,15.5118,4.5281,1.6250,77.86,6.65
32,83924,28.6268,21.2067,5.2449,1.7181,69.00,6.74
33,40640,12.1468,7.2569,3.1335,1.4031,104.70,6.74
34,24760,7.6522,3.7823,2.3266,1.2341,132.31,7.01
35,70404,22.7881,16.2839,4.4920,1.6006,78.72,6.83
36,74909,25.9327,17.8160,5.6511,1.9602,63.08,5.69
37,16245,5.6774,2.2269,1.9836,1.1749,148.38,7.01
38,14941,5.7673,2.0134,2.1464,1.2878,136.39,6.32
39,35576,10.5028,6.0814,2.7767,1.3095,115.80,7.01
40,58665,18.3758,12.3039,4.0875,1.5711,84.32,6.56
41,51288,15.7307,10.1616,3.6777,1.5012,91.94,6.65
42,70925,22.9182,16.3751,4.5242,1.6001,78.25,6.83
43,83377,28.0799,21.1080,4.9035,1.6278,73.44,7.11
44,34600,10.2289,5.8583,2.7373,1.3028,117.15,7.01
45,17068,6.0975,2.4126,2.1292,1.2428,138.95,6.65
46,82662,28.0487,20.8364,5.0804,1.6830,70.99,6.83
47,90967,32.1934,24.2103,5.6902,1.8182,64.14,6.56
48,36310,10.9858,6.2258,3.0057,1.4023,107.56,6.56
49,97404,35.5388,26.8109,6.2661,1.9363,58.66,6.32
50,25417,8.0890,3.9350,2.5050,1.3204,123.25,6.56
51,67302,21.5439,15.1265,4.3941,1.6010,79.78,6.74
52,80841,28.3495,20.0071,5.8506,1.9704,61.37,5.82
53,84104,28.8319,21.3455,5.2991,1.7419,68.39,6.65
54,46064,14.6476,8.7172,3.8647,1.6519,86.34,5.89
55,16285,5.9849,2.2439,2.1505,1.2715,136.86,6.48
56,26728,8.3047,4.1823,2.4955,1.2997,124.20,6.74
57,60666,18.8163,12.8776,4.0146,1.5262,86.21,6.83
58,24235,7.5964,3.6532,2.3636,1.2649,129.84,6.83
59,40886,12.0674,7.3016,3.0554,1.3667,107.43,6.92
60,47369,14.3071,9.0474,3.4398,1.4479,97.34,6.74
61,24987,7.8703,3.8368,2.4255,1.2857,126.94,6.74
62,62887,19.6352,13.7248,4.0101,1.5049,86.63,7.01
63,32507,9.7338,5.3528,2.7197,1.3251,116.87,6.83
64,55848,17.0059,11.4233,3.7425,1.4693,91.71,6.92
65,67033,21.5003,15.0984,4.3874,1.6012,79.98,6.74
