prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,1,12.4700,14.0876,2.2227,1.2945,51200.00,6.74
1,81646,1,19.3531,14.7954,2.5614,1.3451,112.34,7.01
2,76090,1,18.2758,13.7162,2.6657,1.4135,112.29,6.48
3,77617,1,18.6637,14.2117,2.5979,1.3780,115.00,6.74
4,55747,1,13.5706,8.8768,2.7054,1.5483,109.08,5.39
5,29498,1,6.7977,3.8299,1.6293,1.0644,172.52,6.83
6,85073,1,21.2364,16.4986,2.8176,1.4424,108.07,6.65
7,24370,1,5.8771,3.0140,1.5438,1.0479,178.83,6.74
8,29084,1,6.6985,3.7674,1.6020,1.0499,174.67,6.92
9,86449,1,21.9107,16.9928,2.8958,1.4781,104.11,6.56
10,13820,1,4.0950,1.5619,1.3220,0.9755,202.12,6.83
11,80111,1,19.9020,15.2009,2.8228,1.4687,108.91,6.40
12,21014,1,5.3563,2.5555,1.4994,1.0395,182.81,6.65
13,40539,1,9.3416,5.8141,1.9942,1.2245,145.15,6.32
14,41253,1,9.4327,5.9449,1.9704,1.2017,146.80,6.48
15,47961,1,10.6673,7.2817,1.9362,1.1446,151.23,7.01
16,37493,1,8.4752,5.2284,1.8161,1.1291,157.69,6.74
17,65396,1,15.3341,11.2461,2.3993,1.3160,125.24,6.65
18,19849,1,4.9887,2.3665,1.3970,0.9804,195.26,7.01
19,94472,1,24.6275,19.5408,3.0985,1.5269,100.65,6.56
20,78236,1,19.3141,14.6726,2.7738,1.4596,110.31,6.40
21,51271,1,11.6124,7.9727,2.0879,1.2142,140.67,6.74
22,86529,1,23.5351,17.0740,3.8971,1.9908,79.24,4.88
23,56310,1,12.8177,9.0821,2.1593,1.2259,137.06,6.83
24,24586,1,5.9110,3.0956,1.5258,1.0356,181.86,6.83
25,35659,1,8.0872,4.9008,1.7790,1.1171,160.68,6.74
26,36601,1,8.3356,5.0687,1.8233,1.1411,156.72,6.65
27,27547,1,6.6027,3.5286,1.6778,1.1138,166.55,6.48
28,90282,1,22.7591,18.2057,2.7291,1.3664,112.44,7.21
29,38905,1,13.0117,5.4984,4.2247,2.6194,68.15,2.93
30,38665,1,11.8459,5.4662,3.5990,2.2284,80.25,3.44
31,68405,1,16.1995,12.0228,2.4550,1.3420,122.58,6.65
32,83924,1,20.9192,16.3061,2.7746,1.4223,110.99,6.74
33,40640,1,9.1887,5.8098,1.8971,1.1681,151.53,6.65
34,24760,1,6.0857,3.1060,1.6127,1.0936,171.83,6.48
35,70404,1,16.6222,12.5415,2.4029,1.2991,125.47,6.92
36,74909,1,21.1048,13.7718,4.3719,2.3325,69.82,3.94
37,16245,1,4.3909,1.8640,1.3318,0.9578,202.63,7.01
38,14941,1,4.3658,1.7041,1.3958,1.0176,192.36,6.56
39,35576,1,8.0350,4.8831,1.7536,1.1029,162.44,6.83
40,58665,1,13.6277,9.6358,2.3109,1.3069,128.26,6.48
41,51288,1,11.7067,7.9649,2.1439,1.2464,136.83,6.56
42,70925,1,16.8755,12.7029,2.4742,1.3341,122.71,6.74
43,83377,1,20.6535,16.1593,2.6941,1.3850,113.92,6.92
44,34600,1,7.7944,4.7189,1.7124,1.0811,166.48,6.92
45,17068,1,4.6491,1.9786,1.4082,1.0031,191.72,6.74
46,82662,1,20.7678,15.9501,2.8998,1.4933,106.27,6.40
47,90967,1,23.7473,18.4193,3.2069,1.6112,96.10,6.17
48,36310,1,8.5782,5.0313,1.9774,1.2446,144.35,6.10
49,97404,1,25.9357,20.4457,3.3435,1.6301,93.26,6.24
50,25417,1,6.2476,3.2124,1.6506,1.1102,168.69,6.40
51,67302,1,15.9363,11.7232,2.4673,1.3448,121.53,6.56
52,80841,1,22.1020,15.3670,4.0365,2.1008,76.02,4.49
53,84104,1,21.0024,16.3123,2.8121,1.4421,109.16,6.65
54,46064,1,11.1969,6.8880,2.4488,1.4657,118.82,5.45
55,16285,1,4.4647,1.8604,1.3707,0.9849,196.60,6.83
56,26728,1,6.3766,3.3860,1.6190,1.0776,171.20,6.65
57,60666,1,14.1944,10.0654,2.3929,1.3404,124.00,6.40
58,24235,1,5.8906,2.9905,1.5649,1.0632,176.55,6.65
59,40886,1,9.2449,5.8469,1.9090,1.1695,150.68,6.65
60,47369,1,10.6479,7.1720,1.9830,1.1742,147.30,6.83
61,24987,1,6.0244,3.1335,1.5638,1.0539,177.11,6.74
62,62887,1,18.6138,10.6350,4.6788,2.6012,64.17,3.32
63,32507,1,7.4458,4.3452,1.7144,1.1020,165.13,6.74
64,55848,1,12.7655,8.9973,2.1699,1.2413,135.88,6.74
65,67033,1,15.6805,11.7051,2.3358,1.2758,128.79,6.92
