prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57721,1,12.2652,8.9971,0.7318,2.7739,156.66,2.91
1,81680,1,18.8990,15.1954,0.7488,2.6827,138.24,3.51
2,76786,1,19.7951,13.8166,1.2126,4.2349,85.64,2.20
3,77655,1,18.8515,14.0821,0.9218,3.0742,107.35,3.44
4,55756,1,12.9669,9.8728,0.6598,2.4733,165.47,3.24
5,29695,1,7.5560,3.1648,0.8041,3.2618,116.60,2.04
6,85132,1,20.1916,16.5434,0.7309,2.5751,140.34,3.74
7,24526,1,5.4393,2.4033,0.5481,2.2354,168.64,2.88
8,29086,1,5.6652,3.0618,0.4758,1.9285,196.67,3.41
9,86532,1,20.1897,17.0287,0.6381,2.2592,161.97,4.30
