prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,42051,1,7.5687,4.9000,0.5969,1.7975,191.85,3.94
1,28143,1,4.7935,2.6287,0.4777,1.5199,236.51,4.20
2,36539,1,6.3787,3.8962,0.5599,1.7354,206.24,3.94
3,29039,1,5.4723,2.7993,0.5941,1.8837,191.55,3.41
4,22714,1,4.2937,1.9768,0.5051,1.6251,220.99,3.76
5,21812,1,4.6121,1.8558,0.5985,1.9475,185.75,3.12
6,22646,1,5.1266,1.9787,0.6890,2.2159,162.65,2.77
7,25024,1,4.3980,2.2680,0.4690,1.4963,240.37,4.20
8,24150,1,5.1251,2.1489,0.6568,2.0936,172.03,3.01
9,21045,1,4.0595,1.7906,0.4962,1.6021,225.66,3.79
10,23442,1,5.1796,2.0700,0.6870,2.1815,164.65,2.86
11,31600,1,6.0560,3.2061,0.6411,1.9915,179.65,3.35
12,22289,1,4.8162,1.9327,0.6315,2.0341,177.56,3.03
13,27965,1,5.2750,2.6865,0.5778,1.8118,197.80,3.58
14,29778,1,5.3775,2.9504,0.5408,1.6923,210.95,3.91
15,25868,1,5.4703,2.3904,0.6866,2.1693,166.24,2.93
16,38167,1,6.9467,4.2625,0.6164,1.8680,190.75,3.76
17,23130,1,5.0121,2.0239,0.6609,2.1015,171.34,2.94
18,30060,1,5.2717,3.0093,0.5018,1.5711,226.31,4.20
19,43636,1,8.0937,5.2248,0.6696,2.0068,178.47,3.66
20,45405,1,8.2789,5.6325,0.6226,1.8431,193.47,4.03
21,40309,1,8.3174,4.6471,0.8520,2.5524,139.50,2.81
22,44438,1,7.9066,5.4347,0.5826,1.7257,207.13,4.27
23,34797,1,6.5322,3.7334,0.6349,1.9638,182.94,3.48
24,35288,1,6.5913,3.7716,0.6425,1.9808,181.58,3.46
25,28694,1,5.4432,2.7904,0.5954,1.8713,193.00,3.46
26,23357,1,4.5482,2.0617,0.5476,1.7553,205.92,3.51
27,22576,1,4.2936,1.9829,0.5076,1.6310,221.57,3.76
28,22524,1,4.8120,1.9699,0.6206,2.0026,180.15,3.07
29,42018,1,7.8933,4.9723,0.6761,2.0364,175.28,3.53
30,25980,1,4.7661,2.4333,0.5171,1.6403,219.48,3.85
31,22679,1,4.7073,1.9923,0.5967,1.9187,188.58,3.20
32,24753,1,4.7831,3.0636,0.5559,1.7913,297.76,3.51
33,27006,1,5.3552,2.5299,0.6250,1.9907,181.22,3.22
34,23108,1,5.2158,2.0171,0.7022,2.2567,160.06,2.72
35,56607,1,10.8949,7.9220,0.7064,2.0547,172.22,3.91
36,40046,1,8.1970,4.5622,0.8354,2.5390,140.86,2.80
37,26106,1,4.9010,2.4352,0.5479,1.7376,207.64,3.63
38,26253,1,5.2569,2.4473,0.6221,1.9750,182.23,3.20
39,23403,1,4.7388,2.0660,0.5902,1.8870,191.56,3.26
40,23376,1,4.9585,2.0626,0.6348,2.0349,176.80,3.03
41,24529,1,5.2070,2.2045,0.6581,2.1174,170.52,2.96
42,37441,1,6.5382,4.1531,0.5472,1.6684,214.66,4.16
43,45206,1,9.3940,5.6716,0.8985,2.6811,137.54,2.75
44,65305,1,13.2766,10.0654,0.7824,2.2125,159.44,3.85
45,22570,1,4.6011,1.9837,0.5732,1.8491,195.61,3.32
46,25200,1,5.1545,2.3012,0.6327,2.0153,179.44,3.12
47,20851,1,4.5024,1.7595,0.5980,1.9283,186.67,3.12
48,29200,1,5.6356,2.8576,0.6199,1.9562,184.31,3.32
49,42131,1,8.3678,4.9790,0.7863,2.3699,151.08,3.03
50,28230,1,5.7035,2.7006,0.6684,2.1109,170.50,3.05
51,41379,1,7.5257,4.8302,0.6216,1.8745,189.95,3.82
52,20878,1,3.9262,1.7620,0.4727,1.5278,236.58,3.94
53,29470,1,5.7798,2.9125,0.6398,2.0206,178.56,3.24
54,23393,1,4.9271,2.0612,0.6324,2.0195,178.65,3.05
55,26477,1,5.6039,2.4574,0.6982,2.2192,162.72,2.86
56,31496,1,5.7447,3.1921,0.5759,1.7937,200.58,3.68
57,27562,1,6.1280,2.6038,0.7798,2.4813,145.28,2.59
58,31997,1,5.8136,3.2296,0.5773,1.8098,198.14,3.68
