prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21420,1,6.9284,7.9810,1.0411,3.3982,51200.00,1.80
1,68195,1,16.2458,10.4210,1.4024,3.9740,87.90,2.17
2,51795,1,10.8074,6.7263,0.9553,2.8020,125.46,2.77
3,46064,1,9.2859,5.6692,0.8433,2.5059,141.56,2.99
4,76314,1,17.5093,13.0150,1.0972,2.9888,113.92,3.08
5,14066,1,5.1706,1.0377,0.8812,2.9202,123.89,1.98
6,49083,1,11.7394,6.2181,1.3074,3.8230,92.73,2.02
7,52468,1,10.7572,6.9470,0.9094,2.6230,134.37,2.99
8,46672,1,11.5592,5.8238,1.3568,3.9879,89.27,1.90
9,42512,1,9.2796,5.0376,0.9891,2.9442,120.70,2.49
10,55832,1,11.7789,7.7141,0.9399,2.6853,125.96,2.99
11,39747,1,9.1173,4.5102,1.0632,3.2070,111.13,2.23
12,97342,1,23.3311,20.3227,0.8344,2.2022,170.19,4.70
13,41480,1,8.7144,4.8688,0.9019,2.6988,133.14,2.68
14,85869,1,20.4532,15.9209,1.1153,3.0249,112.97,3.20
15,41217,1,8.9719,4.7973,0.9712,2.9160,122.65,2.47
16,42474,1,10.6371,5.0252,1.3036,3.9079,91.23,1.86
17,27121,1,6.2310,2.5282,0.8225,2.6006,138.27,2.49
18,96700,1,24.7675,19.7814,1.2781,3.4326,102.68,2.99
19,57221,1,13.8043,7.9837,1.3993,4.0373,87.96,2.01
20,40819,1,9.5938,4.6581,1.1363,3.4553,103.73,2.08
21,40733,1,8.9003,4.6389,0.9833,2.9741,120.15,2.42
22,57494,1,12.1477,8.1167,0.9626,2.7709,127.02,2.93
23,54777,1,13.3413,7.5326,1.3860,4.0193,88.14,1.98
24,47477,1,8.6044,5.9539,0.6202,1.8279,193.17,4.13
25,58718,1,13.9980,8.4601,1.3348,3.8130,92.45,2.14
26,29658,1,6.0636,2.9054,0.7024,2.2161,162.12,2.99
27,59720,1,12.6327,8.6382,0.9597,2.7544,128.18,2.99
28,56161,1,11.6850,7.8041,0.9264,2.6827,131.93,2.99
29,55261,1,11.4157,7.5729,0.9170,2.6581,133.23,2.99
30,33299,1,8.0238,3.4523,1.0358,3.2152,112.00,2.11
31,79770,1,20.3303,14.0163,1.4471,3.9678,81.09,2.34
32,77069,1,17.5998,13.2453,1.0880,3.0038,117.58,3.05
33,46672,1,10.1238,5.8243,1.0095,3.0017,119.09,2.50
34,67871,1,16.1119,10.7088,1.3257,3.7302,94.76,2.33
35,80133,1,17.5566,14.2489,0.8362,2.2806,154.79,4.10
36,35185,1,7.2337,3.7357,0.7961,2.4477,146.37,2.83
37,44175,1,9.0829,5.2893,0.8845,2.6382,134.96,2.80
38,41458,1,8.8883,4.8298,0.9398,2.8290,126.15,2.55
39,59889,1,14.3587,8.6531,1.3758,3.9446,89.74,2.09
40,49031,1,9.8940,6.2101,0.8654,2.5546,138.98,2.99
41,50848,1,10.4095,6.6589,0.8832,2.5935,136.51,2.99
42,71120,1,17.6361,11.8989,1.4741,4.1247,89.24,2.14
43,34598,1,7.7253,3.6374,0.9280,2.8581,125.25,2.39
44,80957,1,20.5067,14.5656,1.4783,4.0672,86.18,2.32
45,45562,1,9.5366,5.5978,0.9166,2.7412,129.99,2.72
46,43052,1,8.4104,5.1306,0.7580,2.2809,156.11,3.22
47,66576,1,15.8432,10.3839,1.3322,3.7575,93.79,2.29
48,62871,1,15.4131,9.4752,1.4451,4.1055,86.23,2.05
49,65226,1,15.4778,9.9565,1.3418,3.8075,92.73,2.25
50,64498,1,13.9977,9.8013,1.0179,2.8905,122.01,2.96
51,62435,1,14.8872,9.3333,1.3460,3.8378,92.19,2.19
52,61378,1,14.4104,9.0415,1.3029,3.7140,95.36,2.24
53,32596,1,8.3603,3.2945,1.1416,3.5587,101.07,1.90
54,36826,1,7.3075,3.9932,0.7572,2.3148,154.48,2.99
55,92944,1,23.3853,18.4282,1.2517,3.3342,103.29,3.01
56,66006,1,15.6025,10.2478,1.3172,3.7065,95.62,2.32
57,46827,1,9.4572,5.8386,0.8484,2.5134,141.49,2.99
58,54445,1,11.5089,7.4372,0.9689,2.8114,125.75,2.83
