prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21359,1,10.5398,3.1352,5.3278,1.7426,69.15,4.83
1,67610,1,20.6271,14.8723,3.8323,1.4450,88.97,7.42
2,51583,1,16.7744,10.0723,4.4766,1.7440,76.39,5.69
3,45940,1,15.0563,8.8111,4.3230,1.6386,81.98,5.89
4,76082,1,25.1194,18.2797,4.6992,1.6573,74.86,6.74
5,13949,1,6.5705,1.8960,3.3569,1.0569,109.53,7.64
6,48737,1,14.6723,9.4417,3.5389,1.3442,97.89,7.31
7,52305,1,16.3223,10.4595,3.9277,1.5406,87.33,6.48
8,46596,1,14.5253,8.9349,3.7784,1.4413,91.59,6.74
9,42433,1,16.3531,7.8611,5.7983,2.1611,60.29,4.38
10,55705,1,17.2537,11.5059,3.8512,1.5067,89.08,6.74
11,39428,1,12.7839,7.0350,3.9479,1.4398,89.06,6.48
12,97202,1,34.1610,27.0744,5.0316,1.6288,72.25,7.53
13,41364,1,12.7453,7.5502,3.5563,1.3089,98.56,7.21
14,84224,1,28.0874,21.5493,4.5811,1.5642,78.31,7.42
15,41085,1,12.9022,7.4677,3.7321,1.3604,94.21,6.92
16,42399,1,17.8057,7.8370,6.8046,2.5312,51.36,3.74
17,26995,1,9.8504,4.2462,3.9190,1.3475,91.36,6.48
18,96626,1,33.8329,26.7407,5.0063,1.6292,72.19,7.53
19,55843,1,16.8574,11.5098,3.5865,1.4087,95.74,7.21
20,40761,1,13.2774,7.3348,4.0777,1.4885,86.16,6.32
21,40531,1,12.4694,7.2971,3.5415,1.3026,98.99,7.21
22,57284,1,18.4773,11.9925,4.4031,1.7242,78.95,5.95
23,54495,1,16.5879,11.1351,3.6345,1.4440,93.90,7.01
24,45924,1,13.9750,8.7632,3.5303,1.3427,98.24,7.21
25,58514,1,20.3817,12.3796,5.3843,2.0898,63.98,4.92
26,29550,1,10.3717,4.8100,3.8750,1.3485,92.06,6.56
27,59277,1,18.4300,12.5897,3.9185,1.5188,87.67,6.83
28,56028,1,17.0057,11.6333,3.5996,1.4121,95.30,7.21
29,55048,1,16.6993,11.3343,3.5957,1.4045,95.43,7.21
30,33241,1,13.9234,5.6114,5.7606,2.0404,61.60,4.41
