prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,41716,1,17.1946,8.0356,0.0166,9.4241,55.90,8.02
1,27177,1,7.6093,4.4133,0.0070,3.7251,160.20,8.02
2,35238,1,13.5251,6.3316,0.0137,7.7360,71.18,8.02
3,26966,1,8.4900,4.4482,0.0085,4.5369,126.68,8.02
4,22347,1,8.7541,3.4584,0.0120,6.3700,96.68,8.02
5,20281,1,8.1764,3.0909,0.0112,5.7855,100.68,8.02
6,22027,1,13.0848,3.4208,0.0203,10.6509,52.98,8.02
7,23977,1,7.9195,3.8077,0.0086,5.5320,124.52,8.02
8,23746,1,7.2687,3.7745,0.0082,4.8850,146.53,8.02
9,20473,1,7.7014,3.1455,0.0104,5.3051,112.38,8.02
10,23252,1,7.1390,3.6703,0.0075,4.7556,147.61,8.02
11,30625,1,11.3975,5.2960,0.0132,7.4075,83.91,8.02
12,20667,1,7.3150,3.1761,0.0094,4.9196,123.71,8.02
13,27118,1,10.2113,4.5185,0.0119,6.2187,89.94,8.02
14,28753,1,8.9732,4.8801,0.0081,4.9962,125.09,8.02
15,25070,1,10.2507,4.1108,0.0120,6.2523,83.39,8.02
16,37340,1,12.6743,6.9944,0.0096,6.8154,90.14,8.02
17,22514,1,13.9978,3.5384,0.0201,11.5543,48.95,8.02
18,28674,1,9.1390,4.8683,0.0076,5.1614,119.89,8.02
19,40412,1,15.7679,7.7959,0.0140,9.8969,64.22,8.02
20,43019,1,15.4397,8.5967,0.0111,7.4387,74.82,8.02
21,37717,1,10.7030,7.0718,0.0069,4.8638,141.00,8.02
22,40488,1,17.5071,7.8331,0.0168,11.6188,52.93,8.02
23,31926,1,12.5232,5.6131,0.0136,8.5225,74.10,8.02
24,34943,1,11.2366,6.3934,0.0090,5.3875,105.72,8.02
25,27710,1,10.1925,4.6508,0.0100,6.2064,92.39,8.02
26,22585,1,6.5321,3.5406,0.0060,4.1527,171.15,8.02
27,21604,1,8.5271,3.3478,0.0110,6.1249,98.85,8.02
28,21670,1,8.5388,3.3584,0.0110,6.1387,98.84,8.02
29,39877,1,15.8905,7.6641,0.0130,10.0249,62.24,8.02
30,25248,1,10.0167,4.1641,0.0111,6.0329,87.48,8.02
31,20868,1,6.9379,3.2265,0.0079,4.5528,137.95,8.02
32,23720,1,7.8057,3.7760,0.0084,5.4164,127.06,8.02
33,25715,1,11.0820,4.2423,0.0129,7.0833,74.86,8.02
34,22389,1,7.1933,3.5130,0.0081,4.8032,139.12,8.02
35,54460,1,18.9282,12.1092,0.0102,8.5102,75.08,8.02
36,38322,1,13.2336,7.2561,0.0103,7.3678,85.66,8.02
37,24243,1,7.2266,3.8737,0.0072,4.8394,152.70,8.02
38,25245,1,8.4815,4.1619,0.0092,4.4983,118.53,8.02
39,21993,1,7.3543,3.4301,0.0088,4.9587,130.47,8.02
40,21937,1,9.2590,3.4231,0.0121,6.8486,87.73,8.02
