prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21359,1,8.9988,3.2065,0.0123,6.6518,88.39,8.09
1,67610,1,22.5833,16.5171,0.0085,6.7723,84.40,8.09
2,51583,1,21.2372,11.0949,0.0178,10.8463,50.48,8.09
3,45940,1,18.5991,9.4142,0.0152,10.5880,55.74,8.09
4,76082,1,43.6537,20.2807,0.0251,24.2535,21.91,8.09
5,13949,1,4.8048,1.9613,0.0070,3.7289,180.06,8.09
6,48737,1,15.6441,10.2506,0.0085,7.6395,94.93,8.09
7,52305,1,22.3433,11.4215,0.0150,11.8891,46.88,8.09
8,46596,1,16.8019,9.6011,0.0111,8.7832,71.10,8.09
9,42433,1,15.8028,8.4428,0.0124,7.7730,69.57,8.09
10,55705,1,20.8958,12.5133,0.0119,10.4360,61.08,8.09
11,39428,1,15.4274,7.5680,0.0143,9.5440,65.15,8.09
12,97202,1,37.3934,30.0017,0.0079,10.8270,69.27,8.09
13,41364,1,15.5510,8.1814,0.0126,7.5109,69.47,8.09
14,84224,1,30.5435,23.8809,0.0098,7.7472,76.85,8.09
15,41085,1,14.1766,8.1107,0.0095,6.1520,84.41,8.09
16,42399,1,25.0746,8.4543,0.0256,16.9896,30.81,8.09
17,26995,1,10.8116,4.5156,0.0118,6.8125,81.32,8.09
18,96626,1,36.8138,29.6188,0.0076,10.2797,71.16,8.09
19,55843,1,19.6275,12.5969,0.0099,9.1772,72.82,8.09
20,40761,1,13.8648,7.9337,0.0097,7.9892,86.32,8.09
21,40531,1,13.0947,7.8834,0.0085,7.2256,98.25,8.09
22,57284,1,21.8575,13.1009,0.0130,11.3920,58.47,8.09
23,54495,1,18.8279,12.1519,0.0094,8.3807,76.69,8.09
24,45924,1,17.6481,9.4133,0.0133,9.6134,62.18,8.09
25,58514,1,29.1247,13.5588,0.0224,15.9502,32.89,8.09
26,29550,1,11.6475,5.0550,0.0129,7.6322,77.66,8.09
27,59277,1,19.3844,13.7859,0.0077,6.2657,91.45,8.09
28,56028,1,18.0610,12.6493,0.0079,7.6236,94.61,8.09
29,55048,1,18.4728,12.2945,0.0092,8.0377,82.87,8.09
30,33241,1,13.0268,6.0141,0.0115,7.1463,73.01,8.09
31,79678,1,28.0265,21.8738,0.0077,8.6965,83.22,8.09
32,76968,1,33.8253,20.6334,0.0151,14.4608,38.81,8.09
33,45169,1,16.3942,9.1788,0.0111,8.3567,70.96,8.09
34,67357,1,23.7304,16.7754,0.0090,7.6610,73.62,8.09
35,80060,1,35.3623,21.9724,0.0150,16.0001,38.24,8.09
36,34953,1,13.1541,6.4086,0.0125,7.2812,75.90,8.09
37,44079,1,18.2459,8.8791,0.0141,10.2021,54.66,8.09
38,41330,1,15.6386,8.1735,0.0116,7.6114,68.59,8.09
39,59768,1,24.1026,13.9734,0.0137,10.9445,50.55,8.09
40,48911,1,17.4856,10.3177,0.0104,9.4531,71.43,8.09
41,50562,1,19.2173,10.9131,0.0123,8.7632,61.66,8.09
42,68646,1,23.5497,17.2803,0.0078,7.4606,81.67,8.09
43,34493,1,13.4468,6.3238,0.0122,7.5556,71.88,8.09
44,80249,1,28.6864,22.0365,0.0085,9.3481,76.99,8.09
45,45433,1,16.9090,9.2978,0.0125,8.8449,67.27,8.09
46,42940,1,16.7229,8.6050,0.0131,8.6850,63.07,8.09
47,66384,1,24.3883,16.4450,0.0126,8.2908,64.46,8.09
48,62497,1,23.1622,14.9283,0.0116,10.0201,62.18,8.09
49,64922,1,21.7242,15.8299,0.0083,8.6043,86.86,8.09
50,64331,1,25.7549,15.5862,0.0152,12.5825,50.35,8.09
51,60831,1,22.8436,14.3129,0.0112,9.6998,60.02,8.09
52,61279,1,22.1760,14.4503,0.0112,9.0295,66.27,8.09
53,32350,1,12.6192,5.7146,0.0128,8.6169,74.15,8.09
54,36657,1,12.9536,6.8186,0.0116,7.0896,83.45,8.09
55,91417,1,36.4097,27.1744,0.0098,9.8712,55.44,8.09
56,65436,1,28.1392,16.0167,0.0155,14.9938,42.24,8.09
57,46663,1,15.8432,9.6369,0.0101,7.8308,82.50,8.09
58,53750,1,18.6471,11.8802,0.0099,8.2169,75.66,8.09
59,59395,1,22.9335,13.8579,0.0117,9.8034,56.42,8.09
60,40279,1,16.2826,7.7922,0.0135,10.4006,60.30,8.09
61,90110,1,33.7081,26.4752,0.0088,10.8670,70.79,8.09
62,73819,1,31.6614,19.4455,0.0147,12.2947,41.91,8.09
63,79005,1,31.1039,21.5197,0.0115,11.7543,53.42,8.09
64,42322,1,15.8985,8.4360,0.0122,7.8652,68.61,8.09
65,53902,1,23.9129,11.9545,0.0168,13.4344,42.81,8.09
66,61769,1,23.8480,14.6717,0.0123,10.7036,55.80,8.09
67,64889,1,27.7965,15.8151,0.0149,14.6301,42.73,8.09
68,63342,1,23.3711,15.2142,0.0108,10.2188,62.77,8.09
69,39113,1,17.5128,7.4823,0.0156,11.6204,51.04,8.09
70,49547,1,18.7180,10.6352,0.0114,8.2578,63.34,8.09
71,16319,1,6.9884,2.3568,0.0096,5.8973,110.54,8.09
72,57675,1,21.7246,13.3193,0.0120,8.5565,60.91,8.09
73,74334,1,26.8698,19.5903,0.0091,7.5416,70.33,8.09
74,41988,1,14.6171,8.3502,0.0105,6.5883,81.70,8.09
75,46074,1,15.4464,9.4930,0.0094,7.4184,86.00,8.09
76,60183,1,19.6253,14.1281,0.0079,6.4904,93.14,8.09
77,52145,1,20.0932,11.3470,0.0131,9.6150,58.54,8.09
78,37351,1,13.4486,7.0126,0.0109,7.5707,79.55,8.09
