prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,1,22.5563,12.4833,0.0179,12.5159,50.83,9.86
1,81646,1,29.1540,21.9685,0.0093,10.1971,71.25,9.86
2,76090,1,27.2720,20.1316,0.0093,8.0424,71.70,9.86
3,77617,1,29.7764,20.8805,0.0123,10.4221,57.55,9.86
4,55747,1,32.1419,12.5364,0.0284,21.6207,26.12,9.86
5,29498,1,9.4735,5.0496,0.0090,5.4923,115.74,9.86
6,85073,1,31.7068,24.1223,0.0090,8.9592,67.51,9.86
7,24370,1,9.2427,3.8965,0.0131,6.8362,95.77,9.86
8,29084,1,9.1739,4.9669,0.0098,5.1881,121.70,9.86
9,86449,1,32.2450,24.7478,0.0106,9.4925,68.29,9.86
10,13820,1,4.9469,1.9393,0.0075,3.8681,170.24,9.86
11,80111,1,29.5812,21.9328,0.0097,10.2917,66.94,9.86
12,21014,1,7.9494,3.2631,0.0100,5.5513,109.25,9.86
13,40539,1,12.8726,7.8364,0.0126,7.0065,101.67,9.86
14,41253,1,12.9513,8.1147,0.0080,4.9526,105.86,9.86
15,47961,1,15.7323,10.0085,0.0102,7.7267,89.45,9.86
16,37493,1,12.0826,7.0538,0.0090,6.2294,101.81,9.86
17,65396,1,24.7667,16.0255,0.0106,11.6443,58.57,9.86
18,19849,1,6.9328,3.0277,0.0081,4.5438,131.11,9.86
19,94472,1,37.1677,28.5882,0.0090,10.6613,59.68,9.86
20,78236,1,29.3337,21.1275,0.0102,10.0287,62.39,9.86
21,51271,1,16.0293,11.0903,0.0073,5.6072,103.66,9.86
22,86529,1,37.4405,24.8000,0.0140,14.6468,40.50,9.86
23,56310,1,18.6953,12.7166,0.0169,8.2642,85.64,9.86
24,24586,1,7.9672,4.0397,0.0125,3.9687,130.36,9.86
25,35659,1,10.3209,6.5662,0.0119,4.4600,136.36,9.86
26,36601,1,11.1608,6.8167,0.0103,5.2991,117.86,9.86
27,27547,1,9.5204,4.6410,0.0125,5.5068,104.93,9.86
28,90282,1,33.8476,26.6639,0.0082,7.3312,71.27,9.86
29,38905,1,22.2109,7.4066,0.0235,16.2886,34.58,9.86
30,38665,1,12.2089,7.3220,0.0090,6.3611,104.77,9.86
31,68405,1,23.7044,17.1305,0.0084,7.6513,77.88,9.86
32,83924,1,30.7386,23.7062,0.0084,7.9520,72.81,9.86
33,40640,1,13.0610,7.8822,0.0112,7.0531,98.86,9.86
34,24760,1,8.1749,4.0557,0.0083,4.1893,124.29,9.86
35,70404,1,24.6770,17.9407,0.0086,8.5682,76.01,9.86
36,74909,1,33.0282,19.8483,0.0151,13.6504,38.85,9.86
37,16245,1,6.1386,2.3528,0.0087,5.0503,135.24,9.86
38,14941,1,6.4905,2.1260,0.0101,5.3973,117.31,9.86
39,35576,1,11.0667,6.5711,0.0075,5.2002,113.89,9.86
40,58665,1,19.2191,13.6108,0.0077,6.0670,91.29,9.86
41,51288,1,16.8446,11.1241,0.0084,6.3938,89.50,9.86
42,70925,1,25.6218,18.2463,0.0107,9.4934,69.42,9.86
43,83377,1,31.7129,23.5226,0.0095,8.8893,62.51,9.86
44,34600,1,10.4473,6.3361,0.0079,4.5832,124.54,9.86
45,17068,1,5.8395,2.5512,0.0074,3.4475,155.70,9.86
46,82662,1,30.6960,23.2119,0.0084,7.8611,68.41,9.86
47,90967,1,34.8313,27.0272,0.0092,8.2443,65.61,9.86
48,36310,1,13.9895,6.7574,0.0139,8.0902,70.80,9.86
49,97404,1,38.2930,30.0834,0.0101,11.6928,62.37,9.86
50,25417,1,10.3833,4.1962,0.0131,6.3715,82.75,9.86
51,67302,1,23.6395,16.8040,0.0090,7.5155,74.90,9.86
52,80841,1,38.7146,22.3310,0.0192,19.3368,31.25,9.86
53,84104,1,30.8072,23.7717,0.0083,8.0069,72.77,9.86
54,46064,1,15.8096,9.4640,0.0109,7.7719,80.69,9.86
55,16285,1,6.8461,2.3517,0.0110,5.7509,113.92,9.86
56,26728,1,7.8589,4.4656,0.0072,3.8793,150.88,9.86
57,60666,1,21.8473,14.3182,0.0108,8.6923,68.00,9.86
58,24235,1,8.1404,3.8782,0.0089,5.7420,120.13,9.86
59,40886,1,12.7979,7.9674,0.0094,6.9237,106.00,9.86
60,47369,1,15.3187,9.8733,0.0101,7.2938,94.03,9.86
61,24987,1,9.1012,4.1202,0.0193,5.0816,102.79,9.86
62,62887,1,20.5796,15.0592,0.0071,7.4712,92.75,9.86
63,32507,1,11.3747,5.7531,0.0094,7.3875,91.08,9.86
64,55848,1,19.0333,12.5577,0.0096,8.6083,79.07,9.86
65,67033,1,24.0352,16.6339,0.0100,7.9576,69.18,9.86
