prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21359,7.2258,2.8101,2.2826,1.7121,115.95,4.83
1,67610,18.0622,13.9761,2.0746,1.4781,125.31,7.42
2,51583,14.0583,9.4556,2.3431,1.7651,111.24,5.57
3,45940,12.4929,8.1108,2.3070,1.6232,116.84,5.89
4,76082,22.0582,17.4518,2.5033,1.6439,111.15,6.74
5,13949,4.4340,1.7121,1.4113,1.0489,188.11,7.64
6,48737,12.3449,8.8666,1.7899,1.3380,147.20,7.31
7,52305,13.8149,9.8442,2.0469,1.5259,128.95,6.48
8,46596,12.0962,8.3712,1.9286,1.4302,137.45,6.74
9,42433,13.1310,7.3280,3.1247,2.1468,88.23,4.38
10,55705,14.9839,10.8175,2.2954,1.4858,122.89,6.74
11,39428,10.2214,6.5305,1.9005,1.4265,138.72,6.48
12,97202,30.3668,25.8862,2.4350,1.6098,114.27,7.53
13,41364,10.3826,7.0312,1.7239,1.2958,152.77,7.21
14,84224,24.7633,20.5360,2.2716,1.5460,121.12,7.42
15,41085,10.4364,6.9466,1.7933,1.3509,146.72,6.92
16,42399,13.3340,7.3097,3.2267,2.2333,84.99,4.20
17,26995,7.3417,3.8961,1.7706,1.3354,148.60,6.48
18,96626,29.9285,25.6012,2.2571,1.6151,118.32,7.53
19,55843,14.7087,10.8281,2.1394,1.3886,131.94,7.21
20,40761,10.6331,6.8229,1.9615,1.4749,134.38,6.32
21,40531,10.1301,6.7894,1.7171,1.2919,153.26,7.21
22,57284,15.5590,11.2877,2.3884,1.5623,119.87,6.48
23,54495,14.3875,10.4624,2.1277,1.4247,130.44,7.01
24,45924,11.7654,8.1912,1.9095,1.3276,143.25,7.21
25,58514,17.3939,11.6593,3.1420,2.0600,89.28,4.92
26,29550,7.9596,4.4301,1.8107,1.3730,145.06,6.40
27,59277,16.1020,11.8789,2.3363,1.4971,121.24,6.83
28,56028,14.8245,10.9471,2.1301,1.3911,132.05,7.21
29,55048,14.5289,10.6487,2.1377,1.3842,131.95,7.21
30,33241,10.4608,5.1860,2.7396,2.0233,97.07,4.41
31,79678,22.8986,18.7850,2.2227,1.4860,124.46,7.53
32,76968,22.0531,17.7306,2.3500,1.5560,118.45,7.11
33,45169,11.6970,7.9667,1.9360,1.4325,137.25,6.65
34,67357,18.7907,14.4548,2.4027,1.5341,118.08,6.92
35,80060,23.2446,18.9639,2.3226,1.5554,119.61,7.21
36,34953,9.1784,5.5541,1.8744,1.3968,141.27,6.48
37,44079,11.2785,7.6542,1.8777,1.3860,141.27,6.83
38,41330,10.3200,7.0154,1.6989,1.2769,154.93,7.31
39,59768,16.2044,12.0241,2.3440,1.4603,122.48,7.01
40,48911,12.6423,8.8877,1.9315,1.4437,136.36,6.74
41,50562,13.3024,9.4378,1.9959,1.4894,132.48,6.56
42,68646,18.7509,14.8536,2.0749,1.4395,131.37,7.42
43,34493,9.0209,5.4461,1.8535,1.3712,143.23,6.56
44,80249,23.1715,18.9840,2.2622,1.5139,122.27,7.42
45,45433,11.7765,8.0374,1.9384,1.4356,136.93,6.65
46,42940,11.2045,7.3807,1.9882,1.4588,133.90,6.48
47,66384,18.4766,14.1910,2.3314,1.5435,119.47,6.83
48,62497,17.1773,12.9120,2.3006,1.5623,120.04,6.65
49,64922,17.6648,13.6544,2.2392,1.4120,127.67,7.42
50,64331,18.0625,13.4733,2.5561,1.6165,111.57,6.48
51,60831,18.0983,12.3542,3.2304,2.0012,89.14,5.12
52,61279,16.7470,12.4239,2.3769,1.5460,118.43,6.65
53,32350,8.5516,4.9584,1.8689,1.3743,142.49,6.48
54,36657,9.4659,5.8747,1.8581,1.3827,142.57,6.56
55,91417,27.8310,23.4073,2.3459,1.6428,115.74,7.21
56,65436,18.3471,13.7398,2.5609,1.6221,111.13,6.48
57,46663,12.2583,8.3575,2.0159,1.4982,131.26,6.40
58,53750,13.8729,10.2823,1.8747,1.3628,142.59,7.31
59,59395,16.3036,11.9750,2.3518,1.5791,118.28,6.48
