prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,15.2682,10.9429,2.3313,1.5388,118.37,6.56
1,81646,23.8729,19.3184,2.3640,1.6485,112.41,6.92
2,76090,22.2025,17.4835,2.5674,1.6874,108.50,6.56
3,77617,22.4329,17.9493,2.4339,1.6104,114.20,6.92
4,55747,20.7704,10.8112,5.4875,3.5704,51.41,2.81
5,29498,7.6942,4.4276,1.6771,1.2724,156.74,6.92
6,85073,25.3155,20.7837,2.3974,1.6834,112.98,6.83
7,24370,6.7132,3.3894,1.7198,1.2845,154.04,6.65
8,29084,7.6565,4.3175,1.7168,1.2950,153.34,6.74
9,86449,25.8811,21.3694,2.3986,1.6515,113.48,7.01
10,13820,4.6769,1.6946,1.5424,1.1534,171.68,6.92
11,80111,23.6975,18.9272,2.5762,1.7346,107.33,6.48
12,21014,6.1984,2.8345,1.7985,1.2508,152.20,6.65
13,40539,10.3419,6.7854,1.8349,1.3834,143.96,6.74
14,41253,10.7016,6.9949,1.9113,1.4407,138.13,6.48
15,47961,12.3358,8.6629,1.8945,1.4148,139.40,6.83
16,37493,9.6608,6.0947,1.8344,1.3778,143.57,6.65
17,65396,19.2132,13.6893,3.0698,1.9481,92.69,5.39
18,19849,5.5619,2.6183,1.5078,1.1484,173.94,7.21
19,94472,29.2105,24.6839,2.3845,1.6870,113.11,7.11
20,78236,22.7989,18.2345,2.4785,1.6554,112.17,6.74
21,51271,13.2170,9.5853,1.8685,1.4035,140.98,7.01
22,86529,27.2501,21.4301,3.1170,2.1498,87.97,5.39
23,56310,15.1445,10.9572,2.2832,1.5157,122.28,6.65
24,24586,6.6126,3.4691,1.6224,1.2175,162.88,7.01
25,35659,9.0337,5.6838,1.7286,1.2918,152.84,7.01
26,36601,9.3024,5.8526,1.7778,1.3325,148.41,6.83
27,27547,7.4922,4.0054,1.7925,1.3537,146.84,6.40
28,90282,27.3835,22.9104,2.3730,1.6517,114.46,7.11
29,38905,9.9431,6.4436,1.7978,1.3522,146.31,6.83
30,38665,10.0450,6.3677,1.8897,1.4210,139.23,6.48
31,68405,19.2978,14.7804,2.4936,1.6035,113.34,6.65
32,83924,25.1033,20.3359,2.5575,1.7472,107.40,6.56
33,40640,10.3115,6.7855,1.8145,1.3659,145.21,6.83
34,24760,6.6325,3.4819,1.6258,1.2181,162.51,7.01
35,70404,19.7666,15.5230,2.3328,1.5140,120.65,7.11
36,74909,22.7364,17.0213,3.1206,2.0600,89.59,5.33
37,16245,5.2046,2.0263,1.6324,1.2363,161.09,6.56
38,14941,4.9368,1.8267,1.6037,1.2060,164.62,6.65
39,35576,9.0190,5.6664,1.7281,1.2915,152.72,7.01
40,58665,15.9199,11.6623,2.3307,1.5286,120.26,6.65
41,51288,13.5230,9.5842,2.0247,1.5196,129.99,6.48
42,70925,19.9331,15.6203,2.3678,1.5363,118.72,7.01
43,83377,24.7065,20.2520,2.3946,1.6310,114.94,7.01
44,34600,8.7982,5.4562,1.7284,1.2850,153.20,7.01
45,17068,5.2658,2.2037,1.5718,1.1926,167.21,6.83
46,82662,24.6794,19.9892,2.5226,1.7098,109.16,6.65
47,90967,28.1253,23.2749,2.5738,1.7995,105.56,6.56
48,36310,9.2562,5.8056,1.7803,1.3287,148.38,6.83
49,97404,30.7915,25.8474,2.5945,1.8486,103.56,6.56
50,25417,6.9977,3.6300,1.7381,1.3019,152.03,6.56
51,67302,18.9197,14.4079,2.4922,1.5973,113.48,6.65
52,80841,24.4418,19.1798,2.8444,1.9204,97.30,5.89
53,84104,25.1206,20.4800,2.4958,1.7004,110.33,6.74
54,46064,12.6460,8.1901,2.4121,1.6271,114.90,5.89
55,16285,5.2235,2.0456,1.6319,1.2361,161.12,6.56
56,26728,7.1636,3.8650,1.6981,1.2785,155.22,6.74
57,60666,16.6366,12.2176,2.4789,1.5402,115.86,6.65
58,24235,6.6300,3.3613,1.6902,1.2622,156.64,6.74
59,40886,10.4965,6.8231,1.8874,1.4198,139.38,6.56
60,47369,12.2192,8.5057,1.9193,1.4254,137.87,6.74
61,24987,6.7293,3.5328,1.6505,1.2331,160.17,6.92
62,62887,17.4457,13.0439,2.4526,1.5405,116.32,6.74
63,32507,8.3366,4.9730,1.7473,1.2881,152.22,6.92
64,55848,14.9660,10.8028,2.2876,1.4870,122.98,6.74
65,67033,18.7111,14.3718,2.3959,1.5331,117.99,6.92
