prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,17.3731,10.9448,4.4811,1.5041,79.65,6.65
1,81646,25.9663,19.3153,4.4455,1.6554,76.98,6.83
2,76090,24.2015,17.4697,4.5911,1.6759,76.06,6.56
3,77617,24.4470,17.9312,4.4515,1.6243,78.58,6.83
4,55747,22.7531,10.8047,8.4109,2.8224,42.85,3.53
5,29498,10.3041,4.4214,4.2842,1.2784,87.03,6.83
6,85073,27.3239,20.7523,4.4477,1.6683,77.91,6.83
7,24370,9.2482,3.3835,4.2927,1.2570,87.30,6.74
8,29084,10.3386,4.3056,4.3688,1.3004,84.87,6.65
9,86449,28.1257,21.3212,4.5826,1.7299,75.25,6.65
10,13820,7.3453,1.6926,4.1984,1.1649,90.58,6.83
11,80111,25.7600,18.8933,4.6629,1.7207,74.56,6.48
12,21014,8.7185,2.8344,4.3284,1.2437,87.01,6.65
13,40539,12.8186,6.7731,4.3338,1.3683,84.69,6.74
14,41253,12.9526,6.9875,4.2754,1.3536,85.83,6.83
15,47961,14.7230,8.6535,4.3019,1.4009,84.36,6.83
16,37493,12.2769,6.0915,4.4456,1.3835,82.78,6.56
17,65396,21.5910,13.6798,5.4871,1.9162,64.72,5.45
18,19849,8.0446,2.6165,4.0015,1.1411,94.32,7.21
19,94472,31.1785,24.6698,4.3546,1.6744,78.66,7.11
20,78236,24.8567,18.2488,4.5120,1.6500,77.48,6.74
21,51271,15.8233,9.5938,4.4091,1.4497,82.19,6.74
22,86529,29.8211,21.4305,5.6834,2.1343,61.02,5.39
23,56310,17.4162,10.9593,4.5361,1.5247,79.30,6.56
24,24586,9.1215,3.4674,4.1449,1.2082,90.55,7.01
25,35659,11.4809,5.6761,4.1947,1.2813,88.20,7.01
26,36601,11.7344,5.8396,4.2550,1.3022,86.86,6.92
27,27547,10.0770,3.9921,4.4403,1.3091,84.14,6.56
28,90282,29.2222,22.8665,4.2671,1.6154,80.56,7.21
29,38905,12.5715,6.4454,4.4000,1.3732,83.58,6.65
30,38665,12.6583,6.3657,4.5227,1.4072,81.36,6.48
31,68405,21.4886,14.7706,4.6543,1.6323,76.21,6.48
32,83924,27.1200,20.3423,4.5928,1.7129,75.54,6.65
33,40640,12.9608,6.7911,4.4248,1.3902,82.99,6.65
34,24760,9.1402,3.4806,4.1435,1.2076,90.47,7.01
35,70404,21.9952,15.5148,4.4757,1.5872,79.01,6.74
36,74909,24.4328,17.0198,5.0870,1.8345,69.07,5.95
37,16245,7.8780,2.0255,4.3325,1.2142,87.48,6.65
38,14941,7.6818,1.8233,4.3575,1.1994,87.39,6.65
39,35576,11.4890,5.6573,4.2205,1.2803,87.80,7.01
40,58665,18.0891,11.6409,4.5239,1.5162,79.40,6.65
41,51288,15.8463,9.5758,4.4372,1.4494,81.65,6.74
42,70925,21.9970,15.6147,4.4019,1.5506,80.22,6.92
43,83377,26.7951,20.2600,4.4431,1.6420,78.35,6.92
44,34600,11.3680,5.4624,4.2864,1.2924,86.70,6.92
45,17068,7.8674,2.2002,4.2023,1.1692,90.34,6.92
46,82662,26.7597,19.9617,4.6219,1.6966,75.32,6.65
47,90967,30.3876,23.2933,4.7855,1.8086,72.17,6.48
48,36310,12.1874,5.8138,4.6097,1.4056,80.33,6.40
49,97404,32.9631,25.8539,4.7640,1.8357,72.02,6.56
50,25417,9.7142,3.6300,4.4657,1.2940,84.15,6.56
51,67302,21.0708,14.3973,4.6333,1.6073,76.72,6.56
52,80841,27.1568,19.1700,5.4605,1.9956,64.11,5.63
53,84104,27.3863,20.4892,4.7007,1.7337,74.23,6.56
54,46064,15.2794,8.1972,5.0571,1.6149,72.29,5.89
55,16285,8.1663,2.0409,4.5449,1.2614,83.59,6.40
56,26728,9.8999,3.8518,4.4299,1.2884,84.66,6.65
57,60666,18.5884,12.1873,4.4838,1.5106,79.99,6.74
58,24235,9.8503,3.3570,4.8980,1.2625,78.85,6.83
59,40886,13.0833,6.8259,4.5391,1.3639,81.82,6.83
60,47369,15.2291,8.4944,4.8815,1.4709,76.02,6.56
61,24987,9.4060,3.5368,4.3356,1.2288,87.23,6.92
62,62887,19.9194,13.0722,4.9347,1.5204,74.77,6.83
63,32507,10.7034,4.9654,4.1511,1.2604,89.23,7.01
64,55848,17.0489,10.7914,4.3920,1.4755,81.82,6.74
65,67033,20.6679,14.3779,4.3581,1.5263,81.40,6.92
