prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,18.7544,10.9574,5.7920,1.5453,65.67,6.56
1,81646,29.3398,19.3611,7.8056,1.6539,51.31,6.92
2,76090,27.3621,17.4908,7.7183,1.6915,51.87,6.56
3,77617,27.4017,17.9512,7.4040,1.6151,54.18,6.92
4,55747,24.9710,10.8096,10.6562,2.7944,36.15,3.61
5,29498,9.5892,4.4237,3.5468,1.2917,99.12,6.83
6,85073,30.8470,20.7804,7.9657,1.6602,50.86,6.92
7,24370,8.1879,3.3865,3.2134,1.2700,106.64,6.74
8,29084,9.6153,4.3163,3.6314,1.3310,96.62,6.56
9,86449,32.0764,21.3675,8.4558,1.7649,47.81,6.56
10,13820,5.5221,1.6966,2.3816,1.1564,133.84,6.92
11,80111,29.1569,18.9259,8.0281,1.7357,50.04,6.48
12,21014,7.3443,2.8407,2.9608,1.2361,113.69,6.74
13,40539,13.0078,6.7893,4.4650,1.4056,82.34,6.65
14,41253,13.0258,6.9970,4.3456,1.3510,84.92,6.92
15,47961,15.5579,8.6635,5.0607,1.4546,74.26,6.65
16,37493,12.0576,6.0998,4.2264,1.3806,85.94,6.65
17,65396,24.2095,13.6988,8.0476,1.9548,48.71,5.39
18,19849,6.8666,2.6189,2.7666,1.1838,120.54,7.01
19,94472,35.7599,24.6970,8.8408,1.7544,46.28,6.83
20,78236,27.7628,18.2453,7.4527,1.6402,53.80,6.83
21,51271,16.4278,9.5888,5.0667,1.4072,74.86,7.01
22,86529,34.4690,21.4461,10.3234,2.1513,39.32,5.39
23,56310,18.7385,10.9673,5.8404,1.5395,65.88,6.56
24,24586,8.0896,3.4712,3.0955,1.2184,110.86,7.01
25,35659,11.1750,5.6839,3.8631,1.2944,93.24,7.01
26,36601,11.8723,5.8523,4.2565,1.4036,85.05,6.48
27,27547,9.1810,4.0034,3.5220,1.3216,98.89,6.56
28,90282,33.2789,22.9143,8.2384,1.6741,49.40,7.01
29,38905,12.3784,6.4451,4.2321,1.3533,86.29,6.83
30,38665,12.7457,6.3718,4.5438,1.4584,80.33,6.32
31,68405,23.7036,14.7824,6.8644,1.6264,57.39,6.56
32,83924,30.5165,20.3394,8.0176,1.7022,50.31,6.74
33,40640,12.7887,6.7897,4.3046,1.3498,85.35,6.92
34,24760,8.1819,3.4849,3.1484,1.2355,109.00,6.92
35,70404,24.1711,15.5376,6.6707,1.5618,59.30,6.92
36,74909,28.5458,17.0302,8.9710,2.0224,44.46,5.45
37,16245,6.1570,2.0266,2.6188,1.2070,123.96,6.74
38,14941,5.8886,1.8284,2.5523,1.2069,126.10,6.65
39,35576,11.1534,5.6712,3.8585,1.2940,93.39,7.01
40,58665,19.5552,11.6721,5.9504,1.5335,64.95,6.65
41,51288,16.9703,9.5902,5.4689,1.5237,69.38,6.48
42,70925,24.4179,15.6261,6.7910,1.5836,58.24,6.83
43,83377,29.8385,20.2518,7.5491,1.6100,53.41,7.11
44,34600,11.0277,5.4572,3.9112,1.3219,91.91,6.83
45,17068,6.3374,2.1998,2.6372,1.1949,123.74,6.83
46,82662,29.7602,19.9908,7.6819,1.6455,52.41,6.92
47,90967,33.9938,23.2886,8.5112,1.7308,47.83,6.83
48,36310,11.8987,5.8133,4.3045,1.4200,84.14,6.40
49,97404,38.0623,25.8553,9.7664,1.9180,41.94,6.32
50,25417,8.6317,3.6314,3.3648,1.3063,102.39,6.56
51,67302,23.1062,14.4144,6.6604,1.6041,58.91,6.65
52,80841,30.9713,19.1830,9.2502,2.0136,43.43,5.63
53,84104,30.6587,20.4947,8.0142,1.7043,50.37,6.74
54,46064,15.7791,8.1976,5.5358,1.6322,67.53,5.89
55,16285,6.2812,2.0468,2.6837,1.2388,120.92,6.56
56,26728,8.9054,3.8636,3.4127,1.2986,101.55,6.65
57,60666,20.0528,12.2217,5.9310,1.5065,65.38,6.83
58,24235,8.0814,3.3639,3.1546,1.2498,108.53,6.83
59,40886,12.7527,6.8264,4.2520,1.3327,86.40,7.01
60,47369,15.1585,8.5123,4.8730,1.4113,77.04,6.83
61,24987,8.2441,3.5368,3.1623,1.2356,108.77,6.92
62,62887,21.1024,13.0390,6.1379,1.5264,63.50,6.83
63,32507,10.2335,4.9716,3.6610,1.2727,97.30,7.01
64,55848,18.2236,10.8098,5.5638,1.4728,69.06,6.83
65,67033,22.8312,14.3796,6.4775,1.5607,60.58,6.83
