prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,18326,4.1917,0.5471,0.0000,0.0000,140.48,0.00
1,11544,3.7888,0.3221,0.0000,0.0000,147.69,0.00
2,10568,3.7360,0.2898,0.0000,0.0000,148.57,0.00
3,18029,4.1814,0.5468,0.0000,0.0000,140.87,0.00
4,41716,5.8421,1.6871,0.0000,0.0000,123.23,0.00
5,10096,3.7043,0.2758,0.0000,0.0000,149.34,0.00
6,10024,3.7047,0.2737,0.0000,0.0000,149.23,0.00
7,19917,4.2975,0.6156,0.0000,0.0000,139.06,0.00
8,10862,3.7585,0.2984,0.0000,0.0000,147.97,0.00
9,11344,3.7780,0.3115,0.0000,0.0000,147.70,0.00
10,11855,3.8081,0.3323,0.0000,0.0000,147.30,0.00
11,10902,3.7523,0.2962,0.0000,0.0000,148.14,0.00
12,27177,4.7650,0.9354,0.0000,0.0000,133.69,0.00
13,14437,3.9593,0.4232,0.0000,0.0000,144.79,0.00
14,35238,5.3283,1.3341,0.0000,0.0000,128.18,0.00
15,11712,3.7963,0.3276,0.0000,0.0000,147.61,0.00
16,12495,3.8462,0.3597,0.0000,0.0000,146.85,0.00
17,11044,3.7685,0.3105,0.0000,0.0000,148.06,0.00
18,10527,3.7385,0.2901,0.0000,0.0000,148.47,0.00
19,13411,3.9027,0.3869,0.0000,0.0000,145.63,0.00
20,10457,3.7307,0.2864,0.0000,0.0000,148.65,0.00
21,10790,3.7484,0.2932,0.0000,0.0000,148.18,0.00
22,10404,3.7292,0.2818,0.0000,0.0000,148.52,0.00
23,15728,4.0361,0.4600,0.0000,0.0000,143.17,0.00
24,26966,4.7457,0.9292,0.0000,0.0000,134.15,0.00
25,12323,3.8424,0.3542,0.0000,0.0000,146.78,0.00
26,11195,3.7652,0.3051,0.0000,0.0000,147.97,0.00
27,22347,4.4419,0.7087,0.0000,0.0000,137.15,0.00
28,13522,3.9026,0.3866,0.0000,0.0000,145.62,0.00
29,10273,3.7184,0.2813,0.0000,0.0000,148.96,0.00
30,16377,4.0721,0.4788,0.0000,0.0000,142.49,0.00
31,20281,4.3210,0.6316,0.0000,0.0000,138.78,0.00
32,15228,4.0074,0.4420,0.0000,0.0000,143.61,0.00
33,22027,4.4298,0.7064,0.0000,0.0000,137.51,0.00
34,17265,4.1294,0.5199,0.0000,0.0000,141.85,0.00
35,18853,4.2246,0.5713,0.0000,0.0000,140.15,0.00
36,13837,3.9264,0.4007,0.0000,0.0000,145.22,0.00
37,13876,3.9250,0.4028,0.0000,0.0000,145.36,0.00
38,15159,4.0014,0.4399,0.0000,0.0000,143.76,0.00
39,10208,3.7189,0.2706,0.0000,0.0000,148.48,0.00
40,10534,3.7401,0.2864,0.0000,0.0000,148.25,0.00
