prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21359,4.3758,0.6716,0.0000,0.0000,138.22,0.00
1,67610,8.2118,3.4869,0.0000,0.0000,108.36,0.00
2,51583,6.7086,2.3115,0.0000,0.0000,116.44,0.00
3,45940,6.1867,1.9508,0.0000,0.0000,120.87,0.00
4,76082,9.1294,4.2377,0.0000,0.0000,104.67,0.00
5,13949,3.9290,0.4005,0.0000,0.0000,145.10,0.00
6,48737,6.4246,2.1352,0.0000,0.0000,119.36,0.00
7,52305,6.7420,2.3626,0.0000,0.0000,116.91,0.00
8,46596,6.2454,2.0048,0.0000,0.0000,120.74,0.00
9,42433,5.8957,1.7309,0.0000,0.0000,122.93,0.00
10,55705,7.0516,2.5942,0.0000,0.0000,114.87,0.00
11,39428,5.6640,1.5626,0.0000,0.0000,124.84,0.00
12,97202,11.6487,6.2827,0.0000,0.0000,95.42,0.00
13,41364,5.8216,1.6667,0.0000,0.0000,123.23,0.00
14,84224,10.0553,4.9740,0.0000,0.0000,100.76,0.00
15,41085,5.7996,1.6427,0.0000,0.0000,123.17,0.00
16,42399,5.9033,1.7290,0.0000,0.0000,122.66,0.00
17,26995,4.7495,0.9232,0.0000,0.0000,133.81,0.00
18,96626,11.5748,6.2300,0.0000,0.0000,95.79,0.00
19,55843,7.0780,2.6059,0.0000,0.0000,114.49,0.00
20,40761,5.7792,1.6308,0.0000,0.0000,123.42,0.00
21,40531,5.7648,1.6324,0.0000,0.0000,123.90,0.00
22,57284,7.1964,2.6978,0.0000,0.0000,113.81,0.00
23,54495,6.9500,2.5221,0.0000,0.0000,115.63,0.00
24,45924,6.1947,1.9607,0.0000,0.0000,120.93,0.00
25,58514,7.3241,2.8071,0.0000,0.0000,113.35,0.00
26,29550,4.9369,1.0499,0.0000,0.0000,131.72,0.00
27,59277,7.3951,2.8616,0.0000,0.0000,112.94,0.00
28,56028,7.0931,2.6218,0.0000,0.0000,114.51,0.00
29,55048,7.0119,2.5486,0.0000,0.0000,114.71,0.00
30,33241,5.1892,1.2226,0.0000,0.0000,129.08,0.00
31,79678,9.5393,4.5427,0.0000,0.0000,102.47,0.00
32,76968,9.2341,4.3053,0.0000,0.0000,103.88,0.00
33,45169,6.1232,1.9056,0.0000,0.0000,121.40,0.00
34,67357,8.2162,3.4866,0.0000,0.0000,108.25,0.00
35,80060,9.5895,4.5834,0.0000,0.0000,102.28,0.00
36,34953,5.3289,1.3189,0.0000,0.0000,127.68,0.00
37,44079,6.0441,1.8310,0.0000,0.0000,121.53,0.00
38,41330,5.8294,1.6692,0.0000,0.0000,123.07,0.00
39,59768,7.4543,2.9087,0.0000,0.0000,112.64,0.00
40,48911,6.4508,2.1494,0.0000,0.0000,119.03,0.00
41,50562,6.5994,2.2614,0.0000,0.0000,118.03,0.00
42,68646,8.3534,3.5931,0.0000,0.0000,107.56,0.00
43,34493,5.2960,1.3069,0.0000,0.0000,128.35,0.00
44,80249,9.6328,4.6244,0.0000,0.0000,102.23,0.00
45,45433,6.1516,1.9302,0.0000,0.0000,121.29,0.00
46,42940,5.9505,1.7717,0.0000,0.0000,122.52,0.00
47,66384,8.1107,3.4283,0.0000,0.0000,109.35,0.00
48,62497,7.7270,3.1211,0.0000,0.0000,111.16,0.00
49,64922,7.9523,3.3027,0.0000,0.0000,110.12,0.00
50,64331,7.8907,3.2581,0.0000,0.0000,110.52,0.00
51,60831,7.5619,2.9861,0.0000,0.0000,111.89,0.00
52,61279,7.5969,3.0210,0.0000,0.0000,111.89,0.00
53,32350,5.1373,1.1935,0.0000,0.0000,129.82,0.00
54,36657,5.4648,1.4094,0.0000,0.0000,126.25,0.00
55,91417,10.9691,5.7185,0.0000,0.0000,97.51,0.00
56,65436,8.0108,3.3416,0.0000,0.0000,109.65,0.00
57,46663,6.2739,2.0118,0.0000,0.0000,120.13,0.00
58,53750,6.8891,2.4688,0.0000,0.0000,115.83,0.00
59,59395,7.4145,2.8772,0.0000,0.0000,112.84,0.00
60,40279,5.7511,1.6078,0.0000,0.0000,123.57,0.00
61,90110,10.7763,5.5640,0.0000,0.0000,98.23,0.00
62,73819,8.8922,4.0476,0.0000,0.0000,105.68,0.00
63,79005,9.4899,4.5074,0.0000,0.0000,102.76,0.00
64,42322,5.9085,1.7299,0.0000,0.0000,122.53,0.00
65,53902,6.9216,2.4990,0.0000,0.0000,115.77,0.00
66,61769,7.6618,3.0763,0.0000,0.0000,111.66,0.00
67,64889,7.9559,3.3006,0.0000,0.0000,109.98,0.00
68,63342,7.8074,3.1877,0.0000,0.0000,110.83,0.00
69,39113,5.6713,1.5563,0.0000,0.0000,124.42,0.00
70,49547,6.5139,2.1983,0.0000,0.0000,118.64,0.00
71,16319,4.0724,0.4757,0.0000,0.0000,142.35,0.00
72,57675,7.2655,2.7536,0.0000,0.0000,113.48,0.00
73,74334,8.9759,4.1161,0.0000,0.0000,105.35,0.00
74,41988,5.8788,1.7085,0.0000,0.0000,122.77,0.00
75,46074,6.2121,1.9705,0.0000,0.0000,120.71,0.00
76,60183,7.5063,2.9517,0.0000,0.0000,112.41,0.00
77,52145,6.7519,2.3594,0.0000,0.0000,116.56,0.00
78,37351,5.5332,1.4500,0.0000,0.0000,125.39,0.00
79,41649,5.8640,1.6898,0.0000,0.0000,122.66,0.00
80,52871,6.8121,2.4155,0.0000,0.0000,116.45,0.00
81,65038,7.9746,3.3189,0.0000,0.0000,109.97,0.00
82,40139,5.7365,1.5976,0.0000,0.0000,123.70,0.00
83,51847,6.7225,2.3541,0.0000,0.0000,117.21,0.00
84,79672,9.5575,4.5700,0.0000,0.0000,102.66,0.00
85,65911,8.0746,3.3854,0.0000,0.0000,109.19,0.00
86,35847,5.3925,1.3714,0.0000,0.0000,127.33,0.00
87,51204,6.6587,2.3009,0.0000,0.0000,117.49,0.00
88,96615,11.6091,6.2675,0.0000,0.0000,95.85,0.00
89,62300,7.7014,3.1082,0.0000,0.0000,111.47,0.00
90,56180,7.1173,2.6460,0.0000,0.0000,114.51,0.00
91,94730,11.3802,6.0767,0.0000,0.0000,96.54,0.00
92,59788,7.4567,2.9160,0.0000,0.0000,112.76,0.00
93,74351,8.9813,4.1180,0.0000,0.0000,105.28,0.00
94,55590,7.0785,2.6031,0.0000,0.0000,114.40,0.00
95,58268,7.3043,2.7936,0.0000,0.0000,113.51,0.00
96,54887,7.0030,2.5515,0.0000,0.0000,115.02,0.00
97,56312,7.1191,2.6460,0.0000,0.0000,114.46,0.00
98,42563,5.9377,1.7566,0.0000,0.0000,122.46,0.00
99,59743,7.4670,2.9128,0.0000,0.0000,112.42,0.00
100,51451,6.6844,2.3230,0.0000,0.0000,117.39,0.00
101,56469,7.1374,2.6554,0.0000,0.0000,114.24,0.00
102,48444,6.4148,2.1238,0.0000,0.0000,119.32,0.00
103,60058,7.4937,2.9414,0.0000,0.0000,112.47,0.00
104,10634,3.7438,0.2877,0.0000,0.0000,148.14,0.00
105,54092,6.9321,2.5009,0.0000,0.0000,115.54,0.00
106,44158,6.0686,1.8471,0.0000,0.0000,121.28,0.00
107,48261,6.4005,2.1128,0.0000,0.0000,119.41,0.00
108,64982,7.9582,3.3046,0.0000,0.0000,110.02,0.00
109,51385,6.6792,2.3137,0.0000,0.0000,117.28,0.00
110,56240,7.1211,2.6462,0.0000,0.0000,114.42,0.00
111,38287,5.5897,1.5032,0.0000,0.0000,125.29,0.00
112,41060,5.8203,1.6553,0.0000,0.0000,122.93,0.00
113,45042,6.1176,1.8946,0.0000,0.0000,121.24,0.00
114,89836,10.7815,5.5519,0.0000,0.0000,97.90,0.00
115,51716,6.6947,2.3350,0.0000,0.0000,117.44,0.00
116,62277,7.7068,3.1104,0.0000,0.0000,111.39,0.00
117,80709,9.6832,4.6771,0.0000,0.0000,102.28,0.00
118,60401,7.5110,2.9618,0.0000,0.0000,112.55,0.00
119,59059,7.4013,2.8674,0.0000,0.0000,112.93,0.00
