prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,7.1810,2.6887,0.0000,0.0000,113.97,0.00
1,81646,9.7593,4.7354,0.0000,0.0000,101.91,0.00
2,76090,9.1403,4.2497,0.0000,0.0000,104.69,0.00
3,77617,9.3231,4.3720,0.0000,0.0000,103.41,0.00
4,55747,7.0723,2.6029,0.0000,0.0000,114.56,0.00
5,29498,4.9382,1.0543,0.0000,0.0000,131.83,0.00
6,85073,10.1745,5.0691,0.0000,0.0000,100.29,0.00
7,24370,4.5574,0.8020,0.0000,0.0000,136.34,0.00
8,29084,4.8981,1.0279,0.0000,0.0000,132.29,0.00
9,86449,10.3473,5.2164,0.0000,0.0000,99.79,0.00
10,13820,3.9140,0.3919,0.0000,0.0000,145.37,0.00
11,80111,9.6281,4.6100,0.0000,0.0000,102.03,0.00
12,21014,4.3735,0.6660,0.0000,0.0000,138.10,0.00
13,40539,5.7746,1.6275,0.0000,0.0000,123.46,0.00
14,41253,5.8344,1.6686,0.0000,0.0000,122.91,0.00
15,47961,6.3739,2.0893,0.0000,0.0000,119.50,0.00
16,37493,5.5275,1.4572,0.0000,0.0000,125.79,0.00
17,65396,8.0064,3.3361,0.0000,0.0000,109.63,0.00
18,19849,4.2945,0.6126,0.0000,0.0000,139.06,0.00
19,94472,11.3332,6.0257,0.0000,0.0000,96.47,0.00
20,78236,9.3766,4.4288,0.0000,0.0000,103.48,0.00
21,51271,6.6721,2.3125,0.0000,0.0000,117.44,0.00
22,86529,10.3409,5.2173,0.0000,0.0000,99.93,0.00
23,56310,7.1270,2.6364,0.0000,0.0000,114.01,0.00
24,24586,4.5767,0.8139,0.0000,0.0000,136.07,0.00
25,35659,5.3831,1.3569,0.0000,0.0000,127.17,0.00
26,36601,5.4561,1.4071,0.0000,0.0000,126.45,0.00
27,27547,4.7977,0.9556,0.0000,0.0000,133.26,0.00
28,90282,10.8260,5.6010,0.0000,0.0000,97.99,0.00
29,38905,5.6406,1.5258,0.0000,0.0000,124.43,0.00
30,38665,5.6233,1.5244,0.0000,0.0000,124.91,0.00
31,68405,8.3272,3.5798,0.0000,0.0000,107.85,0.00
32,83924,10.0347,4.9559,0.0000,0.0000,100.81,0.00
33,40640,5.7708,1.6298,0.0000,0.0000,123.64,0.00
34,24760,4.5918,0.8159,0.0000,0.0000,135.60,0.00
35,70404,8.5284,3.7408,0.0000,0.0000,106.94,0.00
36,74909,9.0144,4.1413,0.0000,0.0000,105.07,0.00
37,16245,4.0715,0.4726,0.0000,0.0000,142.27,0.00
38,14941,3.9938,0.4385,0.0000,0.0000,144.01,0.00
39,35576,5.3645,1.3527,0.0000,0.0000,127.62,0.00
40,58665,7.3344,2.8137,0.0000,0.0000,113.26,0.00
41,51288,6.6626,2.3040,0.0000,0.0000,117.47,0.00
42,70925,8.5776,3.7920,0.0000,0.0000,106.99,0.00
43,83377,9.9634,4.8974,0.0000,0.0000,101.07,0.00
44,34600,5.2943,1.3026,0.0000,0.0000,128.27,0.00
45,17068,4.1207,0.5070,0.0000,0.0000,141.68,0.00
46,82662,9.8854,4.8390,0.0000,0.0000,101.46,0.00
47,90967,10.8756,5.6341,0.0000,0.0000,97.68,0.00
48,36310,5.4269,1.3908,0.0000,0.0000,126.86,0.00
49,97404,11.6769,6.3055,0.0000,0.0000,95.32,0.00
50,25417,4.6481,0.8527,0.0000,0.0000,134.90,0.00
51,67302,8.2133,3.4795,0.0000,0.0000,108.16,0.00
52,80841,9.6505,4.6418,0.0000,0.0000,102.22,0.00
53,84104,10.0601,4.9877,0.0000,0.0000,100.94,0.00
54,46064,6.2021,1.9549,0.0000,0.0000,120.55,0.00
55,16285,4.0679,0.4757,0.0000,0.0000,142.53,0.00
56,26728,4.7400,0.9165,0.0000,0.0000,133.91,0.00
57,60666,7.5283,2.9703,0.0000,0.0000,112.33,0.00
58,24235,4.5614,0.8009,0.0000,0.0000,136.15,0.00
59,40886,5.7872,1.6234,0.0000,0.0000,122.96,0.00
60,47369,6.3209,2.0444,0.0000,0.0000,119.72,0.00
61,24987,4.6183,0.8317,0.0000,0.0000,135.21,0.00
62,62887,7.7463,3.1393,0.0000,0.0000,111.14,0.00
63,32507,5.1458,1.1959,0.0000,0.0000,129.62,0.00
64,55848,7.0844,2.6078,0.0000,0.0000,114.37,0.00
65,67033,8.1754,3.4635,0.0000,0.0000,108.66,0.00
