prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21359,3.5634,0.9591,1.2809,1.0571,196.59,4.83
1,67610,8.5043,6.0530,1.2020,1.0043,208.87,7.42
2,51583,6.6177,3.8486,1.3298,1.1522,184.90,5.75
3,45940,5.7805,3.1640,1.2350,1.0697,195.68,5.89
4,76082,10.5633,7.5127,1.5104,1.2274,167.83,6.40
5,13949,2.1062,0.5208,0.7928,0.6202,322.95,7.64
6,48737,5.6337,3.4688,1.0201,0.8943,236.50,7.21
7,52305,6.6635,3.9336,1.3042,1.1278,187.55,5.89
8,46596,5.5390,3.2457,1.0809,0.9517,223.26,6.74
9,42433,6.2247,2.8017,1.6456,1.4166,149.57,4.38
10,55705,6.8723,4.3857,1.1781,1.0407,205.91,6.56
11,39428,4.7271,2.4644,1.0980,0.9251,226.27,6.48
12,97202,14.3881,11.5981,1.2939,1.1782,183.51,7.53
13,41364,4.9520,2.6923,1.0939,0.9255,226.57,6.56
14,84224,11.7413,9.0245,1.3256,1.1073,188.46,7.42
15,41085,4.8143,2.6762,1.0373,0.8761,239.46,6.92
16,42399,6.2844,2.8053,1.6752,1.4408,147.17,4.30
17,26995,3.4137,1.3675,1.0027,0.8151,250.22,6.56
18,96626,14.3130,11.4856,1.3516,1.1627,181.08,7.53
19,55843,6.7945,4.3984,1.1410,1.0009,213.69,6.83
20,40761,4.9183,2.6019,1.1211,0.9447,221.03,6.40
21,40531,4.6231,2.5658,0.9934,0.8360,248.87,7.21
22,57284,7.3474,4.6029,1.3032,1.1529,186.56,5.95
23,54495,6.4508,4.2600,1.0529,0.9195,233.70,7.31
24,45924,5.6712,3.1822,1.1947,1.0328,205.71,6.10
25,58514,8.1580,4.8226,1.5798,1.4027,153.50,4.92
26,29550,3.6981,1.5712,1.0375,0.8628,240.72,6.40
27,59277,7.3463,4.8870,1.1572,1.0432,208.19,6.74
28,56028,6.7883,4.4423,1.1415,0.9618,218.24,7.11
29,55048,6.5804,4.3143,1.0709,0.9457,225.93,7.21
30,33241,5.0336,1.8954,1.5242,1.2772,163.15,4.41
31,79678,10.7841,8.1480,1.2946,1.0549,194.23,7.53
32,76968,10.4674,7.7115,1.3665,1.1064,185.79,7.11
33,45169,5.3796,3.0876,1.0927,0.9419,223.39,6.65
34,67357,8.9942,6.1053,1.4723,1.1400,177.23,6.48
35,80060,10.9387,8.1815,1.3540,1.1104,185.70,7.21
36,34953,4.2439,2.0591,1.0480,0.8929,234.35,6.48
37,44079,5.1945,2.9603,1.0620,0.9124,229.16,6.83
38,41330,4.7312,2.7025,0.9829,0.8298,252.38,7.31
39,59768,8.7596,4.9670,1.7843,1.6072,135.00,4.38
40,48911,5.7994,3.5301,1.0808,0.9452,225.62,6.83
41,50562,6.1780,3.7574,1.1640,1.0015,211.52,6.56
42,68646,8.7640,6.2723,1.2203,1.0046,205.48,7.42
43,34493,4.2131,2.0091,1.0596,0.9017,232.30,6.40
44,80249,10.9360,8.2586,1.3169,1.0837,191.23,7.42
45,45433,5.4213,3.1321,1.0935,0.9432,223.66,6.65
46,42940,5.1812,2.8672,1.1153,0.9582,221.26,6.48
47,66384,8.6325,5.9390,1.3509,1.0690,190.08,6.83
48,62497,7.9778,5.3263,1.3166,1.0552,193.10,6.74
49,64922,8.2019,5.6893,1.2772,0.9789,203.77,7.42
50,64331,8.5433,5.6099,1.4839,1.1476,174.54,6.32
51,60831,7.5655,5.1222,1.1499,1.0324,209.55,6.83
52,61279,7.7119,5.1675,1.2383,1.0343,201.22,6.83
53,32350,4.9016,1.7873,1.5146,1.2651,164.40,4.41
54,36657,4.3864,2.2196,1.0508,0.8892,236.29,6.56
55,91417,13.3339,10.4711,1.4018,1.1792,178.84,7.21
56,65436,9.1074,5.7830,1.7164,1.3072,154.02,5.57
57,46663,5.4083,3.2634,1.0134,0.8882,238.70,7.21
