prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,18326,2.5256,0.7651,0.7978,0.7510,290.83,6.56
1,11544,2.5069,0.4104,0.9875,0.8744,244.22,5.22
2,10568,2.3844,0.3643,0.9283,0.8586,253.45,5.28
3,18029,2.3993,0.7582,0.7448,0.7009,311.99,7.01
4,41716,5.4614,2.7175,1.2273,1.2198,186.60,4.97
5,10096,2.2991,0.3433,0.8965,0.8294,261.79,5.45
6,10024,2.0040,0.3460,0.7642,0.7059,308.81,6.40
7,19917,2.7721,0.8634,0.8629,0.8151,268.25,6.10
8,10862,2.6246,0.3818,1.0337,0.9503,228.29,4.79
9,11344,2.1141,0.3945,0.8004,0.7217,297.74,6.32
10,11855,2.7037,0.4222,1.0979,0.9321,224.42,4.92
11,10902,2.2892,0.3841,0.8805,0.8083,268.75,5.63
12,27177,3.4505,1.3781,0.9408,0.8975,247.06,5.95
13,14437,2.2392,0.5442,0.7770,0.7111,302.08,6.65
14,35238,4.2598,2.0595,0.9723,0.9699,232.70,5.95
15,11712,2.0718,0.4181,0.7894,0.6802,309.60,6.74
16,12495,2.6153,0.4584,1.0249,0.8935,237.38,5.22
17,11044,2.2226,0.3933,0.8466,0.7748,279.90,5.89
18,10527,2.2034,0.3688,0.8442,0.7793,279.09,5.82
19,13411,2.2438,0.4913,0.8045,0.7372,292.16,6.40
20,10457,2.2188,0.3612,0.8538,0.7899,275.63,5.75
21,10790,2.2979,0.3741,0.8855,0.8166,266.14,5.57
22,10404,2.0483,0.3575,0.7760,0.7172,302.82,6.32
23,15728,2.4476,0.6121,0.8426,0.7743,278.95,6.17
24,26966,3.3238,1.3713,0.8867,0.8450,262.23,6.32
25,12323,2.2622,0.4513,0.8794,0.7350,282.74,6.32
26,11195,1.9975,0.3914,0.7458,0.6774,318.80,6.74
27,22347,3.1586,1.0265,0.9581,0.9219,240.14,5.57
28,13522,3.0989,0.5029,1.1971,1.0973,197.22,4.30
29,10273,2.1412,0.3528,0.8240,0.7608,286.28,5.95
30,16377,2.5494,0.6401,0.8758,0.8074,268.17,5.95
31,20281,3.1843,0.8992,1.0418,0.9841,224.06,5.07
32,15228,2.4329,0.5814,0.8498,0.7806,276.53,6.10
33,22027,3.0769,1.0000,0.9355,0.8999,246.52,5.69
34,17265,2.5255,0.7067,0.8271,0.7774,281.50,6.32
35,18853,2.9261,0.8025,0.9648,0.9063,241.10,5.45
36,13837,2.2273,0.5222,0.7864,0.7195,300.27,6.56
37,13876,2.3151,0.5225,0.8268,0.7564,285.62,6.24
38,15159,2.3247,0.5823,0.7996,0.7335,293.84,6.48
39,10208,2.3223,0.3499,0.9087,0.8396,259.59,5.39
40,10534,1.9507,0.3697,0.7294,0.6733,323.84,6.74
41,16395,2.7421,0.6771,0.9568,0.8829,247.94,5.45
42,12255,2.3956,0.4432,0.9543,0.7864,262.23,5.89
43,18939,2.9065,0.8086,0.9551,0.8970,244.06,5.51
44,15711,2.5328,0.6110,0.8827,0.8113,266.42,5.89
45,13064,2.1671,0.4831,0.7748,0.7089,304.04,6.65
46,10727,2.2519,0.3770,0.8656,0.7982,273.08,5.69
47,23977,3.3001,1.1247,0.9994,0.9292,235.36,5.57
48,11778,2.2565,0.4233,0.8790,0.7536,279.29,6.10
49,12792,2.3851,0.4663,0.8843,0.8094,266.82,5.82
50,14726,2.7342,0.5609,0.9998,0.9157,235.58,5.17
51,10196,2.1975,0.3496,0.8523,0.7868,277.07,5.75
52,11261,2.0037,0.3942,0.7461,0.6774,318.11,6.74
53,12585,2.9297,0.4620,1.1474,1.0360,207.48,4.53
54,14256,2.6145,0.5328,0.9586,0.8776,245.95,5.39
55,23746,2.8714,1.1109,0.8027,0.7564,290.83,6.83
56,12948,2.3929,0.4758,0.8849,0.8098,267.08,5.82
