prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,6.8908,4.5322,1.2096,0.9279,217.07,7.42
1,81646,11.3407,8.4635,1.4823,1.0905,177.95,7.42
2,76090,10.5988,7.5192,1.6320,1.1519,166.25,6.83
3,77617,10.5880,7.7732,1.4843,1.0482,181.89,7.53
4,55747,8.7973,4.3749,2.2569,1.7368,115.77,3.94
5,29498,3.4873,1.5616,0.9981,0.7230,265.88,7.64
6,85073,11.8906,9.1117,1.4128,1.0842,184.24,7.64
7,24370,3.0255,1.1561,0.9834,0.6923,273.90,7.53
8,29084,3.5807,1.5251,1.0716,0.7643,249.07,7.11
9,86449,12.3933,9.4129,1.5598,1.1356,171.79,7.31
10,13820,2.3614,0.5211,0.9796,0.6666,278.21,7.11
11,80111,11.1686,8.2296,1.5390,1.0996,174.21,7.31
12,21014,2.7855,0.9397,0.9641,0.6874,277.39,7.42
13,40539,4.6845,2.5708,1.0979,0.8036,242.23,7.53
14,41253,4.8914,2.6841,1.1460,0.8431,231.95,7.21
15,47961,5.6869,3.4103,1.1541,0.8795,224.90,7.31
16,37493,4.6167,2.2716,1.3043,0.8167,218.32,7.21
17,65396,8.5569,5.7545,1.5234,1.0100,182.70,7.21
18,19849,2.6411,0.8683,0.9326,0.6532,288.81,7.64
19,94472,14.0213,11.0573,1.5334,1.1402,172.74,7.64
20,78236,10.9424,7.8830,1.6188,1.1416,167.35,6.92
21,51271,6.1747,3.8641,1.1873,0.8940,221.59,7.42
22,86529,12.4211,9.4234,1.5634,1.1356,170.80,7.31
23,56310,7.0734,4.4452,1.4147,0.9643,194.82,7.11
24,24586,3.0828,1.2067,1.0089,0.6931,272.91,7.53
25,35659,4.1693,2.1122,1.0571,0.7841,248.89,7.42
26,36601,4.2762,2.2038,1.0665,0.7891,247.06,7.42
27,27547,3.4151,1.4085,1.0547,0.7456,255.17,7.21
28,90282,13.2283,10.1794,1.5879,1.1626,167.93,7.31
29,38905,4.5519,2.4225,1.1089,0.8089,240.45,7.42
30,38665,4.5401,2.4068,1.1080,0.8090,239.99,7.42
31,68405,9.0037,6.2522,1.4865,1.0068,186.08,7.42
32,83924,11.8865,8.9207,1.5531,1.1162,172.64,7.31
33,40640,4.7057,2.5805,1.1001,0.8044,240.91,7.53
34,24760,3.2361,1.2052,1.1080,0.7256,252.10,7.21
35,70404,9.5021,6.5747,1.5791,1.0727,174.90,7.01
36,74909,10.7826,7.3746,1.8284,1.2678,150.24,6.10
37,16245,2.4057,0.6338,0.9346,0.6397,288.95,7.53
38,14941,2.3424,0.5721,0.9430,0.6422,289.21,7.42
39,35576,4.1830,2.1165,1.0709,0.7948,247.76,7.31
40,58665,7.1970,4.8064,1.2102,0.9339,214.17,7.42
41,51288,6.2471,3.8606,1.2232,0.9194,214.54,7.21
42,70925,9.5633,6.6658,1.5580,1.0603,176.70,7.11
43,83377,11.8080,8.8484,1.5534,1.1122,173.00,7.31
44,34600,4.0935,2.0106,1.0683,0.7910,245.82,7.31
45,17068,2.5416,0.7072,0.9653,0.6744,279.12,7.31
46,82662,11.6017,8.7335,1.5063,1.0768,178.51,7.53
47,90967,13.3880,10.3439,1.5950,1.1646,168.19,7.31
48,36310,4.2983,2.1712,1.0951,0.8096,240.71,7.21
49,97404,14.6547,11.5958,1.5632,1.1793,167.38,7.53
50,25417,3.2199,1.2567,1.0330,0.7292,260.80,7.31
51,67302,8.7995,6.0693,1.4838,0.9964,187.53,7.42
52,80841,12.0744,8.3168,1.9845,1.4177,136.26,5.69
53,84104,11.9478,8.9877,1.5550,1.1213,172.97,7.31
54,46064,5.7035,3.1721,1.2963,0.9753,202.26,6.48
55,16285,2.5779,0.6355,1.0311,0.7059,263.59,6.83
56,26728,3.2465,1.3576,0.9943,0.7025,271.06,7.64
57,60666,7.5549,5.0735,1.2537,0.9787,206.34,7.21
58,24235,3.0544,1.1430,1.0070,0.7119,267.86,7.31
59,40886,4.7550,2.6078,1.1185,0.8183,238.45,7.42
60,47369,5.5377,3.3403,1.1180,0.8535,233.01,7.53
61,24987,3.3286,1.2270,1.1774,0.7314,243.63,7.21
62,62887,7.9605,5.3675,1.4050,0.9357,197.45,7.64
63,32507,3.8372,1.8045,1.0551,0.7671,251.88,7.31
64,55848,6.8839,4.3681,1.2849,0.9753,203.51,7.01
65,67033,8.7412,6.0105,1.4862,0.9884,187.50,7.42
