prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21359,1,5.2605,0.9641,2.9702,1.0587,119.17,4.83
1,67610,1,9.2673,6.0708,1.9502,0.9921,160.18,7.42
2,51583,1,7.3485,3.8558,2.2277,1.0123,146.59,6.48
3,45940,1,6.3275,3.1855,2.0445,0.8876,162.95,7.01
4,76082,1,11.2716,7.5097,2.2479,1.2126,136.10,6.40
5,13949,1,3.4230,0.5209,2.0438,0.6703,176.42,7.01
6,48737,1,6.6673,3.4826,2.0480,0.9088,160.77,7.01
7,52305,1,7.7228,3.9252,2.4069,1.1029,134.82,5.95
8,46596,1,7.0603,3.2432,2.4454,1.0901,134.13,5.82
9,42433,1,7.8682,2.7929,3.2945,1.4132,100.88,4.34
10,55705,1,7.8584,4.3765,2.1921,1.0291,147.04,6.56
11,39428,1,5.9463,2.4524,2.2932,0.9536,146.54,6.24
12,97202,1,15.0468,11.5461,1.9839,1.1996,146.26,7.31
13,41364,1,6.2027,2.6895,2.3023,0.9629,145.74,6.24
14,84224,1,12.4082,9.0028,1.9974,1.1258,150.35,7.21
15,41085,1,5.8131,2.6657,2.0675,0.8669,162.67,6.92
16,42399,1,9.1062,2.7878,4.1237,1.7617,81.03,3.48
17,26995,1,4.9062,1.3654,2.4047,0.8975,144.60,5.95
18,96626,1,14.9146,11.4481,1.9794,1.1834,147.70,7.31
19,55843,1,7.6797,4.3696,2.0804,0.9771,154.68,6.92
20,40761,1,6.1516,2.5942,2.3324,0.9709,143.92,6.17
21,40531,1,5.5956,2.5674,1.9869,0.8288,169.08,7.21
22,57284,1,7.7873,4.5596,2.0214,0.9544,158.62,7.11
23,54495,1,7.4289,4.2257,2.0304,0.9366,159.84,7.11
24,45924,1,6.6927,3.1634,2.2829,0.9848,145.07,6.32
25,58514,1,9.6763,4.8057,3.0719,1.4544,105.12,4.70
26,29550,1,5.1109,1.5625,2.3874,0.9166,144.29,6.02
27,59277,1,8.4078,4.8663,2.2173,1.0723,144.57,6.48
28,56028,1,7.8097,4.4286,2.1340,1.0042,151.43,6.74
29,55048,1,7.4733,4.2928,2.0009,0.9356,160.98,7.21
30,33241,1,6.7449,1.8906,3.2542,1.2722,105.47,4.41
31,79678,1,11.5753,8.1150,2.0457,1.1175,147.97,7.01
32,76968,1,11.0207,7.6827,1.9927,1.0776,153.38,7.21
33,45169,1,6.6563,3.0825,2.3126,1.0042,143.26,6.17
34,67357,1,9.5697,6.0643,2.1294,1.0976,146.06,6.65
35,80060,1,11.7889,8.1600,2.1622,1.1880,141.09,6.65
36,34953,1,5.3713,2.0594,2.2059,0.8857,154.59,6.48
37,44079,1,6.2351,2.9533,2.1302,0.9147,156.01,6.74
38,41330,1,6.1109,2.6765,2.2511,0.9386,149.08,6.40
39,59768,1,8.4563,4.9307,2.1953,1.0590,145.22,6.56
40,48911,1,6.8450,3.5056,2.1413,0.9482,153.32,6.74
41,50562,1,7.4747,3.7280,2.3927,1.0798,136.65,6.02
42,68646,1,9.5263,6.2572,1.9983,1.0219,156.62,7.21
43,34493,1,5.5994,2.0020,2.3931,0.9532,142.33,6.02
44,80249,1,11.5463,8.2142,1.9712,1.0867,153.66,7.31
45,45433,1,6.4114,3.1158,2.1337,0.9214,155.36,6.74
46,42940,1,6.2852,2.8401,2.2436,0.9601,148.61,6.40
47,66384,1,9.4419,5.9227,2.1646,1.0841,145.49,6.65
48,62497,1,8.7597,5.3144,2.1292,1.0419,148.61,6.74
49,64922,1,8.8095,5.6699,1.9267,0.9660,163.08,7.42
50,64331,1,9.8223,5.5963,2.6040,1.3004,121.16,5.51
51,60831,1,8.7529,5.0881,2.2862,1.1034,139.71,6.32
52,61279,1,8.7532,5.1554,2.2417,1.0908,142.31,6.40
53,32350,1,6.6649,1.7874,3.2809,1.2745,104.97,4.38
54,36657,1,5.4977,2.1944,2.1764,0.8822,155.00,6.56
55,91417,1,14.0099,10.4026,2.0858,1.2148,141.94,6.92
56,65436,1,10.2179,5.7420,2.7645,1.3760,114.39,5.22
57,46663,1,7.0015,3.2485,2.4149,1.0644,136.42,5.95
58,53750,1,7.2522,4.1018,1.9892,0.9158,162.52,7.21
59,59395,1,8.3663,4.8634,2.1854,1.0585,146.17,6.56
60,40279,1,6.4558,2.5423,2.5666,1.0719,130.83,5.57
61,90110,1,13.6456,10.0599,2.0714,1.2094,142.79,6.92
62,73819,1,11.9189,7.1038,2.9208,1.5394,106.33,4.92
63,79005,1,11.3991,7.9601,2.0539,1.1127,148.88,7.01
64,42322,1,6.4545,2.7742,2.3922,1.0187,139.12,6.02
65,53902,1,8.4807,4.1485,2.7524,1.2654,118.19,5.22
66,61769,1,8.8353,5.2149,2.2427,1.0924,141.42,6.40
67,64889,1,9.1794,5.6554,2.1672,1.0781,145.29,6.65
68,63342,1,8.8959,5.4319,2.1320,1.0599,147.81,6.74
69,39113,1,5.7754,2.4383,2.1908,0.9067,153.43,6.56
70,49547,1,7.1018,3.6001,2.2366,1.0010,146.22,6.40
71,16319,1,3.8746,0.6376,2.2590,0.7550,158.17,6.32
72,57675,1,8.1584,4.6279,2.2098,1.0479,145.02,6.48
73,74334,1,10.6585,7.2605,2.0595,1.0817,150.68,7.01
74,41988,1,6.3046,2.7459,2.3306,0.9849,143.87,6.17
75,46074,1,7.2469,3.1781,2.6425,1.1463,125.84,5.45
76,60183,1,8.1201,5.0066,1.9330,0.9378,164.45,7.42
77,52145,1,7.4908,3.9296,2.2625,1.0389,143.77,6.32
78,37351,1,6.1853,2.2685,2.5949,1.0556,130.72,5.51
79,41649,1,5.9253,2.7327,2.0915,0.8820,160.37,6.83
80,52871,1,7.3366,4.0373,2.0904,0.9636,155.18,6.83
81,65038,1,8.8891,5.7108,1.9678,0.9799,161.10,7.31
82,40139,1,6.2322,2.5257,2.4369,1.0141,138.13,5.89
83,51847,1,7.0240,3.9078,1.9701,0.8971,164.31,7.31
84,79672,1,11.4949,8.1522,1.9958,1.0845,153.17,7.21
85,65911,1,9.5139,5.8706,2.2477,1.1232,140.53,6.40
