prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,18326,1,3.5689,0.7776,1.8674,0.7325,183.43,6.74
1,11544,1,3.9625,0.4144,2.4295,0.8817,144.30,5.17
2,10568,1,3.8703,0.3632,2.4020,0.8658,145.99,5.22
3,18029,1,3.4435,0.7513,1.7843,0.6987,190.18,7.01
4,41716,1,6.8841,2.7237,2.5903,1.2491,123.07,4.83
5,10096,1,3.8719,0.3430,2.4190,0.8721,145.09,5.17
6,10024,1,3.1913,0.3405,1.9531,0.7044,179.60,6.40
7,19917,1,4.1521,0.8618,2.1719,0.8744,155.60,5.69
8,10862,1,4.0717,0.3832,2.5236,0.9209,138.81,4.92
9,11344,1,3.3826,0.3958,2.0345,0.7472,171.42,6.10
10,11855,1,4.4393,0.4192,2.7390,1.0084,127.36,4.53
11,10902,1,3.6476,0.3837,2.2260,0.8147,156.86,5.57
12,27177,1,4.2029,1.3756,1.8262,0.7848,181.09,6.83
13,14437,1,3.4623,0.5430,1.9652,0.7449,175.38,6.32
14,35238,1,5.6383,2.0662,2.2586,1.0454,143.33,5.51
15,11712,1,3.1199,0.4207,1.8444,0.6776,189.69,6.74
16,12495,1,4.1050,0.4571,2.4730,0.9252,140.35,5.02
17,11044,1,3.4834,0.3876,2.1130,0.7716,165.38,5.89
18,10527,1,3.5972,0.3607,2.2107,0.8038,158.20,5.63
19,13411,1,3.4200,0.4857,1.9723,0.7435,174.49,6.32
20,10457,1,3.7140,0.3621,2.2945,0.8299,152.75,5.45
21,10790,1,3.6589,0.3707,2.2468,0.8142,155.71,5.57
22,10404,1,3.3569,0.3556,2.0521,0.7416,170.60,6.10
23,15728,1,3.8828,0.6019,2.2022,0.8362,156.06,5.69
24,26966,1,4.3837,1.3680,1.9499,0.8362,169.78,6.40
25,12323,1,3.4275,0.4442,2.0213,0.7477,171.63,6.17
26,11195,1,3.1723,0.3883,1.8998,0.6928,183.91,6.56
27,22347,1,4.5141,1.0284,2.2879,0.9441,146.89,5.45
28,13522,1,4.5160,0.5048,2.7078,1.0181,127.64,4.61
29,10273,1,3.4831,0.3468,2.1481,0.7766,163.25,5.82
30,16377,1,3.8478,0.6314,2.1504,0.8225,159.19,5.82
31,20281,1,4.2998,0.8999,2.2498,0.9068,150.59,5.51
32,15228,1,3.9311,0.5852,2.2491,0.8597,153.02,5.51
33,22027,1,5.7601,1.0121,3.1154,1.2938,107.83,3.97
34,17265,1,3.8574,0.7078,2.0971,0.8221,162.56,5.95
35,18853,1,4.2454,0.8015,2.2888,0.9017,148.67,5.45
36,13837,1,3.3381,0.5185,1.8958,0.7165,181.58,6.56
37,13876,1,3.5153,0.5144,2.0168,0.7623,170.62,6.17
38,15159,1,3.4489,0.5766,1.9242,0.7302,178.25,6.48
39,10208,1,3.9372,0.3385,2.4585,0.8895,142.27,5.07
40,10534,1,3.0415,0.3639,1.8299,0.6630,191.21,6.83
41,16395,1,4.1439,0.6694,2.3304,0.8964,147.36,5.33
42,12255,1,3.6592,0.4365,2.1860,0.8096,158.87,5.69
43,18939,1,4.2457,0.8012,2.2814,0.9054,148.64,5.45
44,15711,1,3.9036,0.6066,2.2098,0.8449,155.29,5.63
45,13064,1,3.2578,0.4768,1.8619,0.7059,184.10,6.65
46,10727,1,3.5577,0.3685,2.1751,0.7961,160.54,5.69
47,23977,1,4.7527,1.1265,2.3725,0.9913,141.19,5.22
48,11778,1,3.4358,0.4191,2.0512,0.7583,169.72,6.02
49,12792,1,3.6953,0.4599,2.1695,0.8241,158.25,5.69
50,14726,1,4.1534,0.5547,2.4120,0.9211,142.28,5.12
51,10196,1,3.6945,0.3475,2.2844,0.8371,152.97,5.39
52,11261,1,3.1256,0.3876,1.8608,0.6840,187.00,6.65
53,12585,1,4.8160,0.4622,2.9344,1.1119,117.60,4.20
54,14256,1,3.9515,0.5342,2.2958,0.8732,149.82,5.39
55,23746,1,3.9367,1.1089,1.8508,0.7678,181.06,6.74
56,12948,1,3.6780,0.4788,2.1567,0.8159,160.04,5.75
57,15425,1,3.4016,0.5872,1.8833,0.7227,181.92,6.56
58,18778,1,3.7108,0.7918,1.9283,0.7670,175.40,6.40
59,10494,1,3.5241,0.3628,2.1610,0.7854,161.96,5.75
60,20473,1,3.9883,0.9080,2.0371,0.8208,166.22,6.10
61,11249,1,3.1324,0.3969,1.8706,0.6844,187.17,6.65
62,23252,1,4.0045,1.0883,1.9085,0.7958,175.58,6.48
63,16905,1,4.1214,0.7030,2.2698,0.8970,149.78,5.45
64,11314,1,3.5694,0.3961,2.1644,0.7921,161.34,5.75
65,30625,1,5.2928,1.6554,2.3250,1.0397,140.76,5.33
66,20667,1,3.9372,0.9244,1.9865,0.8048,169.94,6.24
67,27118,1,4.5153,1.3737,2.0300,0.8788,162.97,6.10
68,10298,1,4.5921,0.3536,2.8993,1.0574,120.80,4.27
69,10872,1,4.3469,0.3800,2.7049,0.9923,129.07,4.57
70,11383,1,3.7023,0.4006,2.2446,0.8274,155.07,5.51
71,13243,1,3.2843,0.4847,1.8832,0.7153,182.89,6.56
72,13494,1,4.4133,0.5001,2.6297,1.0001,130.84,4.70
73,13835,1,3.7151,0.5173,2.1514,0.8181,160.11,5.75
74,28753,1,4.4410,1.4955,1.8979,0.8245,173.83,6.56
75,12544,1,3.2370,0.4594,1.8788,0.7014,184.33,6.65
