prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,1,7.9810,4.5528,2.2938,0.9178,149.35,7.42
1,81646,1,12.0993,8.4708,2.2813,1.0630,141.11,7.53
2,76090,1,11.4638,7.5169,2.5042,1.1386,129.72,6.83
3,77617,1,11.3511,7.7847,2.2841,1.0358,143.56,7.53
4,55747,1,9.3783,4.3683,3.3484,1.3224,102.19,5.12
5,29498,1,4.7577,1.5639,2.2625,0.7332,160.31,7.53
6,85073,1,12.7250,9.1029,2.2702,1.0878,141.35,7.53
7,24370,1,4.2908,1.1582,2.2540,0.6913,163.44,7.53
8,29084,1,4.8838,1.5252,2.3881,0.7644,152.44,7.11
9,86449,1,13.1741,9.3664,2.3742,1.1386,134.46,7.21
10,13820,1,3.6373,0.5189,2.2939,0.6346,164.19,7.42
11,80111,1,11.8492,8.1866,2.3076,1.0702,139.79,7.42
12,21014,1,4.1250,0.9406,2.3073,0.6898,160.78,7.42
13,40539,1,5.7957,2.5743,2.2333,0.7866,158.93,7.64
14,41253,1,5.9433,2.6720,2.2698,0.8000,156.51,7.53
15,47961,1,6.8374,3.3929,2.3356,0.8716,148.64,7.31
16,37493,1,5.6466,2.2651,2.3657,0.8088,151.41,7.21
17,65396,1,9.5565,5.7298,2.4979,1.0546,133.80,6.83
18,19849,1,3.9221,0.8597,2.2199,0.6509,167.19,7.64
19,94472,1,14.6475,11.0085,2.2361,1.1262,140.70,7.64
20,78236,1,11.7098,7.8277,2.4711,1.1282,131.89,6.92
21,51271,1,7.2405,3.8301,2.2995,0.8844,150.13,7.42
22,86529,1,13.0994,9.3515,2.3377,1.1221,136.61,7.31
23,56310,1,7.9168,4.4157,2.3270,0.9274,146.24,7.31
24,24586,1,4.3294,1.1966,2.2607,0.6927,163.43,7.53
25,35659,1,5.3782,2.1017,2.2907,0.7776,156.27,7.42
26,36601,1,5.4645,2.1917,2.2901,0.7819,156.44,7.42
27,27547,1,4.6840,1.4106,2.3411,0.7451,156.41,7.21
28,90282,1,13.8344,10.1171,2.3040,1.1322,137.73,7.42
29,38905,1,5.6936,2.3962,2.2807,0.8030,155.27,7.42
30,38665,1,5.7418,2.3895,2.3229,0.8143,152.73,7.31
31,68405,1,9.7848,6.2035,2.3211,1.0097,142.97,7.31
32,83924,1,12.5920,8.8633,2.3359,1.1024,137.31,7.31
33,40640,1,5.8236,2.5717,2.2560,0.7968,157.45,7.53
34,24760,1,4.4657,1.1997,2.3521,0.7241,156.77,7.21
35,70404,1,10.0724,6.5276,2.2877,1.0007,144.43,7.42
36,74909,1,11.8154,7.3332,2.8739,1.2820,114.23,5.95
37,16245,1,3.7058,0.6327,2.2444,0.6356,166.61,7.53
38,14941,1,3.6717,0.5684,2.2811,0.6377,164.99,7.42
39,35576,1,5.4177,2.1064,2.3199,0.7883,154.62,7.31
40,58665,1,8.2356,4.8040,2.2799,0.9246,149.20,7.42
41,51288,1,7.3266,3.8343,2.3376,0.9100,146.61,7.21
42,70925,1,10.2819,6.6368,2.3579,1.0312,140.46,7.21
43,83377,1,12.5420,8.8043,2.3425,1.0992,136.98,7.31
44,34600,1,5.3347,2.0175,2.3321,0.7866,154.35,7.31
45,17068,1,3.8979,0.7032,2.3290,0.6700,160.27,7.31
46,82662,1,12.2992,8.7074,2.2563,1.0643,142.55,7.53
47,90967,1,14.3672,10.2883,2.5132,1.2479,125.52,6.74
48,36310,1,5.5289,2.1590,2.3503,0.8024,151.93,7.21
49,97404,1,15.2853,11.5487,2.2724,1.1648,137.02,7.53
50,25417,1,4.5891,1.2465,2.3923,0.7505,153.18,7.11
51,67302,1,9.4595,6.0518,2.2185,0.9572,150.25,7.64
52,80841,1,12.4928,8.2784,2.6655,1.2468,121.49,6.40
53,84104,1,12.6603,8.9489,2.3329,1.1059,137.96,7.31
54,46064,1,6.9962,3.1665,2.6225,0.9665,133.69,6.48
55,16285,1,4.0336,0.6344,2.4901,0.7013,150.62,6.83
56,26728,1,4.6139,1.3534,2.3283,0.7325,157.03,7.31
57,60666,1,8.5750,5.0541,2.3156,0.9558,145.41,7.31
58,24235,1,4.3164,1.1466,2.2822,0.7011,161.52,7.42
59,40886,1,5.9138,2.6033,2.2922,0.8101,154.66,7.42
60,47369,1,6.6579,3.3371,2.2640,0.8458,154.18,7.53
61,24987,1,4.4594,1.2307,2.3262,0.7199,158.58,7.31
62,62887,1,8.7561,5.3602,2.2192,0.9243,150.77,7.64
63,32507,1,5.0874,1.8063,2.3133,0.7653,156.05,7.31
64,55848,1,7.9940,4.3661,2.4238,0.9657,141.13,7.01
65,67033,1,9.5186,5.9919,2.3088,0.9765,145.18,7.42
