prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21359,6.2804,0.9639,3.9689,1.0728,96.30,4.83
1,67610,10.0984,6.0610,2.7600,1.0032,126.81,7.42
2,51583,8.7458,3.8428,3.4501,1.1411,104.43,5.82
3,45940,7.8652,3.1744,3.3598,1.0590,109.15,5.95
4,76082,12.3132,7.5120,3.2443,1.2265,106.64,6.40
5,13949,3.8110,0.5210,2.4859,0.6231,155.62,7.64
6,48737,7.3826,3.4710,2.7739,0.8949,130.89,7.21
7,52305,8.7661,3.9293,3.4226,1.1297,105.86,5.89
8,46596,7.4194,3.2436,2.9598,0.9526,122.61,6.74
9,42433,9.1296,2.7835,4.5481,1.4196,80.68,4.38
10,55705,8.8348,4.3710,3.1131,1.0554,114.70,6.48
11,39428,6.6833,2.4571,3.0488,0.9302,121.15,6.48
12,97202,15.9358,11.5802,2.8433,1.1780,117.55,7.53
13,41364,6.8811,2.7022,3.0126,0.9271,122.52,6.56
14,84224,13.2457,9.0205,2.8255,1.1069,121.18,7.42
15,41085,6.6377,2.6677,2.8610,0.8778,128.97,6.92
16,42399,9.2284,2.8016,4.6162,1.4443,79.67,4.30
17,26995,5.3663,1.3663,2.9519,0.8254,128.00,6.56
18,96626,15.7857,11.4487,2.8449,1.1611,118.06,7.53
19,55843,8.5572,4.3698,2.9234,0.9892,122.27,6.92
20,40761,6.9247,2.5909,3.1231,0.9591,118.14,6.32
21,40531,6.3596,2.5583,2.7409,0.8395,134.69,7.21
22,57284,9.4116,4.5731,3.4048,1.1542,105.82,5.95
23,54495,8.1421,4.2143,2.7563,0.9207,130.35,7.31
24,45924,7.7323,3.1634,3.2654,1.0351,112.06,6.10
25,58514,9.8231,4.7844,3.5289,1.2014,101.61,5.75
26,29550,5.6476,1.5650,2.9956,0.8617,125.41,6.48
27,59277,9.1923,4.8435,3.0250,1.0437,117.73,6.74
28,56028,8.4748,4.4170,2.8482,0.9626,126.18,7.11
29,55048,8.2950,4.2859,2.8100,0.9470,127.71,7.21
30,33241,7.9452,1.8929,4.4360,1.2884,84.60,4.41
31,79678,12.2212,8.0910,2.7974,1.0537,123.96,7.53
32,76968,11.9942,7.6576,2.9421,1.1048,118.06,7.11
33,45169,7.2710,3.0752,3.0114,0.9435,122.03,6.65
34,67357,10.6840,6.0573,3.1930,1.1394,110.66,6.48
35,80060,12.5207,8.1325,2.9656,1.1249,116.68,7.11
36,34953,6.2243,2.0497,3.0385,0.8970,122.65,6.48
37,44079,7.0400,2.9502,2.9333,0.9140,125.19,6.83
38,41330,6.4473,2.6749,2.7286,0.8322,135.72,7.31
39,59768,11.6166,4.9195,4.6767,1.6086,76.45,4.38
40,48911,7.6470,3.5044,2.9525,0.9462,123.60,6.83
41,50562,8.0694,3.7317,3.0818,1.0038,118.03,6.56
42,68646,10.3138,6.2458,2.7951,1.0041,125.86,7.42
43,34493,6.2422,1.9995,3.0832,0.9081,120.68,6.40
44,80249,12.4624,8.2356,2.8402,1.0835,121.13,7.42
45,45433,7.3234,3.1238,3.0079,0.9451,121.92,6.65
46,42940,7.1518,2.8328,3.0835,0.9602,118.55,6.48
47,66384,10.2439,5.9178,2.9915,1.0549,118.35,6.92
48,62497,9.7107,5.3022,3.0556,1.0551,116.14,6.74
49,64922,9.6965,5.6712,2.7926,0.9779,127.20,7.42
50,64331,10.2553,5.5871,3.2387,1.1325,109.68,6.40
51,60831,9.3960,5.0788,3.0140,1.0349,118.60,6.83
