prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,18326,4.2328,0.7685,2.4934,0.7610,147.79,6.56
1,11544,4.6088,0.4136,3.0815,0.8794,122.04,5.22
2,10568,4.0017,0.3649,2.6725,0.7575,140.78,6.02
3,18029,4.0051,0.7634,2.3335,0.7098,157.94,7.01
4,41716,6.9174,2.7247,2.9025,1.0350,122.12,5.89
5,10096,4.2701,0.3482,2.8896,0.8166,130.55,5.57
6,10024,3.7548,0.3405,2.5107,0.7102,149.96,6.40
7,19917,4.5570,0.8679,2.6547,0.8140,138.79,6.17
8,10862,4.9244,0.3808,3.3361,0.9468,112.69,4.83
9,11344,3.8415,0.3936,2.5308,0.7177,148.50,6.40
10,11855,4.9808,0.4145,3.3462,0.9554,112.13,4.83
11,10902,4.2384,0.3779,2.8320,0.8037,132.62,5.69
12,27177,5.2747,1.3720,2.7616,0.8968,131.19,6.02
13,14437,4.0436,0.5456,2.5407,0.7466,146.37,6.40
14,35238,6.1721,2.0630,2.8679,0.9869,124.60,5.89
15,11712,3.6946,0.4246,2.4057,0.6844,156.57,6.74
16,12495,4.7588,0.4575,3.1429,0.9075,119.03,5.17
17,11044,4.1300,0.3877,2.7491,0.7783,136.81,5.89
18,10527,4.1823,0.3613,2.8082,0.7931,134.00,5.75
19,13411,3.9829,0.4885,2.5339,0.7413,146.52,6.40
20,10457,4.1888,0.3606,2.8141,0.7930,133.74,5.75
21,10790,4.2045,0.3755,2.8176,0.7951,133.71,5.75
22,10404,3.8481,0.3596,2.5679,0.7230,146.77,6.32
23,15728,4.2683,0.6027,2.6588,0.7825,139.68,6.17
24,26966,5.0939,1.3658,2.6478,0.8552,137.34,6.32
25,12323,3.9567,0.4446,2.5689,0.7371,145.78,6.32
26,11195,3.6747,0.3858,2.4127,0.6814,155.68,6.74
27,22347,4.8694,1.0247,2.7527,0.8609,133.17,6.02
28,13522,4.7375,0.5074,3.0802,0.8990,121.04,5.28
29,10273,4.0430,0.3507,2.7198,0.7654,138.67,5.95
30,16377,4.3936,0.6300,2.7187,0.8066,136.04,6.02
31,20281,5.4071,0.8975,3.2499,0.9952,113.54,5.07
32,15228,4.2767,0.5841,2.6858,0.7881,138.66,6.10
33,22027,5.0701,1.0008,2.9130,0.9107,125.82,5.69
34,17265,4.2723,0.7115,2.5639,0.7766,143.79,6.40
35,18853,5.0030,0.8033,3.0255,0.9170,121.91,5.45
36,13837,3.9279,0.5213,2.4841,0.7246,150.29,6.56
37,13876,3.9760,0.5175,2.5164,0.7340,148.04,6.48
38,15159,4.0594,0.5836,2.5295,0.7415,147.30,6.48
39,10208,4.4753,0.3489,3.0387,0.8549,124.08,5.33
40,10534,3.6368,0.3639,2.4073,0.6781,156.44,6.74
41,16395,4.8671,0.6674,3.0493,0.9023,121.92,5.39
42,12255,4.2207,0.4444,2.7738,0.7896,135.58,5.89
43,18939,4.9571,0.8006,2.9987,0.9078,123.18,5.51
44,15711,4.4540,0.6090,2.7870,0.8215,133.16,5.89
45,13064,3.8501,0.4802,2.4570,0.7131,151.93,6.65
46,10727,4.2446,0.3706,2.8517,0.8038,132.16,5.69
47,23977,5.2157,1.1217,2.9235,0.9198,125.06,5.69
48,11778,4.0050,0.4169,2.6311,0.7484,142.69,6.17
49,12792,4.3101,0.4666,2.8011,0.8142,133.21,5.82
50,14726,4.9116,0.5582,3.1666,0.9256,117.61,5.17
51,10196,4.7690,0.3450,3.2587,0.9171,115.73,4.97
52,11261,3.6781,0.3899,2.4153,0.6824,155.71,6.74
53,12585,5.4381,0.4604,3.6383,1.0511,102.86,4.49
54,14256,4.7101,0.5332,3.0368,0.8857,122.58,5.39
55,23746,4.5246,1.1059,2.4442,0.7657,149.76,6.83
56,12948,4.3216,0.4786,2.8103,0.8141,133.23,5.82
57,15425,3.9909,0.5843,2.4730,0.7243,150.30,6.65
58,18778,4.4196,0.8003,2.6169,0.7909,141.46,6.32
59,10494,4.0287,0.3640,2.7015,0.7579,139.71,6.02
60,20473,4.5965,0.8952,2.6645,0.8093,138.33,6.24
61,11249,3.7668,0.3913,2.4831,0.7006,151.68,6.56
62,23252,4.6877,1.0831,2.5793,0.8039,142.04,6.48
63,16905,4.8551,0.7008,2.9959,0.9021,123.24,5.51
64,11314,4.1591,0.3946,2.7698,0.7811,136.01,5.89
65,30625,5.8752,1.6452,2.9806,0.9845,121.04,5.69
66,20667,4.5763,0.9210,2.6238,0.8030,140.07,6.32
67,27118,5.2037,1.3680,2.7216,0.8763,133.48,6.17
68,10298,5.2960,0.3508,3.6431,1.0246,103.53,4.45
69,10872,4.7838,0.3821,3.2414,0.9130,116.32,5.02
70,11383,4.6905,0.3972,3.1546,0.8899,119.25,5.17
71,13243,3.9089,0.4799,2.4908,0.7240,149.32,6.56
72,13494,4.9660,0.5015,3.2540,0.9455,114.68,5.02
73,13835,4.2035,0.5128,2.6852,0.7796,138.73,6.10
74,28753,5.1324,1.4931,2.5728,0.8324,140.69,6.56
75,12544,3.8187,0.4597,2.4593,0.7085,152.43,6.65
76,11033,3.9772,0.3887,2.6384,0.7435,142.68,6.17
77,11248,4.7148,0.3905,3.1788,0.8984,118.40,5.12
78,14200,4.1780,0.5331,2.6521,0.7731,140.47,6.17
79,12107,4.0746,0.4321,2.6700,0.7603,140.56,6.10
80,10077,4.8975,0.3447,3.3519,0.9429,112.46,4.83
81,12477,4.1190,0.4546,2.6742,0.7696,139.72,6.10
82,10839,3.9083,0.3831,2.5955,0.7332,145.24,6.24
83,25070,5.4257,1.2215,3.0034,0.9544,121.78,5.57
84,37340,6.0856,2.2503,2.6763,0.9180,133.50,6.40
85,18897,4.7400,0.8024,2.8356,0.8596,130.03,5.82
86,10756,4.0345,0.3715,2.6905,0.7589,139.77,6.02
87,22514,5.4785,1.0337,3.1849,0.9945,115.19,5.22
88,18708,4.2861,0.7970,2.5101,0.7605,146.74,6.56
89,17398,4.5440,0.7082,2.7654,0.8352,133.48,5.95
90,10205,3.7807,0.3477,2.5256,0.7120,149.14,6.40
91,10487,3.7668,0.3619,2.5023,0.7046,150.37,6.48
92,28674,5.2500,1.4898,2.6666,0.8634,136.16,6.32
93,12407,4.1926,0.4465,2.7359,0.7863,136.67,5.95
94,12121,4.2481,0.4366,2.7972,0.7967,134.33,5.82
95,12018,5.7039,0.4337,3.8740,1.1020,97.15,4.20
96,10614,3.9424,0.3653,2.6273,0.7412,143.13,6.17
97,40412,6.9291,2.5404,3.0419,1.0620,116.66,5.69
98,13101,3.8630,0.4844,2.4634,0.7146,151.54,6.65
99,10045,4.1699,0.3448,2.8182,0.7917,133.85,5.75
100,11466,4.2071,0.4065,2.7895,0.7912,134.71,5.82
101,11673,4.1353,0.4049,2.7337,0.7751,137.25,5.95
102,43019,7.1217,2.8376,2.9564,1.0560,119.51,5.89
103,13310,3.9438,0.4850,2.5195,0.7317,148.03,6.48
