prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21359,5.7085,0.9626,3.3923,1.0806,107.88,4.79
1,67610,10.1657,6.0398,2.6792,1.1329,124.09,6.56
2,51583,8.0594,3.8504,2.8359,1.0993,121.64,6.02
3,45940,7.7009,3.1698,3.0869,1.1433,113.00,5.51
4,76082,12.2634,7.5050,3.0705,1.3468,107.60,5.82
5,13949,3.7660,0.5200,2.3483,0.6974,157.73,6.83
6,48737,7.3526,3.4750,2.6275,0.9941,132.04,6.48
7,52305,8.5545,3.9134,3.1273,1.2054,110.32,5.51
8,46596,7.7362,3.2277,3.0551,1.1506,113.56,5.57
9,42433,8.4352,2.7856,3.8753,1.4178,90.63,4.38
10,55705,8.6481,4.3564,2.8764,1.1340,119.30,6.02
11,39428,6.5475,2.4504,2.8275,1.0110,124.97,5.95
12,97202,16.0456,11.5364,2.8287,1.3321,113.55,6.65
13,41364,6.7593,2.6763,2.8046,1.0091,125.40,6.02
14,84224,13.3168,8.9731,2.7829,1.2488,117.87,6.56
15,41085,6.5798,2.6501,2.7119,0.9721,130.29,6.24
16,42399,8.7700,2.7811,4.1050,1.5033,85.49,4.13
17,26995,5.2836,1.3651,2.7672,0.9085,130.66,5.95
18,96626,15.9173,11.4178,2.8222,1.3151,113.79,6.65
19,55843,8.4549,4.3669,2.7418,1.0813,125.24,6.32
20,40761,6.6151,2.5887,2.7698,0.9935,127.16,6.10
21,40531,6.3424,2.5607,2.5991,0.9324,135.39,6.48
22,57284,9.2329,4.5489,3.1369,1.2327,109.31,5.57
23,54495,8.1937,4.2168,2.6672,1.0379,128.74,6.48
24,45924,7.5576,3.1678,3.0092,1.1059,116.63,5.69
25,58514,9.8349,4.7810,3.3838,1.3354,101.31,5.17
26,29550,5.5312,1.5644,2.7894,0.9370,129.07,5.95
27,59277,9.1727,4.8506,2.8756,1.1520,118.46,6.10
28,56028,8.5182,4.4134,2.7458,1.0808,124.73,6.32
29,55048,8.2931,4.2913,2.6790,1.0519,127.94,6.48
30,33241,7.2800,1.8828,3.7748,1.2872,94.86,4.41
31,79678,12.3544,8.1205,2.7212,1.1911,120.93,6.65
32,76968,14.7475,7.6961,4.5785,1.9919,72.61,3.94
33,45169,7.2183,3.0885,2.8302,1.0400,123.98,6.02
34,67357,10.6981,6.0967,3.0292,1.2525,111.27,5.89
35,80060,15.3147,8.1659,4.6123,2.0294,71.62,3.94
36,34953,6.1433,2.0548,2.8383,0.9863,125.23,5.89
37,44079,9.3603,2.9672,4.3885,1.6059,80.09,3.88
38,41330,6.4833,2.6829,2.6089,0.9373,134.72,6.48
39,59768,10.9470,4.9402,4.0000,1.6060,85.24,4.38
40,48911,7.6202,3.5162,2.7860,1.0457,124.76,6.17
41,50562,7.9643,3.7362,2.8558,1.0918,121.09,6.02
42,68646,10.4185,6.2626,2.7155,1.1341,123.20,6.56
43,34493,6.0582,2.0062,2.8145,0.9740,126.36,5.95
44,80249,12.5523,8.2420,2.7693,1.2240,118.78,6.56
45,45433,7.2640,3.1349,2.8327,1.0416,124.00,6.02
46,42940,7.0197,2.8474,2.8638,1.0434,122.71,5.95
47,66384,10.3125,5.9389,2.8923,1.1819,117.07,6.17
48,62497,10.1698,5.3222,3.2195,1.2881,105.62,5.51
49,64922,9.7927,5.6854,2.7092,1.1056,124.66,6.56
50,64331,10.1755,5.6025,3.0248,1.2302,111.96,5.89
51,60831,9.5006,5.0985,2.9177,1.1696,116.31,6.02
52,61279,9.4625,5.1643,2.8620,1.1436,119.12,6.17
53,32350,7.1991,1.7822,3.7931,1.2788,94.52,4.41
54,36657,6.2832,2.2050,2.8371,0.9832,125.55,5.95
55,91417,14.9995,10.4447,2.8977,1.3277,112.41,6.40
56,65436,10.8219,5.7728,3.3445,1.3618,101.41,5.33
57,46663,7.2050,3.2512,2.6774,1.0009,129.49,6.40
58,53750,8.0969,4.1165,2.6783,1.0293,128.63,6.48
59,59395,9.3309,4.8830,2.9619,1.1795,115.11,5.95
60,40279,6.6306,2.5516,2.8153,1.0013,125.52,6.02
