prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,8.7492,4.5330,3.0692,0.9145,121.43,7.53
1,81646,12.8505,8.4515,3.0710,1.0582,116.39,7.64
2,76090,12.1015,7.4822,3.2382,1.0892,110.84,7.21
3,77617,12.1127,7.7376,3.0662,1.0300,117.03,7.64
4,55747,9.2529,4.3524,3.5548,1.0684,104.48,6.40
5,29498,5.3634,1.5602,2.8787,0.7305,134.63,7.64
6,85073,13.7087,9.0829,3.1835,1.1144,110.68,7.42
7,24370,4.9555,1.1606,2.9041,0.6984,134.92,7.53
8,29084,5.5822,1.5299,3.0734,0.7720,126.35,7.11
9,86449,13.8513,9.3799,3.0791,1.0843,114.51,7.64
10,13820,4.3526,0.5237,2.9798,0.6601,133.72,7.21
11,80111,12.8171,8.2119,3.1968,1.0963,111.18,7.31
12,21014,4.9058,0.9367,3.0532,0.7205,129.00,7.11
13,40539,6.6431,2.5648,3.0387,0.8280,125.54,7.31
14,41253,6.8783,2.6713,3.1316,0.8549,121.70,7.11
15,47961,7.6038,3.4116,3.0726,0.8804,122.13,7.31
16,37493,6.3181,2.2648,3.0300,0.8051,126.32,7.31
17,65396,10.2094,5.7457,3.1882,1.0074,114.70,7.21
18,19849,4.8212,0.8654,3.0519,0.7044,129.43,7.11
19,94472,15.6714,11.0333,3.1642,1.1544,110.39,7.53
20,78236,12.6103,7.8667,3.3309,1.1236,107.94,7.01
21,51271,7.8853,3.8347,2.9479,0.8675,126.40,7.64
22,86529,14.0444,9.3752,3.2334,1.1326,109.65,7.31
23,56310,8.7265,4.4306,3.1097,0.9354,119.18,7.31
24,24586,5.0299,1.2002,2.9430,0.7092,133.69,7.42
25,35659,5.9722,2.0997,2.9011,0.7624,132.22,7.64
26,36601,6.1904,2.1873,2.9956,0.7890,127.90,7.42
27,27547,5.3506,1.4044,3.0005,0.7427,129.74,7.31
28,90282,14.5656,10.1204,3.0730,1.0930,115.18,7.76
29,38905,6.6039,2.4061,3.1319,0.8456,121.97,7.11
30,38665,6.3596,2.3879,2.9586,0.7994,128.91,7.53
31,68405,10.7901,6.2152,3.2562,1.0471,111.92,7.11
32,83924,13.5863,8.8719,3.2837,1.1290,108.60,7.21
33,40640,6.6249,2.5700,3.0182,0.8168,126.26,7.42
34,24760,4.8756,1.2002,2.8121,0.6798,139.30,7.76
35,70404,11.2033,6.5495,3.3058,1.0694,110.02,7.01
36,74909,13.8596,7.3492,4.6079,1.5227,78.64,5.07
37,16245,4.4902,0.6339,2.9827,0.6702,132.77,7.21
38,14941,4.3076,0.5627,2.9020,0.6458,136.72,7.42
39,35576,6.1352,2.1014,3.0221,0.7960,126.93,7.31
40,58665,9.0632,4.7932,3.0732,0.9330,119.90,7.42
41,51288,8.1949,3.8349,3.1732,0.9317,117.43,7.11
42,70925,11.2476,6.6319,3.2569,1.0566,110.93,7.11
43,83377,13.3164,8.8193,3.1205,1.0774,113.85,7.53
44,34600,6.0338,2.0114,3.0138,0.7939,127.29,7.31
45,17068,4.4023,0.7030,2.8580,0.6576,138.40,7.53
46,82662,13.2097,8.7081,3.1269,1.0741,113.74,7.53
47,90967,14.8904,10.3091,3.1428,1.1263,111.76,7.53
48,36310,6.2491,2.1696,3.0511,0.8100,125.51,7.21
49,97404,16.3818,11.5662,3.2606,1.2098,106.32,7.31
50,25417,5.2189,1.2515,3.0161,0.7464,129.05,7.21
51,67302,10.5525,6.0508,3.2022,1.0232,113.73,7.21
52,80841,14.1973,8.3044,4.1235,1.4147,86.88,5.69
53,84104,13.6803,8.9805,3.2649,1.1323,108.94,7.21
54,46064,7.8726,3.1692,3.4586,0.9760,108.86,6.48
55,16285,4.8183,0.6378,3.2461,0.7278,122.47,6.65
56,26728,5.0599,1.3497,2.8201,0.6979,138.00,7.76
57,60666,9.4230,5.0581,3.1389,0.9641,117.30,7.31
58,24235,4.9230,1.1468,2.8901,0.6971,135.58,7.53
59,40886,6.4849,2.6007,2.8881,0.7821,131.81,7.76
60,47369,7.3441,3.3365,2.9431,0.8408,127.76,7.64
61,24987,5.0780,1.2219,2.9428,0.7159,132.77,7.42
62,62887,9.6373,5.3696,3.0522,0.9468,119.97,7.53
63,32507,5.8112,1.8074,3.0137,0.7737,127.88,7.31
64,55848,8.6953,4.3719,3.1188,0.9351,118.43,7.31
65,67033,10.3901,6.0287,3.1217,0.9857,117.40,7.42
