prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21359,4.3433,0.9562,2.0535,1.0664,151.16,4.83
1,67610,9.9766,6.0582,2.6575,1.0046,130.66,7.42
2,51583,8.0814,3.8425,2.8030,1.1520,120.79,5.75
3,45940,7.0409,3.1658,2.5091,1.0573,132.13,5.95
4,76082,12.3507,7.4994,3.3115,1.2273,105.54,6.40
5,13949,2.4235,0.5228,1.1003,0.6231,269.37,7.64
6,48737,6.7461,3.4672,2.1532,0.8948,156.15,7.21
7,52305,8.1075,3.9222,2.7711,1.1302,122.33,5.89
8,46596,6.6788,3.2416,2.2423,0.9508,148.96,6.74
9,42433,7.8151,2.7902,3.2518,1.4175,101.89,4.38
10,55705,8.2949,4.3562,2.6160,1.0542,129.99,6.48
11,39428,5.7193,2.4554,2.0978,0.9293,156.87,6.48
12,97202,16.4500,11.5628,3.3911,1.1796,104.76,7.53
13,41364,6.0004,2.6909,2.1358,0.9265,154.71,6.56
14,84224,13.4924,9.0312,3.0817,1.1071,114.77,7.42
15,41085,5.7827,2.6654,2.0182,0.8772,164.24,6.92
16,42399,7.8784,2.8019,3.2793,1.4305,100.86,4.34
17,26995,4.1023,1.3723,1.6887,0.8222,187.54,6.56
18,96626,16.3346,11.4766,3.3852,1.1650,105.39,7.53
19,55843,8.1015,4.3956,2.4585,0.9895,138.16,6.92
20,40761,6.0093,2.6046,2.2028,0.9581,150.38,6.32
21,40531,5.5540,2.5674,1.9216,0.8383,171.43,7.21
22,57284,8.9380,4.5801,2.9014,1.1538,117.49,5.95
23,54495,7.6990,4.2363,2.2900,0.9207,147.86,7.31
24,45924,6.9363,3.1798,2.4539,1.0330,136.30,6.10
25,58514,9.3718,4.8306,3.0499,1.2018,112.75,5.75
26,29550,4.4908,1.5685,1.8106,0.8704,175.20,6.40
27,59277,8.8399,4.8957,2.6299,1.0446,129.81,6.74
28,56028,8.0649,4.4468,2.3995,0.9617,141.51,7.11
29,55048,7.8446,4.3195,2.3350,0.9464,145.24,7.21
30,33241,6.3057,1.8895,2.7951,1.2854,115.94,4.41
31,79678,12.4054,8.1568,2.9167,1.0553,120.51,7.53
32,76968,12.1127,7.7162,3.0059,1.1062,116.46,7.11
33,45169,6.5151,3.1004,2.2258,0.9433,149.94,6.65
34,67357,10.5218,6.0985,2.9946,1.1396,115.75,6.48
35,80060,12.6926,8.1903,3.0990,1.1265,113.72,7.11
36,34953,5.1551,2.0644,1.9582,0.8955,165.66,6.48
37,44079,6.2681,2.9633,2.1354,0.9132,154.93,6.83
38,41330,5.6697,2.6986,1.9178,0.8307,172.33,7.31
39,59768,11.0281,4.9641,4.0750,1.6076,84.43,4.38
40,48911,6.9957,3.5384,2.2814,0.9454,148.09,6.83
41,50562,7.4297,3.7548,2.4270,1.0024,139.32,6.56
42,68646,10.1871,6.2897,2.6479,1.0052,131.37,7.42
43,34493,5.0548,2.0197,1.9223,0.8835,168.69,6.56
44,80249,12.5893,8.2525,2.9732,1.0845,118.06,7.42
45,45433,6.5624,3.1410,2.2367,0.9440,149.64,6.65
46,42940,6.2708,2.8512,2.2152,0.9585,149.72,6.48
47,66384,10.0977,5.9461,2.8095,1.0695,123.33,6.83
48,62497,9.3895,5.3209,2.7272,1.0562,125.84,6.74
49,64922,9.4713,5.7014,2.5444,0.9776,135.81,7.42
50,64331,9.9563,5.6141,2.9299,1.1339,117.91,6.40
51,60831,9.0391,5.1092,2.6436,1.0335,130.29,6.83
52,61279,9.1892,5.1720,2.6935,1.0492,127.45,6.74
53,32350,6.1655,1.7924,2.7596,1.2793,117.08,4.41
54,36657,5.3252,2.2120,1.9904,0.8915,164.46,6.56
55,91417,15.3230,10.4561,3.3892,1.1813,105.20,7.21
56,65436,10.7691,5.7808,3.3793,1.2927,102.64,5.63
57,46663,6.4884,3.2635,2.0977,0.8887,158.76,7.21
58,53750,7.5458,4.1319,2.2702,0.9146,149.98,7.31
59,59395,8.9915,4.8946,2.7345,1.0853,124.97,6.48
60,40279,5.8653,2.5612,2.1288,0.9321,154.96,6.48
61,90110,14.7347,10.1204,3.2039,1.1272,110.96,7.53
62,73819,12.1865,7.1565,3.4463,1.2735,101.79,6.02
63,79005,12.4828,8.0019,3.0728,1.1117,114.26,7.11
64,42322,6.2952,2.7972,2.2531,0.9813,146.37,6.32
65,53902,8.5771,4.1744,2.9203,1.1770,116.29,5.69
66,61769,9.2802,5.2493,2.7051,1.0506,127.02,6.74
67,64889,9.6359,5.6908,2.6558,1.0203,129.78,7.11
68,63342,9.5830,5.4669,2.7550,1.0740,124.39,6.74
69,39113,6.3382,2.4541,2.4944,1.1045,131.82,5.45
70,49547,7.3163,3.6261,2.4228,1.0005,138.75,6.48
71,16319,2.9435,0.6427,1.3560,0.7383,222.53,6.56
72,57675,8.6766,4.6625,2.6859,1.0612,127.55,6.48
73,74334,11.7417,7.2840,3.0538,1.1258,114.86,6.83
74,41988,5.9500,2.7602,2.0740,0.9004,160.51,6.83
75,46074,6.3390,3.1948,2.0550,0.8650,162.84,7.31
76,60183,8.6229,5.0400,2.4116,0.9495,142.90,7.42
77,52145,7.6888,3.9334,2.4774,1.0118,136.34,6.56
78,37351,5.8511,2.2788,2.2935,1.0213,143.32,5.75
79,41649,5.9284,2.7389,2.0638,0.8925,160.53,6.83
80,52871,7.4516,4.0584,2.2437,0.9112,150.89,7.31
81,65038,9.4863,5.7187,2.5515,0.9783,135.90,7.42
82,40139,5.8791,2.5323,2.1525,0.9435,152.98,6.40
83,51847,7.3349,3.9272,2.2437,0.9200,150.25,7.21
84,79672,12.7254,8.1697,3.1335,1.1314,112.38,7.01
85,65911,10.1785,5.8714,2.9115,1.1087,118.87,6.56
86,35847,5.1411,2.1251,1.9147,0.8654,169.76,6.74
87,51204,7.5786,3.8166,2.4769,1.0225,136.10,6.48
88,96615,19.8789,11.5067,5.8860,2.0170,61.16,4.34
89,62300,9.8963,5.3370,3.0851,1.1924,112.30,5.95
90,56180,8.3251,4.4643,2.5731,1.0282,132.62,6.65
91,94730,20.5390,11.0977,6.6207,2.2897,54.23,3.79
92,59788,9.0430,4.9825,2.7167,1.0713,126.10,6.56
93,74351,11.6274,7.2772,2.9751,1.0956,117.70,7.01
94,55590,8.2331,4.3951,2.5490,1.0267,133.40,6.65
