prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,18326,3.1301,0.7740,1.4080,0.7476,217.31,6.65
1,11544,2.9656,0.4136,1.4457,0.8707,200.63,5.28
2,10568,2.9407,0.3696,1.4434,0.8910,199.14,5.12
3,18029,2.9867,0.7599,1.3243,0.7074,229.94,7.01
4,41716,6.6557,2.7229,2.6169,1.0490,130.19,5.82
5,10096,2.6984,0.3492,1.3100,0.8180,217.94,5.57
6,10024,2.3787,0.3475,1.1352,0.7116,252.06,6.40
7,19917,3.5194,0.8602,1.5984,0.8238,192.54,6.10
8,10862,3.1355,0.3830,1.5485,0.9474,186.01,4.83
9,11344,2.5237,0.3954,1.2039,0.7283,240.56,6.32
10,11855,3.2391,0.4218,1.6001,0.9557,181.73,4.83
11,10902,2.7502,0.3845,1.3314,0.8137,216.43,5.63
12,27177,4.4288,1.3758,1.9206,0.8963,167.70,6.02
13,14437,2.8336,0.5428,1.3275,0.7541,223.51,6.32
14,35238,5.6234,2.0661,2.3109,0.9883,143.93,5.89
15,11712,2.4305,0.4202,1.1431,0.6847,254.68,6.74
16,12495,3.1367,0.4565,1.5235,0.9088,191.03,5.17
17,11044,2.6310,0.3920,1.2630,0.7702,228.67,5.95
18,10527,2.6602,0.3640,1.2846,0.7930,222.98,5.75
19,13411,2.7064,0.4906,1.2698,0.7424,231.07,6.40
20,10457,2.6527,0.3644,1.2820,0.7931,223.75,5.75
21,10790,2.6809,0.3756,1.2969,0.7947,222.10,5.75
22,10404,2.4422,0.3586,1.1647,0.7207,245.73,6.32
23,15728,3.0437,0.6059,1.4285,0.7901,210.02,6.10
24,26966,4.3031,1.3687,1.8435,0.8634,174.48,6.24
25,12323,2.6256,0.4501,1.2417,0.7376,235.35,6.32
26,11195,2.3804,0.3935,1.1232,0.6812,257.69,6.74
27,22347,3.8693,1.0289,1.7397,0.8696,180.26,5.95
28,13522,3.1957,0.4999,1.5434,0.8997,189.93,5.28
29,10273,2.5263,0.3482,1.2183,0.7557,235.07,6.02
30,16377,3.1450,0.6371,1.4729,0.8032,204.16,6.02
31,20281,4.0967,0.9042,1.9396,0.9937,160.38,5.07
32,15228,2.9991,0.5869,1.4071,0.7856,212.25,6.10
33,22027,3.9958,1.0015,1.8274,0.9183,170.99,5.63
34,17265,3.1506,0.7072,1.4377,0.7830,209.54,6.32
35,18853,3.7050,0.7969,1.7382,0.9138,176.06,5.45
36,13837,2.7036,0.5184,1.2552,0.7244,234.31,6.56
37,13876,2.7273,0.5194,1.2724,0.7340,231.90,6.48
38,15159,2.8474,0.5848,1.3217,0.7396,226.28,6.48
39,10208,2.7778,0.3468,1.3565,0.8447,210.62,5.39
40,10534,2.3020,0.3663,1.0845,0.6688,264.50,6.83
41,16395,3.4577,0.6747,1.6482,0.8986,183.98,5.39
42,12255,2.7785,0.4428,1.3317,0.7907,219.21,5.89
43,18939,3.6847,0.8053,1.7261,0.9047,177.82,5.51
44,15711,3.1331,0.6130,1.4772,0.8179,203.17,5.89
45,13064,2.6024,0.4833,1.2087,0.7148,241.61,6.65
46,10727,2.7006,0.3668,1.3094,0.8039,219.39,5.69
47,23977,4.2553,1.1288,1.9353,0.9387,163.76,5.57
48,11778,2.6754,0.4199,1.2817,0.7660,227.00,6.02
49,12792,2.8781,0.4693,1.3682,0.8141,212.55,5.82
50,14726,3.3723,0.5602,1.6331,0.9227,182.07,5.17
51,10196,2.6242,0.3493,1.2720,0.7918,225.06,5.75
52,11261,2.4152,0.3915,1.1417,0.6912,253.00,6.65
53,12585,3.5362,0.4610,1.7471,1.0417,166.49,4.53
54,14256,3.2168,0.5306,1.5471,0.8845,190.60,5.39
55,23746,3.6489,1.1080,1.5703,0.7641,201.50,6.83
56,12948,2.9203,0.4763,1.3920,0.8240,209.49,5.75
57,15425,2.8168,0.5893,1.2987,0.7224,229.85,6.65
58,18778,3.3010,0.8002,1.4985,0.7882,204.73,6.32
59,10494,2.5542,0.3709,1.2270,0.7577,234.51,6.02
60,20473,3.5159,0.9025,1.5840,0.8069,195.92,6.24
61,11249,2.4415,0.3929,1.1554,0.6998,249.93,6.56
62,23252,3.7489,1.0852,1.6362,0.8027,192.21,6.48
63,16905,3.8117,0.7071,1.8289,1.0045,164.92,4.92
64,11314,2.6819,0.3988,1.2910,0.7819,224.26,5.89
65,30625,5.0365,1.6450,2.1605,0.9721,150.96,5.75
66,20667,3.5110,0.9257,1.5740,0.8011,198.04,6.32
67,27118,4.3569,1.3727,1.8743,0.8760,171.57,6.17
68,10298,3.3029,0.3506,1.6501,1.0231,173.42,4.45
69,10872,2.6421,0.3792,1.2717,0.7777,226.26,5.89
70,11383,3.0566,0.4052,1.5022,0.9068,193.11,5.07
71,13243,2.6479,0.4873,1.2321,0.7234,236.97,6.56
72,13494,3.5258,0.5035,1.7325,1.0121,169.41,4.70
73,13835,2.8672,0.5209,1.3524,0.7805,218.21,6.10
74,28753,4.3805,1.4996,1.8247,0.8331,177.72,6.56
75,12544,2.5536,0.4624,1.1902,0.7087,244.84,6.65
76,11033,2.5312,0.3945,1.2064,0.7350,239.62,6.24
77,11248,3.0142,0.3962,1.4812,0.8983,195.57,5.12
78,14200,2.8693,0.5350,1.3479,0.7722,219.34,6.17
