prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,7.9779,4.5356,2.2801,0.9322,148.74,7.42
1,81646,12.6808,8.4722,2.8391,1.0806,121.66,7.53
2,76090,11.8489,7.5335,2.8963,1.1265,118.64,7.01
3,77617,11.7945,7.7907,2.7011,1.0372,127.88,7.64
4,55747,9.4534,4.3810,3.3381,1.3826,100.94,4.97
5,29498,4.0795,1.5614,1.5728,0.7421,203.33,7.53
6,85073,13.3654,9.1143,2.8804,1.0900,120.44,7.64
7,24370,3.5693,1.1574,1.4924,0.7198,212.27,7.31
8,29084,4.1277,1.5324,1.6280,0.7629,197.28,7.21
9,86449,13.9897,9.3717,3.1241,1.1745,110.87,7.11
10,13820,2.5388,0.5248,1.1929,0.6419,254.22,7.42
11,80111,12.5306,8.1954,2.9206,1.1198,118.10,7.21
12,21014,3.2608,0.9388,1.4179,0.7134,220.50,7.21
13,40539,5.3832,2.5648,1.8116,0.7956,181.67,7.64
14,41253,5.6414,2.6631,1.9130,0.8347,171.91,7.31
15,47961,6.6887,3.3861,2.1404,0.9107,155.03,7.11
16,37493,5.1044,2.2578,1.8169,0.8086,179.87,7.31
17,65396,9.5519,5.7196,2.5466,1.0133,133.60,7.21
18,19849,2.9826,0.8597,1.2883,0.6488,241.18,7.76
19,94472,15.4869,11.0006,3.0548,1.1280,114.13,7.76
20,78236,12.1120,7.8524,2.8705,1.1010,120.20,7.21
21,51271,7.1060,3.8391,2.1370,0.8973,156.72,7.42
22,86529,13.8547,9.3876,3.0377,1.1432,114.62,7.31
23,56310,8.2235,4.4357,2.4925,1.0223,135.17,6.74
24,24586,3.5452,1.2052,1.4601,0.7006,218.80,7.53
25,35659,4.9062,2.1071,1.7776,0.7992,182.92,7.31
26,36601,4.9825,2.2059,1.7712,0.7933,184.40,7.42
27,27547,3.8950,1.4084,1.5513,0.7328,205.90,7.42
28,90282,14.5279,10.1713,2.9583,1.1011,117.52,7.76
29,38905,7.6297,2.4113,3.3499,1.4868,98.11,4.06
30,38665,5.2561,2.3947,1.8223,0.8140,178.93,7.42
31,68405,10.0873,6.2508,2.5575,1.0104,133.46,7.42
32,83924,13.3133,8.9298,2.9799,1.1215,116.80,7.31
33,40640,5.4480,2.5731,1.8433,0.8074,178.09,7.53
34,24760,3.5615,1.2106,1.4578,0.7010,217.78,7.53
35,70404,10.6819,6.5741,2.7561,1.0760,124.64,7.01
36,74909,11.9806,7.3707,3.1105,1.1979,111.07,6.48
37,16245,2.8058,0.6384,1.2985,0.6711,236.23,7.21
38,14941,2.7139,0.5707,1.2772,0.6738,238.90,7.11
39,35576,4.8506,2.1079,1.7462,0.7871,186.68,7.42
40,58665,8.3651,4.8038,2.3476,0.9523,143.77,7.31
41,51288,7.1771,3.8491,2.1692,0.9107,153.84,7.31
42,70925,10.6567,6.6369,2.6910,1.0496,127.37,7.21
43,83377,13.0030,8.8346,2.8326,1.0705,122.83,7.64
44,34600,4.6906,2.0133,1.6989,0.7748,191.23,7.53
45,17068,2.8721,0.6966,1.2962,0.6777,235.35,7.31
46,82662,12.9265,8.6895,2.8571,1.0823,120.84,7.53
47,90967,14.9196,10.2940,3.1555,1.1694,110.69,7.31
48,36310,5.0807,2.1668,1.8620,0.8382,175.71,7.01
49,97404,16.4498,11.5766,3.3174,1.2202,105.06,7.31
50,25417,3.7530,1.2604,1.5400,0.7490,205.41,7.21
51,67302,9.7133,6.0766,2.4103,0.9575,140.79,7.76
52,80841,13.9803,8.3498,3.8165,1.4586,90.93,5.57
53,84104,13.4144,9.0245,2.9836,1.1259,116.63,7.31
54,46064,6.7219,3.1847,2.3027,0.9804,144.75,6.48
55,16285,2.8105,0.6349,1.2995,0.6725,235.34,7.21
56,26728,3.8144,1.3583,1.5293,0.7304,208.46,7.42
57,60666,8.6480,5.0727,2.3640,0.9573,143.21,7.42
58,24235,3.5513,1.1489,1.4862,0.7187,213.12,7.31
59,40886,5.5360,2.6001,1.8824,0.8218,174.39,7.42
60,47369,6.3884,3.3432,1.9786,0.8457,168.13,7.64
61,24987,3.6141,1.2185,1.4790,0.7171,213.72,7.42
62,62887,8.9602,5.3744,2.3770,0.9527,142.78,7.53
63,32507,4.4902,1.8014,1.6952,0.7763,190.42,7.31
64,55848,7.8309,4.3674,2.2737,0.9397,147.83,7.31
65,67033,9.7220,6.0084,2.4752,0.9786,137.87,7.53
