prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,41.5197,13.0442,11.6031,15.6823,17.98,1.04
1,81646,28.5853,22.6780,2.5125,2.9970,86.67,6.17
2,76090,26.7623,20.4680,2.6746,3.2859,81.34,5.51
3,77617,27.0991,21.0896,2.5704,3.1187,85.20,5.82
4,55747,40.9652,12.6363,11.4007,15.6555,18.07,1.04
5,29498,9.0348,5.1521,1.3462,2.3110,131.87,6.02
6,85073,30.4373,24.3035,2.6620,3.1273,83.47,6.02
7,24370,7.8223,3.9475,1.2941,2.3448,132.13,5.69
8,29084,9.1197,5.0450,1.4102,2.4159,125.65,5.69
9,86449,31.3698,24.9851,2.7777,3.2476,80.19,5.82
10,13820,5.3279,1.9733,0.9990,2.1545,152.63,5.82
11,80111,28.3410,22.1557,2.6600,3.1955,82.78,5.75
12,21014,7.0694,3.2921,1.2185,2.3395,135.55,5.63
13,40539,12.1247,7.9276,1.5656,2.3996,121.99,6.17
14,41253,12.6716,8.1905,1.6804,2.5500,114.26,5.82
15,47961,14.8033,10.1219,1.8058,2.6041,109.37,5.95
16,37493,11.5542,7.1271,1.6222,2.5469,115.65,5.69
17,65396,29.0518,16.0818,5.4017,6.9579,39.48,2.45
18,19849,6.5365,3.0638,1.1121,2.1556,147.44,6.02
19,94472,35.6123,28.8976,2.9781,3.3760,76.25,5.82
20,78236,27.5339,21.3491,2.6376,3.1975,82.78,5.69
21,51271,16.2056,11.2606,1.9323,2.7253,103.54,5.82
22,86529,42.5694,25.0216,7.7348,9.0499,29.18,2.09
23,56310,17.8824,12.7924,2.0312,2.7633,100.59,5.89
24,24586,7.8347,4.0890,1.2620,2.2692,136.69,5.89
25,35659,10.8345,6.6595,1.5108,2.4196,122.63,5.95
26,36601,11.3120,6.9029,1.6040,2.5422,116.12,5.69
27,27547,8.6550,4.6869,1.3508,2.3494,129.03,5.82
28,90282,32.8940,26.7842,2.6822,3.0853,83.80,6.24
29,38905,11.8372,7.5179,1.5938,2.4740,118.54,5.95
30,38665,12.0735,7.4712,1.6935,2.6464,111.25,5.57
31,68405,22.9866,17.3198,2.3711,3.0184,90.35,5.75
32,83924,30.1004,23.8252,2.7243,3.1983,81.59,5.82
33,40640,12.2100,7.9773,1.5911,2.4289,120.96,6.10
34,24760,7.8621,4.1005,1.2657,2.2725,136.11,5.89
35,70404,24.0449,18.0964,2.5009,3.1341,86.07,5.57
36,74909,26.1247,20.0442,2.5891,3.1732,84.20,5.63
37,16245,5.8819,2.3618,1.0901,2.2198,145.45,5.69
38,14941,5.0813,2.1453,0.8895,1.8674,174.38,6.74
39,35576,10.7877,6.6638,1.4879,2.3886,124.16,6.02
40,58665,18.9527,13.7313,2.0816,2.7842,98.06,5.89
41,51288,16.3133,11.2698,1.9724,2.7853,101.52,5.69
42,70925,23.7747,18.3418,2.2942,2.8661,94.24,6.10
43,83377,29.8119,23.6405,2.6704,3.1571,82.96,5.89
44,34600,10.5970,6.4100,1.5032,2.4384,122.28,5.89
45,17068,6.0210,2.5631,1.0698,2.1830,148.06,5.89
46,82662,29.5213,23.3634,2.6568,3.1514,83.15,5.89
47,90967,34.0584,27.2205,3.0249,3.4680,74.88,5.57
48,36310,11.2297,6.8531,1.5917,2.5369,116.99,5.69
49,97404,37.1985,30.2623,3.0857,3.4698,73.82,5.75
50,25417,8.1210,4.2630,1.2928,2.3357,132.71,5.82
51,67302,22.7356,16.9182,2.4202,3.0909,88.01,5.57
52,80841,40.5026,22.4331,7.8635,9.4145,28.34,1.96
53,84104,29.9669,24.0433,2.5713,3.0190,86.43,6.17
54,46064,35.8414,9.5545,10.2360,14.8615,19.48,1.03
55,16285,5.8779,2.3540,1.0900,2.2176,145.29,5.69
56,26728,8.3226,4.5468,1.2817,2.2605,135.60,6.02
57,60666,19.7284,14.4283,2.1537,2.8555,96.60,5.82
58,24235,7.7051,3.9262,1.2614,2.2904,135.49,5.82
59,40886,12.4555,8.0127,1.6570,2.5135,115.24,5.89
60,47369,14.7742,9.9638,1.8504,2.6863,106.44,5.75
61,24987,7.8731,4.1482,1.2469,2.2509,137.46,5.95
62,62887,20.6232,15.1919,2.2296,2.9089,94.27,5.75
63,32507,9.8852,5.8456,1.4320,2.3626,126.75,5.95
64,55848,17.9541,12.6651,2.1036,2.8853,96.81,5.63
65,67033,22.2532,16.7699,2.2782,2.9062,93.37,5.89
