prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,18326,13.6801,2.5387,0.0000,0.0000,45.95,0.00
1,11544,12.5482,1.5253,0.0000,0.0000,46.45,0.00
2,10568,12.3916,1.3904,0.0000,0.0000,46.54,0.00
3,18029,13.6663,2.5045,0.0000,0.0000,45.87,0.00
4,41716,18.5469,6.8611,0.0000,0.0000,43.81,0.00
5,10096,12.3063,1.3239,0.0000,0.0000,46.62,0.00
6,10024,12.2966,1.3250,0.0000,0.0000,46.67,0.00
7,19917,13.9985,2.7806,0.0000,0.0000,45.64,0.00
8,10862,12.4373,1.4292,0.0000,0.0000,46.51,0.00
9,11344,12.5224,1.5007,0.0000,0.0000,46.45,0.00
10,11855,12.5988,1.5666,0.0000,0.0000,46.41,0.00
11,10902,12.4422,1.4333,0.0000,0.0000,46.51,0.00
12,27177,15.4000,4.0468,0.0000,0.0000,45.10,0.00
13,14437,13.0509,1.9717,0.0000,0.0000,46.21,0.00
14,35238,17.0695,5.5496,0.0000,0.0000,44.44,0.00
15,11712,12.5587,1.5297,0.0000,0.0000,46.42,0.00
16,12495,12.7342,1.6789,0.0000,0.0000,46.31,0.00
17,11044,12.4652,1.4604,0.0000,0.0000,46.53,0.00
18,10527,12.3911,1.3904,0.0000,0.0000,46.54,0.00
19,13411,12.8866,1.8217,0.0000,0.0000,46.27,0.00
20,10457,12.3624,1.3678,0.0000,0.0000,46.57,0.00
21,10790,12.4349,1.4261,0.0000,0.0000,46.51,0.00
22,10404,12.3622,1.3612,0.0000,0.0000,46.54,0.00
23,15728,13.2515,2.1405,0.0000,0.0000,46.08,0.00
24,26966,15.3670,4.0164,0.0000,0.0000,45.11,0.00
25,12323,12.7161,1.6666,0.0000,0.0000,46.34,0.00
26,11195,12.4815,1.4660,0.0000,0.0000,46.48,0.00
27,22347,14.4488,3.2050,0.0000,0.0000,45.54,0.00
28,13522,12.8979,1.8297,0.0000,0.0000,46.26,0.00
29,10273,12.3367,1.3571,0.0000,0.0000,46.63,0.00
