prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21359,14.2408,3.0257,0.0000,0.0000,45.65,0.00
1,67610,25.3089,13.1238,0.0000,0.0000,42.02,0.00
2,51583,20.9362,9.1264,0.0000,0.0000,43.35,0.00
3,45940,19.5478,7.8121,0.0000,0.0000,43.63,0.00
4,76082,27.9475,15.5775,0.0000,0.0000,41.39,0.00
5,13949,12.9538,1.8970,0.0000,0.0000,46.31,0.00
6,48737,20.2687,8.4608,0.0000,0.0000,43.36,0.00
7,52305,21.1544,9.2793,0.0000,0.0000,43.12,0.00
8,46596,19.7463,7.9871,0.0000,0.0000,43.54,0.00
9,42433,18.7070,7.0419,0.0000,0.0000,43.89,0.00
10,55705,22.0461,10.1087,0.0000,0.0000,42.89,0.00
11,39428,18.0043,6.4407,0.0000,0.0000,44.28,0.00
12,97202,35.0095,22.2243,0.0000,0.0000,40.05,0.00
13,41364,18.4765,6.8218,0.0000,0.0000,43.93,0.00
14,84224,30.5320,18.0297,0.0000,0.0000,40.95,0.00
15,41085,18.4030,6.7552,0.0000,0.0000,43.96,0.00
16,42399,18.7083,7.0382,0.0000,0.0000,43.87,0.00
17,26995,15.3632,4.0123,0.0000,0.0000,45.11,0.00
18,96626,34.8057,22.0535,0.0000,0.0000,40.15,0.00
19,55843,22.1164,10.1679,0.0000,0.0000,42.85,0.00
20,40761,18.3324,6.7023,0.0000,0.0000,44.02,0.00
21,40531,18.2854,6.6764,0.0000,0.0000,44.10,0.00
22,57284,22.4405,10.4746,0.0000,0.0000,42.79,0.00
23,54495,21.7405,9.8234,0.0000,0.0000,42.96,0.00
24,45924,19.5519,7.8349,0.0000,0.0000,43.70,0.00
25,58514,22.7882,10.8185,0.0000,0.0000,42.77,0.00
26,29550,15.8805,4.4755,0.0000,0.0000,44.89,0.00
27,59277,23.0102,10.9945,0.0000,0.0000,42.61,0.00
28,56028,22.1495,10.2072,0.0000,0.0000,42.87,0.00
29,55048,21.8782,9.9631,0.0000,0.0000,42.97,0.00
30,33241,16.6400,5.1672,0.0000,0.0000,44.63,0.00
31,79678,29.0513,16.6439,0.0000,0.0000,41.27,0.00
32,76968,28.2021,15.8753,0.0000,0.0000,41.54,0.00
33,45169,19.3954,7.6638,0.0000,0.0000,43.64,0.00
34,67357,25.2980,13.1538,0.0000,0.0000,42.16,0.00
35,80060,29.1732,16.7205,0.0000,0.0000,41.12,0.00
36,34953,17.0353,5.5203,0.0000,0.0000,44.46,0.00
37,44079,19.0987,7.4108,0.0000,0.0000,43.81,0.00
38,41330,18.4585,6.7979,0.0000,0.0000,43.91,0.00
39,59768,23.1393,11.1120,0.0000,0.0000,42.57,0.00
40,48911,20.3114,8.4995,0.0000,0.0000,43.35,0.00
41,50562,20.7117,8.8737,0.0000,0.0000,43.25,0.00
42,68646,25.6700,13.4759,0.0000,0.0000,41.99,0.00
43,34493,16.9306,5.4197,0.0000,0.0000,44.48,0.00
44,80249,29.2474,16.8058,0.0000,0.0000,41.15,0.00
45,45433,19.4366,7.6998,0.0000,0.0000,43.62,0.00
46,42940,18.8241,7.1432,0.0000,0.0000,43.83,0.00
47,66384,25.0049,12.8506,0.0000,0.0000,42.13,0.00
48,62497,23.9036,11.8450,0.0000,0.0000,42.46,0.00
49,64922,24.5938,12.4592,0.0000,0.0000,42.19,0.00
50,64331,24.4211,12.2834,0.0000,0.0000,42.18,0.00
51,60831,23.4298,11.3729,0.0000,0.0000,42.47,0.00
52,61279,23.5575,11.4825,0.0000,0.0000,42.40,0.00
53,32350,16.4889,5.0260,0.0000,0.0000,44.67,0.00
54,36657,17.4102,5.8605,0.0000,0.0000,44.33,0.00
55,91417,32.9767,20.3239,0.0000,0.0000,40.47,0.00
56,65436,24.7298,12.5794,0.0000,0.0000,42.14,0.00
57,46663,19.7459,7.9830,0.0000,0.0000,43.53,0.00
