prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,22.4245,10.3901,0.0000,0.0000,42.54,0.00
1,81646,29.6764,17.1934,0.0000,0.0000,41.02,0.00
2,76090,27.9572,15.6171,0.0000,0.0000,41.49,0.00
3,77617,28.4167,16.0500,0.0000,0.0000,41.40,0.00
4,55747,22.0412,10.1010,0.0000,0.0000,42.88,0.00
5,29498,15.8781,4.4775,0.0000,0.0000,44.91,0.00
6,85073,30.8164,18.2896,0.0000,0.0000,40.87,0.00
7,24370,14.8480,3.5539,0.0000,0.0000,45.33,0.00
8,29084,15.7697,4.3857,0.0000,0.0000,44.98,0.00
9,86449,31.2809,18.7381,0.0000,0.0000,40.82,0.00
10,13820,12.9072,1.8341,0.0000,0.0000,46.24,0.00
11,80111,29.2296,16.7989,0.0000,0.0000,41.19,0.00
12,21014,14.2459,3.0282,0.0000,0.0000,45.64,0.00
13,40539,18.2850,6.6762,0.0000,0.0000,44.10,0.00
14,41253,18.4569,6.7898,0.0000,0.0000,43.88,0.00
15,47961,20.0714,8.2839,0.0000,0.0000,43.44,0.00
16,37493,17.6199,6.0558,0.0000,0.0000,44.27,0.00
17,65396,24.7229,12.5709,0.0000,0.0000,42.13,0.00
18,19849,13.9908,2.7846,0.0000,0.0000,45.69,0.00
19,94472,34.0765,21.3861,0.0000,0.0000,40.35,0.00
20,78236,28.5900,16.2100,0.0000,0.0000,41.36,0.00
21,51271,20.9101,9.0870,0.0000,0.0000,43.31,0.00
22,86529,31.2889,18.7851,0.0000,0.0000,40.95,0.00
23,56310,22.1686,10.2142,0.0000,0.0000,42.83,0.00
24,24586,14.8838,3.5830,0.0000,0.0000,45.31,0.00
25,35659,17.1815,5.6387,0.0000,0.0000,44.36,0.00
26,36601,17.3608,5.8146,0.0000,0.0000,44.34,0.00
27,27547,15.4663,4.1150,0.0000,0.0000,45.11,0.00
28,90282,32.5635,19.9293,0.0000,0.0000,40.53,0.00
29,38905,17.8768,6.2933,0.0000,0.0000,44.20,0.00
30,38665,17.8565,6.2664,0.0000,0.0000,44.18,0.00
31,68405,25.6060,13.4071,0.0000,0.0000,41.97,0.00
32,83924,30.4394,17.9116,0.0000,0.0000,40.87,0.00
33,40640,18.2845,6.6574,0.0000,0.0000,44.04,0.00
34,24760,14.9198,3.6109,0.0000,0.0000,45.27,0.00
35,70404,26.1956,13.9867,0.0000,0.0000,41.94,0.00
36,74909,27.5736,15.2534,0.0000,0.0000,41.56,0.00
37,16245,13.3442,2.2214,0.0000,0.0000,46.03,0.00
38,14941,13.1361,2.0499,0.0000,0.0000,46.18,0.00
39,35576,17.1424,5.6176,0.0000,0.0000,44.43,0.00
40,58665,22.8196,10.8402,0.0000,0.0000,42.74,0.00
41,51288,20.8934,9.0611,0.0000,0.0000,43.27,0.00
42,70925,26.3443,14.1350,0.0000,0.0000,41.94,0.00
43,83377,30.2603,17.7712,0.0000,0.0000,41.00,0.00
44,34600,16.9656,5.4465,0.0000,0.0000,44.45,0.00
45,17068,13.4832,2.3586,0.0000,0.0000,46.02,0.00
46,82662,30.0487,17.5690,0.0000,0.0000,41.03,0.00
47,90967,32.8384,20.1762,0.0000,0.0000,40.44,0.00
48,36310,17.2944,5.7613,0.0000,0.0000,44.39,0.00
49,97404,35.0834,22.3241,0.0000,0.0000,40.13,0.00
50,25417,15.0512,3.7276,0.0000,0.0000,45.22,0.00
51,67302,25.2653,13.0787,0.0000,0.0000,42.01,0.00
52,80841,29.4066,16.9511,0.0000,0.0000,41.11,0.00
53,84104,30.5251,18.0038,0.0000,0.0000,40.89,0.00
54,46064,19.5660,7.8141,0.0000,0.0000,43.57,0.00
55,16285,13.3438,2.2219,0.0000,0.0000,46.04,0.00
56,26728,15.3297,3.9737,0.0000,0.0000,45.09,0.00
57,60666,23.3664,11.3026,0.0000,0.0000,42.44,0.00
58,24235,14.8472,3.5450,0.0000,0.0000,45.30,0.00
59,40886,18.3352,6.6964,0.0000,0.0000,43.99,0.00
60,47369,19.8980,8.1384,0.0000,0.0000,43.54,0.00
61,24987,14.9548,3.6474,0.0000,0.0000,45.28,0.00
62,62887,23.9778,11.8857,0.0000,0.0000,42.34,0.00
63,32507,16.5096,5.0453,0.0000,0.0000,44.66,0.00
64,55848,22.0826,10.1318,0.0000,0.0000,42.84,0.00
65,67033,25.1722,13.0098,0.0000,0.0000,42.10,0.00
