prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,17.3634,8.5951,0.0000,0.0000,58.39,0.00
1,81646,25.2136,15.2171,0.0000,0.0000,51.22,0.00
2,76090,24.0040,14.0533,0.0000,0.0000,51.45,0.00
3,77617,24.6126,14.7154,0.0000,0.0000,51.73,0.00
4,55747,17.7285,8.9397,0.0000,0.0000,58.26,0.00
5,29498,11.2351,3.6533,0.0000,0.0000,67.53,0.00
6,85073,27.2495,17.0404,0.0000,0.0000,50.15,0.00
7,24370,10.1962,2.8443,0.0000,0.0000,69.64,0.00
8,29084,11.1193,3.5662,0.0000,0.0000,67.79,0.00
9,86449,27.7270,17.5145,0.0000,0.0000,50.13,0.00
10,13820,8.2709,1.4251,0.0000,0.0000,74.79,0.00
11,80111,25.4861,15.4830,0.0000,0.0000,51.18,0.00
12,21014,9.5324,2.3384,0.0000,0.0000,71.17,0.00
13,40539,13.6306,5.5314,0.0000,0.0000,63.22,0.00
14,41253,13.8322,5.7185,0.0000,0.0000,63.10,0.00
15,47961,15.5384,7.0997,0.0000,0.0000,60.67,0.00
16,37493,12.9454,4.9924,0.0000,0.0000,64.38,0.00
17,65396,20.4803,11.2224,0.0000,0.0000,55.30,0.00
18,19849,9.2788,2.1655,0.0000,0.0000,71.98,0.00
19,94472,30.8939,20.0832,0.0000,0.0000,47.36,0.00
20,78236,24.8576,14.9517,0.0000,0.0000,51.69,0.00
21,51271,16.4961,7.8808,0.0000,0.0000,59.43,0.00
22,86529,27.9014,17.6390,0.0000,0.0000,49.89,0.00
23,56310,17.8525,8.9716,0.0000,0.0000,57.65,0.00
24,24586,10.1995,2.8467,0.0000,0.0000,69.63,0.00
25,35659,12.5443,4.6741,0.0000,0.0000,65.06,0.00
26,36601,12.7553,4.8241,0.0000,0.0000,64.56,0.00
27,27547,10.8146,3.2952,0.0000,0.0000,68.09,0.00
28,90282,29.2203,18.7266,0.0000,0.0000,48.79,0.00
29,38905,13.3504,5.3050,0.0000,0.0000,63.64,0.00
30,38665,13.2281,5.2158,0.0000,0.0000,63.90,0.00
31,68405,21.5466,12.1708,0.0000,0.0000,54.61,0.00
32,83924,26.7747,16.6970,0.0000,0.0000,50.81,0.00
33,40640,13.7034,5.6125,0.0000,0.0000,63.28,0.00
34,24760,10.2526,2.8882,0.0000,0.0000,69.52,0.00
35,70404,22.2361,12.7111,0.0000,0.0000,53.75,0.00
36,74909,23.6371,13.9231,0.0000,0.0000,52.71,0.00
37,16245,8.6634,1.7075,0.0000,0.0000,73.61,0.00
38,14941,8.4336,1.5451,0.0000,0.0000,74.33,0.00
39,35576,12.5345,4.6593,0.0000,0.0000,65.01,0.00
40,58665,18.5509,9.5595,0.0000,0.0000,56.94,0.00
41,51288,16.4615,7.8597,0.0000,0.0000,59.52,0.00
42,70925,22.3542,12.8116,0.0000,0.0000,53.65,0.00
43,83377,26.6848,16.6528,0.0000,0.0000,51.04,0.00
44,34600,12.3247,4.4733,0.0000,0.0000,65.21,0.00
45,17068,8.7996,1.8143,0.0000,0.0000,73.30,0.00
46,82662,26.4725,16.2638,0.0000,0.0000,50.15,0.00
47,90967,29.5371,18.9182,0.0000,0.0000,48.22,0.00
48,36310,12.6657,4.7684,0.0000,0.0000,64.83,0.00
49,97404,31.9533,21.1864,0.0000,0.0000,47.55,0.00
50,25417,10.3738,2.9840,0.0000,0.0000,69.28,0.00
51,67302,21.1788,11.7757,0.0000,0.0000,54.45,0.00
52,80841,25.7553,15.6813,0.0000,0.0000,50.82,0.00
53,84104,26.9746,16.7771,0.0000,0.0000,50.21,0.00
54,46064,15.1162,6.7062,0.0000,0.0000,60.88,0.00
55,16285,8.6551,1.6939,0.0000,0.0000,73.55,0.00
56,26728,10.6355,3.1754,0.0000,0.0000,68.63,0.00
57,60666,19.0692,10.0108,0.0000,0.0000,56.52,0.00
58,24235,10.1653,2.8096,0.0000,0.0000,69.61,0.00
59,40886,13.7706,5.6469,0.0000,0.0000,63.03,0.00
60,47369,15.4165,7.0204,0.0000,0.0000,60.98,0.00
61,24987,10.2892,2.9203,0.0000,0.0000,69.48,0.00
62,62887,19.8942,10.7204,0.0000,0.0000,55.81,0.00
63,32507,11.8180,4.0895,0.0000,0.0000,66.25,0.00
64,55848,17.7555,8.9262,0.0000,0.0000,57.99,0.00
65,67033,21.1651,11.8219,0.0000,0.0000,54.80,0.00
